Q,K1,K2,K3,K4,A
次の前線の分類のうち、「梅雨前線」や「秋雨前線」が該当するものはどれ?,停滞前線,温明前線,奏冷前線,閉右前線,停滞前線
ゲーム『太鼓の達人』で、画面に表示される音符は、どこからどこに流れていく?,下から上,上から下,左から右,右から左,右から左
情報番組 『NEWS ZERO』でキャスターを務めていたモデルは誰 ?,桐谷美玲,田中美保,黒木メイサ,佐々木希,桐谷美玲
次のうち、映画『ロード・オブ・ザ・リング』シリーズの副題にある33の】たする光明2,ーつの塔,四つの塔,三つの塔,ニニつの塔,ニニつの塔
俳優の勝野洋を夫に持つ、キルト作家としても活躍するタレントは誰 ?,キャシー中島,ダレノガレ明和美,メロディー洋子,トリンドル玲奈,キャシー中島
武大坊井肛が仕えた武将は?,源頼朝,源義経,四清盛,北条時款,源義経
元に対して強硬琵をとり、2度にわたる蒙古襲来を撃退した鎌倉幕府の百権は誰 ?,北条時宗,足利時宗,,徳川時款,北条時宗
10月26日は1963年にある方法で発電に成功した日であるが、それを記念して何の日とされている?,人力の日,風力の日,水力の日,原子力の日,原子力の日
足自を暖める防郁具はどれ?,ネックワウォーマー,レッグクーラー,レッグウォーマー,ネッククーラー,レッグウォーマー
ゴルフで、ホールの規定打数よりも1打多くカップインすることをいう言葉は何 ?,バーディ,ボギー,イーグル,パー,ボギー
アニメ「ピングー」で、「ロビ」はどんな動物?  -     -,シンヤャヤナ,力モメ,クジラ,アザラシ,アザラシ
プロ野球の「日本シリーズ」で、普通日本一になるのに必要なのは何勝 ?,5勝,6勝,7勝,4勝,4勝
和紙作りが盛んな台湾・高雄市の同名の区と交流を行っている、和紙で有名な岐阜県の市はどこ3?,甲斐市,土佐市,出雲市,美濃市,美濃市
毎年年末に「日本レコード大賞」の授賞式を放送しているテレビ局はどこと,NHK,テレビ東京,TBS,フジテレビ,TBS
ゲーム 『スーパーマリオブラザーズ』で、「スーパーキノコ」を取るとマリオはどうなる?,1人増える,巨大化する,無敵になる,火を吐くことができる,巨大化する
摩擦によって失われた「運動エネルギー」ほは、主にどんなエネルギーに秋換される ?,位置エネルギー,ダークエネルギー,イオン化エネルギー,熱エネルギー,熱エネルギー
オリンピック競技にもなっているテコンドーはどこの国の国技 ?,中国,モンゴル,韓国,ロンシア,韓国
"「鉄血宰相」とも呼ばれたビスマルクといえば、次のうちどこの国の政MM  [mm 1
治家 ?",イギリス,フランス,ドイツ,アメリカ,ドイツ
ディズニーランドで従業員のことを何という ?,プロフェッサー,キャスト,スタッフ,ファミリー,キャスト
「ノックオン」 「スローフォワード」といった反則があるスポーツは何?,ソフトボール,ラグビー,バレーボール,ハンドボール,ラグビー
魚の塩漬けアンチョビーはどの魚から作られる ?,カタクチニシン,カタクチボラ,カタクチスズキ,カタクチイワシ,カタクチイワシ
元力士の国民栄誉賞受賞者は、千代の富士と誰'2,大肝,北の湖,鶴竜,貴乃花,大肝
父に俳優の緒形挙、妻に女優の仙道敦子を持つ俳優は誰2,高橋直人,緒形直人,藤木直人,竹中直人,緒形直人
次のうち、電熱線を利用した道具ではないものはどれ2?2,ドライヤー,キッチンタイマー,電気ストーブ,オーブン,キッチンタイマー
ファッション用語で「パイソン」といえば、次のうちどんな柄のこと 2,水玉柄,ヘビ柄,チェック柄,ヒョウ柄,ヘビ柄
次のうち、楽譜の音符記号にないのはどれ2,ハ音記号,"ト音j
記号","マ音
記号",へ音記号,"マ音
記号"
漫画『黒子のバスケ』で、主人公の里子テツヤが通う高校の名前は何高校 ?,旦凛高校,誠凛高校,帝凛高校,実二高校,誠凛高校
"1シンムンニの16と3:[外還KG還mbググAYの,お腹についているのはどんなマーク 2?","忌宮
田",二重丸,月,是,是
Twitterのアカウント「ツイ4」といえば、次のうちどんなアカウント 2,4の倍数をつぶやく,4歳児の写真を配信,4コマ漫画を配信,4年後の世界を予言,4コマ漫画を配信
次のゆうち、ファッションの「TPO」の昌自自首3【ゆ】た円7   -,時間,場所,身長,年齢,時間
南米などに生息する、強い毒を持ち色鮮やかな体色が特徴的なカエルは何?,ツルギドクガエル,ヤドクガエル,ヤリドクガエル,オノドクガエル,ヤドクガエル
次のうち、相撲で「関取」とは呼ば+ない番付はどれ2,前頭,十両,横綱,幕下,幕下
炒めたもやし入りの飲かけを内材とする、定奈川県のご当地ラーメンは何?,イワシーメン,ナマズーメン,カツオーメン,サンマーメン,サンマーメン
メンデレビウムに名を残す科学者は誰?,ラザフォード,マイトナー,ノーベル,メンデレーエフ,メンデレーエフ
東京女子大学の初代学長を務めた、かつて五千円札の月像にもなった教育者は誰 ?,娠昼具説,新渡戸稲造,高橋是清,大隈重信,新渡戸稲造
『駅』 や『カムフラージュ』などのヒット曲がある歌手は誰?,石川ひとみ,中村あゆみ,竹内まりや,中島みゆき,竹内まりや
ナムコのゲーム !『!ミスタードリラー』の主人公である少年の名前は何?,アケススム,ホリススム,ソコススム,シタススム,ホリススム
イギリスの作家シェイクスピアのファーストネームは何 ?,ジョン,トーマス,ウィリアム,ジェームズ,ウィリアム
奈良の大仏、光明皇后、正倉院から連想される第45代天皇は誰 ?,後醍醐天皇,推古天皇,聖武天皇,持統天旦,聖武天皇
iP24の】三2生生の】5 pkの 衣を、初めて考案した物理学者の名前から何という2?,ケプラー振り子,ニュートン振り子,ガリレオ振り子,フーコー振り子,フーコー振り子
源頼光によって退治された酒呑草子の伝説で知られる、京都府にある標高833mの山は何 ?,小江山,大江山,中江山,高江山,大江山
次のうち、山形県にある地方はどれ ?,嘱後地方,庄内地方,大隅地方,飛騨地方,庄内地方
時代劇『暴れん坊将軍』で松在健が演じた、江戸幕府の将軍は誰 ?,徳川鹿訓,使川吉宗,徳川家康,俺川綱吉,使川吉宗
酸性・アルカリ性を示す指標pHの、中性の時の数字はいくつ2,11,7,1,4,7
次のうち、RPG『ファイナルファンタジー』シリーズに登場しない魔法はどれ?,ルーラフ,テレポ,ライブラ,リジェネ,ルーラフ
次のうち、NBAのチーム名にあるのはどれ2?       「,ナゲッツ,ビザッソツ,ポテッツ,チーッズ,ナゲッツ
次の漫画のタイトルを正しく書いたとき、カタカナが使われないものはとどれ2?,けいおん!,あたしんち,じゃりんこちえ,どらえもん,けいおん!
映画『告白』や『小さいおうち』で主演を演じた女優は誰 ?   -,吉高由里子,宮崎あおい,松たか子,杏,松たか子
次のうち、F1に参戦したことがあるみゆ】ミEE:をこpy』にとす2ル6 中,マツダ,三菱,日産,トヨタ,トヨタ
陸上競技で、特に素早いスタートのことを俗に何という ?,ベンチスタート,クラウチングスタート,ロケットスタート,リスタート,ロケットスタート
オーストラリアの箇都はどこ ?,キャンベラ,パース,シドニー,メルボルン,キャンベラ
次のうち、日本に存在する活火山の数に最も近いのはどれ2?,1,1100000,11000,110,110
海上自衛際では毎週カレーライスが出されますが、さて何曜日に出されている?,日昨日,土曜日,金曜日,月曜日,金曜日
ビピロリ菌などの菌に対して高い殺黄力を持つ、ニュージーランド土産として人気のハチミツは何 ?,ヌカマハニー,カヌマハニー,マヌメカハニー,カマヌハニー,マヌメカハニー
「仮面ライダーフォーゼ』で、如月弦太朗がフォーゼに変身した後に叫ぶ言葉は「何、キター!」 ?,月,世界,地球,宇宙,宇宙
女子が着用する、テニス用のショートスカートは何 ?,ホットパンツ,スコート,スパッツ,ショートパンツ,スコート
緑間といえば、どんな人金属に発生する錆のこと 2,金,鋼,鉄,銀,鋼
Jリーグのクラブ名で「ジェフユナイテッド」といえば後に続く名前は何?,広島,千葉,大分,妊 馬,千葉
次のゆうち、バンダイナムコから発売されているゲームシリーズにあるのはどれ?,海のクロノア,空のクロノア,風のクロノア,山のクロノア,風のクロノア
武田信玄の軍旗「風林火山」で、「信略すること」のたとえに使われているのはとれ?,リセ,風,林,山,リセ
ドイツに本和視を置く、3本の線が終めに並んだ品ゴでおなじみのスポーツ用品メーカーは何 ?,プーマ,アシックス,ナイキ,アディダス,アディダス
特定の日時と時間の星空の様子を調べることができる、円形の星図を何という?,宇宙展開図,星座地球儀,星座地図,星座早見盤,星座早見盤
次のうち、レディー・ガガのヒット曲はどれ2?,Story Of My Life,Thriller,Top of the World,Born This Way,Born This Way
「岡山の奇跡」のキャッチフレーズで知られる、インセント所属の女優は誰 ?,梅井日奈子,桐井日奈子,松井日奈子,桜井日奈子,桜井日奈子
「亀」 「象」「白島」など全14曲からなる、フランスの作曲家・サン=サーンスの組曲は何?,動物の太陽祭,動物の復活祭,動物の謝肉祭,動物の文化祭,動物の謝肉祭
ゴルフのイーグルとボギー。 打数の差はいくつになる 2?,3打,5打,7打,1打,3打
"NHKの人形劇『ぐてチョコランタン』 に登場する
、魔法のラッパを持つ主人公の名前は何 ?",ク プー,ウブプー,スプー,ユプー,スプー
紫外線やX線などのような、電場と磁場の強絞の変化が伝わる波を何という ?,青海波,衝撃波,超音波,電磁波,電磁波
次の漫画のうち、武論筐が原作を担ミしていないのはどれ2  「,美味しんぼ,北斗の挙,王狼,ドーベルマン刑事,美味しんぼ
次のうち、スピルバーグ監督の映画『ジュラシック・パーク』 に登場しない生き物はどれ?,ヴェロキラプトル,ティラノサウルス,エイリアン,プテラノドン,エイリアン
東経135度と北緯35度が交わることから「日本のへそ」と呼ばれる兵庫県の都市はどこ ?,北脇市,東脇市,西脇市,南脇市,西脇市
スイカなどを食べるときに使う、先端がフォークのように小さく割れたスプーンを何という 2,レモンスプーン,アップルスプーン,メロンスプーン,オレンジスプーン,メロンスプーン
花札の1月の札に描かれている鳥は何2,ホトトギス,フクロウ,カッコウ,ソル,ソル
オペラなどで歌われる、件奏付きの独唱曲のことを指すイタリア語は何?,マリア,ダリア,ドリア,アリア,アリア
アメリカンフットボールの攻撃を大さく2つに分けると、パスプレーと何?,レシーブプレー,キックプレー,ランプレー,センタープレー,ランプレー
JR西日本のIC乗車券は何 ?,ICOCA,TOICA,kitaka,SUICa,ICOCA
地球の表面を覆う、厚さ100kmほどの十数枚の岩盤を何という ?,アース,プレート,マントル,マグマ,プレート
「スリの銀次」というキャラクターが登場するコンピュータボードゲームシリーズは何 ?,桃太郎電鉄,いたださきストリート,カルドセプト,マリオパーティ,桃太郎電鉄
カップヌードルのCMで井上雄彦が書いたキャラクターは誰? 。     「,桜木花道,流川楓,史本武蔵,佐々木小次郎,史本武蔵
モアイ像で有名なイースター台が属する国はどこ ?,ベルー,ブラジル,チリ,アルゼンチン,チリ
メソポタミア文明が栄えた西アジアの地域を指す言葉「肥決な〇〇つつ地融」。〇〇〇は何 2,三日月,新月,后月,満月,三日月
5人組ガールズバンド、プリンセス・プリンセスのボーカルは誰 ?,今野登茂子,渡辺敦子,岸谷香,富田京子,岸谷香
個人タクシー」に対して、会視が運営するタクシーを何という ?,公人タクシー,法人タクシー,企業タクシー,往会タクシー,法人タクシー
「求肥」という漢字をあてることもある、和白玉粉や水館から作られた弾力のある和菓子は何 ?,手皮,豚皮,牛皮,,牛皮
次のゆうち、ロシアのロマノフ朝の旦帝についた女性は誰 ?         「,エリザベス1世,ビクトリア1世,エカチェリーナ1世,メアリ1世,エカチェリーナ1世
次のゴルフクラブの部位のうち、ボールから最も遠い部分はどれ?,グリップ,フェイス,ヘッド,シャフト,グリップ
ドラマ『華麗なる一族』や「『運命の人』を放送した『日曜劇場』 といえばどこのテレビ局のドラマ枠 ?,NHK,フジテレビ,TBS,テレビ朝日,TBS
映画『オーメン』で、ダミアンの頭にあるアザは、どんな数字の形をしている ?,444,666,333,S55,666
内部にある「キーゼルバッハ部位」が傷つくと出血が発生しやすい体の部位はどこ?,耳,口,"了宇
=",眼,"了宇
="
パチンコ店のBGMとしてもおなじみの、瀬戸口藤吉・作曲の行進曲は何?,三百六十五歩のマーチ,クワイ河マーチ,軍艦マーチ,おもちゃのマーチ,軍艦マーチ
椎橋寛の漫画『ぬらりひょんの人孫』の主人公の名前は、奴良何2,リクオ,マサオ,タケオ,シゲオ,リクオ
次のうち、信の葉を使用していない茶はどれ2,ウーロン茶,ハブ茶,紅茶,ジャスミン茶,ハブ茶
法人類学者・ブレナンとFBI捜査官・ブースが骨から事件の謎を解く、アメリカのドラマは何 ?,BONES,ALPHAS,HEROS,FRIENDS,BONES
ボウリングで、第10フレームをすべてストライクで終えることを特に何という?,スカイプアウト,ホールアウト,キャリーアウト,パンチアウト,パンチアウト
ラクロスで、ゴールを守る選手のことを何という ?,ゴーリキー,ゴーリー,ミディ,アタック,ゴーリー
奈良時代、律令制の下で、九州を管轄するために置かれた役所は何?,導波弘探題,大宰府,五校郭,京都所司代,大宰府
温度や光などの変化をとらえて、信号やデータとして出す装置を何という?,スピーカー,ディスポーザー,アナライザー,センサー,センサー
次のうち、野球で「得点圏」にランナーがいるのはどれ2,2アウトランナー2簿,ノーアウトランナーなし,ノーアウトランナー1塁,1アウトランナー]塁,2アウトランナー2簿
次のうち、「生透明包」や「マジックミラー」とも呼ばれる鏡はどれ 2?2,バックミラー,サイドミラー,ハーフミラー,カーブミラー,ハーフミラー
ニュートリノを初めて検出し、ノーベル物理学賞を受賞した、日本の物理学者は誰 ?,アインシュタイン,小柴昌俊,ピタゴラス,ニュートン,小柴昌俊
オリンピックの競技にもなっている「高飛び込み」「板飛び込み」 は、何に飛ひび込む競技 ?,トランポリン,マット,砂,水,水
瀬戸内海の島・小豆島が属するの県はどこ?    「,,徳島県,香川県,高知県,香川県
宜の邊均体温は何度くらい?,24度,38度,19度,48度,38度
次のうち、ゲーム『ドラゴンクエスト」』」シリーズの副題にないものはどれ?,受、叶えし者,天空の花嫁,そして伝説へ.…,星空の守り人,受、叶えし者
次のうち、北人衝球にある島はどれ?,マダガスカル鳥,ニューギニア島,タスマニア島,プリンスエドワード島,プリンスエドワード島
KAITOの漫画『バディストライク』の題材となっているスポーツは何 ?,空手,柔道,野球,水泳,野球
椎橋寛の漫画『ぬらりひょんの孫」で、主人公・奴良リクオには妖怪の血がどれぐらい入っている ?,16分の1,4分の1,8分の1,2分の1,4分の1
次のうち、ゲスの極み乙女。のドラムスを担当するメンバーは誰 ?,ほな・いこか,もうかり・まっか,まいど・おおさに,なんでや・ねん,ほな・いこか
キノコの根元にあたる、かたい部分を何という 2?2,頭突き,石突き,玉突き,はね突き,石突き
"次のうち、ファミコンで発売された初代の『スーパーマリオブラザーズ』に登
こ登場   ト
しないキャラはとれ
つ",ヨッシー,ピーナチ姫,クッパ,ルイージ,ヨッシー
_ 大析縮証還レバイノ生生 BE症還時用昌にニンノ/ 。  . バパ ふいへ層人付にロン,人          大N で \電アアンー,関妥 NMwめアブ,十両,小結,関妥 NMwめアブ
"安至奈美
奈美恵の最
最大のヒット曲「CANYOU CELEBRATE?」が主題歌だったトラマは?",ピュア,バージンロード,ウエディングプランナー,妹よ,バージンロード
秋田市で毎年8月に行われるお祭り「〇〇OO〇祭り」。〇OO〇は何 2,かんとう,かんさい,ちゅうぶ,ほくりく,かんとう
次のうち、「『並列」を意味する接続詞はどれ ?2  ーーー  「,だから,および,さらに,ゆえに,および
ロックバンド、UVERWorldのボーカルは誰 2,TAKUYA十,TAKUYA\,TAKUYAoo,TAKUYA@,TAKUYAoo
アマチュアレスリングの2つの試合形式とは、フリースタイルと何スタイル ?,グレコローマン,エリミネーション,パンクラチオン,ノルディック,グレコローマン
謎の戦車を主人公とした、ラレコ制作のフラッシュアニメ作品は『何戦申』 ?,ほがらか戦車,うるわし戦車,やわらか戦車,すこやか戦車,やわらか戦車
フランス語では「メルシー」、ロシア語では「スパシーバ」という挨拶は何 ?,ごこめんなさい,こんにちは,さようなら,ありがとう,ありがとう
デュエット曲「3年目の浮気」を最初にリリースしたのは誰?,タカシ&キーボー,アツシ&キーボー,マサシ&キーボー,ヒロシ&キーボー,ヒロシ&キーボー
スタルヒンと稲尾和久が持つ、プロ野球の投手のシーズン最多勝記録は何勝 ?,12勝,42勝,72勝,102勝,42勝
弁川龍之介の命日の由来になった小説は何 2           ーー,のっぺらぼう,河草,一反木費,幽霊,河草
元素周期表の1族に含まれる元素2EEセ2Yの】ちく円7,カリウム,水素,ナトリウム,リチウム,水素
廣記商行が発売する高級中華スープ「味國」の読み方は何?_,ミーハアァアー,アジャパアァアー,テンパアァアー,ウェイパアァアー,ウェイパアァアー
北朝鮮が陸地で国境を接している3つの国は、韓国、中国とどこ ?2,ロンシア,パキスタン,ベトナム,インド,ロンシア
1954年9月に日本列島に上陸し、特に北海道で大きな被害を残した台風の名前は何 ?,摩周丸台風,洞爺丸台風,支移丸台風,阿杯丸台風,洞爺丸台風
インドやパキスタンで使われている、ナンやチャパティなどのパンを焼く突はどれ?,タンドール,ランドール,マタドール,ポリドール,タンドール
中野浩一が、世界選手権で10連載を達成した競技は何2,棒高跳び,レスリング,マフソン,自転車,自転車
足の甲の部分が大きく開いている、女性用の皮靴は何2,サンダル,ローファアー,スニーカー,パンプス,パンプス
次の野球漫画のうち、梶原一騎が原作を担当した作品ではないものはどれ?,巨人の星,金田正一物語,侍ジャイアンツ,タッチ,タッチ
次のゲームのうち、地底を舞台としたものはどれ ?,ドルアーガの塔,ゼビウス,マッピー,ディグダグ,ディグダグ
アニメ「『紙兎口ぺ』が放送されているのは、何という番組の中 ?,めざましテレビ,ZIP!I,おはスタ,グッド!モーニング,めざましテレビ
「ケミカルウォッシュ」や「ストーンウォッシュ」によって、着込んだ風合いを出す衣服はどれ 2,ジーンズ,手袋,ワイシャツ,ネクタイ,ジーンズ
科学実験で、実験前に、器具類を、使用する溶液ですすぐことを何という?,自洗い,公洗い,民洗い,共洗い,共洗い
NHK連続テレビ小説『花子とアン』の主題歌となった、絢香のヒット曲は何 ?,さんいろ,そらいろ,にじいろ,みずいろ,にじいろ
次のうち、炭素の同素体ではないものはどれ2?   ー,グラファイト,ダイヤモンド,オゾン,フラーレン,オゾン
女優の北川景子が上京前に通っていた大阪の中高一貫女子高は?,大谷,プール学院,大阪女学院,四天王寺学園,大阪女学院
プロ野球の公式戦も行われる「長良川球場」がある都道府県はどこ ?2,山形県,岐阜県,栃木県,島根県,岐阜県
固体、液体、気体のことを、まとめて「物質の何」という ?,三様,三体,三変,"ーー ム
二皮","ーー ム
二皮"
ウニやヒトデなどのような、トゲを持つ生物を何という ?,こくひどうぶつ,さよょよくひどうぶつ,ほくひどうぶつ,あくひどうぶつ,ほくひどうぶつ
アニメ『「ちびまる子ちゃん』で、まる子の母親の名前は何2,あかね,すみれ,あおい,つばき,すみれ
東京23区の中で、皇居や東京駅がある区はどこ2?,渋谷区,新宿区,港区,千代田区,千代田区
勾玉のような柄を何柄という?,ドット柄,ペイズリー柄,ヒッコリー柄,ギンガムチェック柄,ペイズリー柄
積分記号 何と読む?,インテグラル,エス,シグマ,オーバー,インテグラル
ボクシングで、左ボディブローで狙うのはどの部位 ?,痛臓,"還
月",肺,肝臓,肝臓
左大臣・藤原道長が『御堂関白記」を著したのは何時代2 _,至町時代,明治時代,年安時代,飛島時代,年安時代
「SweetS」のメンバーだった、NHK連続テレビ小説『てっぱん』で主演した女優は誰 ?,龍本美繊,瀧本美織,龍本美織,襲本美織,瀧本美織
ロックバンド、サカナクションのボ内と:拓?,島牧一郎,*p條一郎,山口ー郎,小沢一郎,山口ー郎
立身出世のための関門のことを、中国の黄河にある激流から何という ?,登竜門,年蔵門,虎ノ門,桜田門,登竜門
日本の伝統的な民謡『ソーラン節」といえば、どこの都道府県発詳の民謡 ?,沖縄県,北海道,大阪府,徳島県,北海道
カリウムの元素記号は何?,K,Ca,Na,0,K
俗に「積読 (つんどく) 」といえば、何を読まないでおくこと2?,新聞,メール,本,ハガキ,本
山・海・太陽を英語で言った時の頭文字をとって名前にした、ハンバーガーチェーン店はどこ?,ドムドムバーガー,マクドナルド,モスバーガー,ロッテリア,モスバーガー
アメリカンフットボールの得点の種類。1プレーで入る得点として、最も多いものは何点 ?,9点,12点,6点,15点,6点
次の野球漫画のうち、作者が女性である作品はどれ2 。,MAJOR,タッチ,ドカベン,おおきく振りかぶって,おおきく振りかぶって
ボウリングのスコアで、数字を〇で囲むことがありますが、これが表しているのは何 ?,ガター,ストライク,スプリット,ターキー,スプリット
Vリーグの試合で、デュースとなったとき以外にセットを獲得するには、人ポイント先取すればよい 2,2/,23,25,21,25
ゲーム 『桃太郎電鉄』 シリーズに登場する物件、「桃太郎ランド」があるのはとどこ?,静岡,岡山,,熊本,岡山
ロンドン五輪にも出場した体操選手の和仁、理恵、佑典の3きょうだい(のににココちる幅肝,高橋,佐藤,田中,*p不,田中
"和歌で「母
」や「親」にかかる枯詞は何2 。         -",あしびさの,あおによし,しろたへの,たらちねの,たらちねの
スクウェア・エニックスのゲーム「『「ファイナルファンタジーXIlI』 の主人公の名前は何 ?,フリオニール,セシル・ハーヴィ,ライトニング,ヴァン,ライトニング
フジテレビ系のドラマ『北の国から』シリーズの舞台となった北海道の都市はどこ ?,稚内市,富良野市,小樽市,函館市,富良野市
「夜に来い」という意味の掛け声に由来する、高知県民謡は何 ?,えいさー節,よさこい節,そ一らん分,やすき和分,よさこい節
「金田一少年の事件簿』アニメ版では初代EDテーマを、ドラマ版では初代七瀬美雪役を担当した俳優は誰 ?,ともさかりえ,深津絵里,酒井法子,高岡早紀,ともさかりえ
YとSとLを組み合わせたモノグラムでも知られる、1962年創業のフランスのブランドは何 ?,イヴ・サンローラン,エルメス,シャネル,ルイ・ヴィトン,イヴ・サンローラン
料理で、普通、「1カップ」といえば、次のうちどの量のこと ?,200トン,200ミリリットル,200リットル,200デシリットル,200ミリリットル
常温常圧での「音速」はおよそ秒速何メートル 2     -,約3400メートル,約340メートル,約34メートル,約34000メートル,約340メートル
次のうち、最も酸化しにくいものはどれ2               「,商,アルミニウム,金,包,金
ヒット由人引二影少 られる音ンーpA>、 ( ) <く(⑳⑥⑨@】凍〇OO〇〇は,     タイガース,WO!    キラーズ,サンダーズ,ドラゴンズ,WO!    キラーズ
スウェーデテンの和首都は?,ストックホルム,ヘルシンキ,オスロロ,ソフィイア,ストックホルム
将棋盤の中央にあるマス目のことを、ある山にちなんで何という 2,富士山,エベレスト,天王山,高尾山,天王山
行政や団体とタイアップして地域の活性化を目指す「ご当地アイドル」のことを何という ?,ロコドル,オタドル,チャイドル,地下ドル,ロコドル
次のうち、主人公の年齢が最も低い漫画はどれ 2   ー,ちびまる子ちゃん,コボちゃん,アラサーちゃん,ひみつのアッコちゃん,コボちゃん
『Basser』 や『FlyFisher』などの雑誌を発行している出版詩はどこ ?,ばーベべきゅー人祉,つり人三,さゃんぶ人定,とざん人古,つり人三
次のうち、四種混合ワクチンの対象となる病気はどれ,ポリオ,パーキンソン病,精暫病,心臓病,ポリオ
次のうち、観葉植物の種類にあるのはどれ?,ポトフ,ボトル,ポリス,ポトス,ポトス
傘のマークで知られるブランド「アーノルド・パーマー」に名を残すのは、どんな競技の名選手 ?,ゴルフ,アイスホッケー,スキー,バスケットボール,ゴルフ
日本で1番面積が小さい県はどこ?,沖縄県,香川県,長野県,岩手県,香川県
水素が完全燃焼するとできる物質は円         「,二酸化炭素,水酸化カリウム,水酸化ナトリウム,水,水
アニメ映画化もされた、いしいひさいちの野球漫画『がんばれ!!(OCXOくん! 。 のの〇は何 2,エガワ,カケフ,タブチ,オウ,タブチ
著書『女医の花道』 でも知られる、バラエティ番組でタレントとしても活躍する医師は誰 ?,おおたわ史絵,勝問和代,荻原博子,室井佑月,おおたわ史絵
漫画「美味しんぼ」で主人公「山岡士郎」が勤める新聞往の名前は何?,北西新聞視,東北新聞往,東西新聞杜,南北新聞往,東西新聞杜
武田信丸と上杉謙信の数度の戦いを指しているのはどれ?,百年戦争,応仁の乱,川中島の戦い,関ヶ原の戦い,川中島の戦い
アニメ 『美少女戦士セーラームーン』 に登場するセーラーマーキュリーの守護星は何 ?,水星,金星,木星,火星,水星
次のうち、日本古来の楽問にあるのはどれ2?       _,つづき,つづみ,つづら,いずみ,つづみ
炭水化物に必ず含まれている元素は、炭素、水素と何?,ホウ素,ケイ素,守素,酸素,酸素
「悲憎』『月光』 『熱情』の三大ピアノソナタや『交響曲第九番』で知られる作曲家は誰 ?,ベートーベン,モーツァルト,ウェーバー,バッハ,ベートーベン
「雄牛」という意味がある、NBAの強豪チームはどこ ?,ホークス,バックス,ブルズ,スパーズ,ブルズ
料理の計量カップで「1カップ」といえば、普通何ccのこと?,SUcC,200cc,400cc,100cc,200cc
古代エジプトで聖なる虫として崇められた、和名を「タマオコシガネ」という昆虫は何 ?,スカラベ,クワガタムシ,ゴキブリ,テントウムシ,スカラベ
「ヘドバン」と上略される、ロック音楽に合わせて前後に激しく頭を振る動作は何 ?,ヘッドバッティング,ヘッドバンギング,ヘッドバンディング,ヘッドバッシング,ヘッドバンギング
次のうち、2人同時プレイができるゲームはどれ2,マリオブラザーズ,ポパイ,ビンボール,ドンキーコング,マリオブラザーズ
卓球の公式大会で用いられるボールの色は、白または何色と決められている 2,枕色,栓色,赤色,黄色,栓色
次のうち、形容動詞はどれ ?,遅い,面日い,さわやかな,短い,さわやかな
「ワンゲル」とされる、山野で行われる活動は何 ?     ーー,ワンダラーゲルニカ,ワンダーフォーゲル,ワンダフルエンゲル,ワンワンゲルマン,ワンダーフォーゲル
"「アレグラ
ナ  ラ」
や「アレジオン
」などの抗ヒスタミン薬は、どんな病気の治療薬 ?",ニキビ,インフルエンザ,肥満,化粉症,化粉症
「七・七・七・五」という音数をとるのが基本である、日本の定型詩の一種は何 ?,どどいつ,どすいす,どとるこ,どいんど,どどいつ
次のうち、ゴルフの全身オープンの》名はどれ?,The Classic,The Golf,The Win,The Open,The Open
テニスの大会の決勝戦におけるマッヨヲポイントのことを、「何シップポイント」という2?,スーパー,エース,チャンピオン,キング,チャンピオン
TOF THE END』『見参!』 『維新 ! 』といえば、何というゲームのスピンオフ作品 ?,ニノ国,信長の野望,龍が如く,戦国無双,龍が如く
「下町のナポレオン」 という愛称がある、三和酒類が発売する焼酎は何?,まる,知,月桂冠,いいちこ,いいちこ
1stシングルでスピッツの「『空も飛べるはず』をカバーしたユニットは「さよならの〇の〇〇」。 の〇〇は何 ?,ポボポニーテール,スキンヘッド,姫カット,リーゼント,ポボポニーテール
「コロニーな生活」などの、位置情者を用いたゲーム「位置ゲー」をリリースしている会和仁といえばどれ2,プラコロ,ラプロコ,コロプラ,ロプラコ,コロプラ
ゲーム『スプラトウゥウーン』の主人公は、人間とどんな生き物の姿に変身することができさきる?,エビ,イカ,カニ,タコ,イカ
"次の映画作品のうち、ヴェトナム戦省を舞台
ロ と   ヒ
ykの】ちず2光中4",カサブランカ,地獄の黙示録,禁じられた遊び,アフリカの女王,地獄の黙示録
リン酸とともに骨の主成分である、アルカリ土類金属の一つは何 ?,バリウム,カルシウム,マグネシウム,ベリリウム,カルシウム
イソップ童話『金の共』で、きこりが落とした攻は何でできていた 2,商,銀,銅,金,商
メガネ型や腕時計型など、身につけて持ち歩くことができる情報端末を何という ?,ダム端末,ウェアラブル端末,インテリジェント竜末,スマート端末,ウェアラブル端末
かつて佐藤可士和や中谷彰宏も勤務していた大手広告代理店はどこ ?,資生堂,博報堂,三省堂,任天室,博報堂
タレントのユージの時宜父は、どこJEH【ひとき?iiEPepり主人,ハイチ共和国,ドミニカ共和国,パナマ共和国,コスタリカ共和国,ドミニカ共和国
「河川の三作用」のうち、V字谷を形成する主な原因となるのは次のうちどれ?,物流作用,連搬作用,浸食作用,堆積作用,浸食作用
本来は「詐欺師」を意味する、ビリヤードのプレーヤーの呼称は何 ?,ボウラー,パーラー,ハスラー,クーラー,ハスラー
『太鼓の達人』で、太鼓のフチを叩く音符は何色で描かれている ?,緑,"=所
月",にヨ,黄,"=所
月"
4年に1]度、バレーボールのワールドカップが開催される国はどこ ?,フランス,日本,ロンシア,アメリカ,日本
コッホが病原体を発見した、BCG接種で予防される病気は何 ?  「,インフルエンザ,結核,狂犬病,マイコプラズマ肺炎,結核
