Q,K1,K2,K3,K4,A
秦基博の『〇〇〇の約束』、伊藤咲子の『〇OO〇OO〇娘』の〇〇〇に入る花は何 ?,さざんか,ひまわり,あじさい,たんぼぼ,ひまわり
次のうち、ドイツの公用語はどれ ?,インドネシア語,日本語,タイ語,ドイツ語,ドイツ語
次のうち、シューベルト作曲の交響曲第7番口短調の別名はどれ ?2,未経験,未確認,未完成,未発表,未完成
セリフを使わず、表情や身振りだけで演じる劇を「パント〇〇〇」という。〇〇〇は何 ?,マイム,セイム,タイム,カイム,マイム
"野球用語
の 「車?
重人次」の「盗」とは1
加のこと2?    -   」  「",盗撮,資塁,盗難,,資塁
日用品などをそろえているお店のことを「スーパー〇OO〇OO〇」。 〇〇〇は回角,ターゲット,カーペット,ガーネット,マーケット,マーケット
ウパのわる28半<4にん コリヒ半さりとためのファッション道具にあるのはとれ?,シンシュンュユ,チェチエ,シェエンエ,リュリュ,シンシュンュユ
中部国際空港がある都道府県はどこ 2?,愛知県,岐阜県,静岡県,長野県,愛知県
スペイン語で「豊かな海岸」という意味がある中南米の国はコスタ〇^)〇つ。〇の〇〇は ?,サンスウ,コクゴ,シャカイ,リカ,リカ
古生代に繁栄し「生きた化石」と呼ばれる軟体動物は何 ?   」,スズメガイ,インコガイ,オウムガイ,カケスガイ,オウムガイ
次のうち、俳優・石田純一のモノマネでおなじみのお笑い芸人は誰 ?,中石田純一,小石田純一,高石田純一,大石田純一,小石田純一
日本語では「天象儀」という、ドーム状のスクリーンに星を浮かび上がらせる設備は何 ?,プラネタリウム,エアロニウム,ホームスカイ,スタースカイ,プラネタリウム
次の三田紀房の漫画のうち、東大受験を題材にした作品はどれ ?,エンゼルバンク,砂の栄冠,インベスターZ,ドラゴン桜,ドラゴン桜
アニメ『それいけ!アンパンマン』で、アンパンマンを作り出したおじさんの名前は何 ?,ジャムおじさん,バターおじさん,カレーおじさん,クリームおじさん,ジャムおじさん
「奥衝292号」と「こしひかり」から作られた、秋田県で最も栽培されているイネの品種は何 ?,ひとめばぼれ,はえぬき,あさきたこまち,ササニシキ,あさきたこまち
ペ・ヨンジュンとチェ・ジウ主演で大ヒットした韓国ドラマは『〈〇のソナタ』。〇に入る季節は何 ?,春,冬,夏,秋,冬
『週刊少年ジャンプ』に連載されていた、藤巻忠俊のバスケットボール浸画は何?,黒子のバスケ,あひるの空,,SLAM DUNK,黒子のバスケ
小さな子供の歩き方のことを「〇〇)〇歩き」。〇〇〇は何 ?,さちさち,よちよち,びちびち,かちかち,よちよち
野球で、右投げのピッチャーがグローブをはめるのはふつうどこ?,右手,左手,左足,石足,左手
日本で冬の天気に見られる「西高東低」とは、何の高低のこと?,気圧,音階,物価,海抜,気圧
次のうち、競技を行うコート・フィールドが最も広いスポーツはどれ2?,サッカー,バスケットボール,テニス,バレーボール,サッカー
宜母に小浜、父にかけるを持ち、親子三代で漫才師となった、姉妹お笑いコンビは何 ?,海原やすよ・ともこ,クワバタオハラ,ハリセンボン,おかずクラブ,海原やすよ・ともこ
パソコンで行う作業「コピペ」は「コピー&〇OO〇〇」の略。 〇〇〇は回角,ペースト,ペーパー,ペーブメント,ペーター,ペースト
馬の尻尾のようにまとめた女性の髪型を「ポニー〇の〇〇」という。〇〇つつは何 ?,テール,ロール,シール,ボール,テール
野球で、ヒットやフォアボールなどピッチャーの責任で相手チームに取られた点を何という2?,打点,自責点,勝ち点,負け点,自責点
剣豪・佐々木小次郎があみ出した、ある鳥の名前がついた技は何 ?,すずめ返し,つばめ返し,からす返し,ひばり返し,つばめ返し
農薬についての取り締まりを行うための法律は次のうちどれ2,日本国憲法,農薬取締法,リゾート法,食品衛生法,農薬取締法
「無敵のガールフレンド』や『障』などの曲で知られる、女優としても活躍する歌手は誰 ?,大原松子,大原桃子,大原椿子,大原櫻子,大原櫻子
RPG『ドラゴンクエストIV』に登場する次のキャラクターのうち、男性は誰 ?,アリーナ,トルネコ,マーニャ,ミネア,トルネコ
調子にのって自慢することを、あるaa空の生き物に例えて「何になる」という2,かっぱ,おばけ,てんぐ,つちのこ,てんぐ
「世界一幸せな国」と呼ばれることもある、ワンチュク国王が治めるアジアの国はどこ 3?,インド,モンゴル,ブータン,タイ,ブータン
仏教の開宜は誰 ?,秋迎,孔子,始皇帝,李日,秋迎
大相撲で三党といえば殊勲賞、逆闘員と何 ?,技能綱,パルムドール,金態綱,金獅子中,技能綱
火山の噴火で発生する、粒の細かい只出物を何という?,火山梅,火山売,火山放,火山倍,火山放
次のうち、日本語で「減号」という数学の記号はどれ?2        」,プラス,イコール,ベクトル,マイナス,マイナス
陸上競技で、小刻みのピッチ走法に対して、大股の走りを何走法という?,ストライキ走法,ストライク走法,ストレート走法,ストライド走法,ストライド走法
ジョーン・G・ロビンソンの児童文学を原作とする、スタジオジブリのアニメは何 ?,在成提合戦ぼんぼこ,かぐや姫の物語,千と千尋の紳隠し,思い出のマーニー,思い出のマーニー
次のうち、音の中国を舞台とする歴史シミュレーションゲームはどれ?,信長の野望,ランペルール,項割記,源邊合戦,項割記
アニメ「ドラえもん」でドラえもんが居候しているのは何家?,須勿家,春日家,野比家,大原家,野比家
ボクシングで、タイトルを奪われた前土者が、新王者に挑む試合を何という ?,リリーフマッチ,リピビートマッチ,リザーブマッチ,リターンマッチ,リターンマッチ
フランス語で「棒」や「杖」という意味がある、フランスパンの一種は回角,ベケット,パケット,ポケット,バゲット,バゲット
ジャンガリアン、ゴールデンなどの種類がいる、ネズミに似た動物は回角,ハムスター,ベーコンスター,サラミスター,ソーセージスター,ハムスター
柔道で相手に投げられたとき、衝撃を和らげるためにとる防御姿勢を何という2,抜き身,捨て身,受け身,刺し身,受け身
磨いた金属の表面に表れる、特有の「つや」のことを何という2,金属光沢,金属金沢,金属沼沢,金属潤沢,金属光沢
次の漫画のうち、舞台が日本ではない作品はどれ ?,裁きの家,研修医なな子,ナース・ステーション,王妃マルゴ,王妃マルゴ
「やっとこやっとこ繰り出した」という歌い出しで始まる童謡は何 ?,おもちゃのサンバ,おもちゃのソナタ,おもちゃのジャズ,おもちゃのマーナチ,おもちゃのマーナチ
登山で使われる「シュラフ」とは、次のうち何を表すもの2,時計,翌袋,地図,食糧,翌袋
手動のものは「スクイーザー」とも呼ばれる、野茶や果物からジュースをつくる調理器具は何 ?,ジューゾー,ジューサー,ジューシー,ジュードー,ジューサー
次のうち、ひな人形に飼られるのはとれ?,まるもち,さんかくもち,ほしもち,ひしもち,ひしもち
次のうち、女性お笑いコンビでないのはどれ2?,おかずクラブ,ガンバレルーヤ,するひろがりず,尼利インター,するひろがりず
ゴム管などに取り付け、管を押しすことで内部の流れを調節する金具を何という ?,ピンチコック,アタックコック,チャンスコック,ブロックコック,ピンチコック
日本料理で、昆布や煮干しなどを煮て作る、うまみのある汁を何という?,めし,だし,かし,すし,だし
「15の夜』 や 『ILOVE YOU』といった代表曲で知られるカリスマ的ミュージシャンは誰 ?,横原敬之,長渕剛,浜田省吾,尾崎豊,尾崎豊
次のうち、「週末ヒロイン」で知られる日本のアイドルはどれ 2?,ももいろクローバーZ,ももいろるクローバーX,ももいろるクローバーW,ももいろるクローバーY,ももいろクローバーZ
俗に、「きれいなバラ」にあるとされるものは何 ?   -,,つの,トゲ,爪,トゲ
次のうち、上から読んでも下から読んでも同じ言葉はどれ ?,たけやぶやけた,たこやきやいた,たいやきやけた,だてまきまいた,たけやぶやけた
刑事裁剤で、執行疾予がつかずに刑還が執行されるような負決を何という?,真刑側決,実刑側決,本刑列決,決刑人決,実刑側決
「コンセンサスを得なければならない」などという時の「!コンセンサス」の意味は次のうちどれ?,顧客,反対意見,"の
ロ 申",予算,"の
ロ 申"
山形新幹線に控用されている、従来より小型の新幹線を何という 2?,ビッグ新幹線,メガ新幹線,ラージ新幹線,ミニ新幹線,ミニ新幹線
インソール、アウトソール、ヒールといえはば、どんな装身具の部位の名称 ?,手袋,時,コート,ズボン,時
ゲーム『爆走デコトラ伝説』シリーズで、プレーヤーが運転する乗り物は何 ?,サイドカー,タクシー,トラック,バギー,トラック
陸上競技などで、それまでの最高記妹と同じ記録のことを何という ?,ヒラメ記録,クジラ記録,エビ記録,タイ記録,タイ記録
1と自分自身以外に約数を持たないような自然数のことを何という ?,偶数,,友愛数,素数,素数
天丼やカツ丼などの「丼物」に欠かせない食材はどれ?2   」,米,さび,とうもろこし,小麦,米
月のように、惑星の周囲を運動する天体のことを何という ?,彗星,恒星,周極星,衛星,衛星
次のうち、シミュレーションゲーム「リザッツキューティ』の舞台となっている業界はどれ?,"ファッン
ション業界",航空業界,テレビ業界,パチンコ業界,"ファッン
ション業界"
次のうち、雑誌 『りぼん』に連載されている漫画はどれ2,韻金ウンジマくん,クロサギ,深夜食富,アニマル横町,アニマル横町
野球で、ピッチャーが投球を行う、周囲のグラウンドより高くなった場所を何という?,リング,マウンド,土僚,プラットフォーム,マウンド
幕末の武士・井口清兵衛を真田広之が演じた、山田洋次監督の映画は回角,ゆうぐれ清兵衛,うしみつ清兵衛,おやつどき清兵衛,たそがれ清兵衛,たそがれ清兵衛
次のうち、日本語で「同盟醒業」 と和訳されるものはどれ?2,ストライプ,ストラップ,ストライカー,ストライキ,ストライキ
オニイトマキエイの別名は何 ?,トンマ,アンマ,タンマ,マンタ,マンタ
チルチルとミチルの兄妹を主人公とした、メーテルリンクの小説は何 ?,黒い鳥,赤い鳥,青い鳥,白い鳥,青い鳥
ヒトコブやフタコブなどの種類があとレンちる 円肝。,ラクダ,ブタ,クジラ,ナマケモノ,ラクダ
お笑いタレント・上沼恵美子が活動地点を置いている都道府県はどこ ?2,忠岡,大阪,広島,愛知,大阪
を表す単位は何 2,カラット,オンス,外,ポンド,ポンド
_ 映画『〇OOはバリにいる』『O〇つ〇のカルテ』『〇〇のパズル』の〇〇に共通して入る言葉は何 ?,殿様,外様,姫欄,斬様,斬様
ガッツマン、エレキマン、カットマンなどのロボットが登場する、カプコンのゲームは何 ?,鬼夜叉,モンスターハンター,ロックマン,逆転裁列,ロックマン
ある番組が放送されている時間に、別の局で放送されている番組のことを何という ?,隠し番組,表番組,雲番組,サイマル番組,雲番組
次のうち、主人公が妨者である漫画はどれ ?      ー,"伊貨
の影丸",宇宙警備際,少年ケニヤ,海の王子,"伊貨
の影丸"
「安納芋」 「黄金千貸」 「紅東」といえば、どんな芋の品種 ?,サツマイモ,サトイモ,コンニャクイモ,ヤマイモ,サツマイモ
次のうち、お風呂で体を洗うために使う道具はどれ 2?,コッケン,タッケン,ゼッケン,セッケン,セッケン
次のうち、実際にあるパトカーはどれ 2?,耳当てパトカー,目かくしパトカー,帽子パトカー,覆面パトカー,覆面パトカー
サッカーで得点のチャンスとなる、相手守備陣の間を抜くパスを何という?,スルーパス,スラーパス,スローパス,スリーパス,スルーパス
スキーやスケートのように、雪上や氷上で行われるスポーツのことを総称して何という ?,オータムスポーツ,サマースポーツ,スプリングスポーツ,ウィンタースポーツ,ウィンタースポーツ
。 EUは〇の〇〇連合のことである。〇〇0あ/室1の】たく円肝4,アメリカ,アジア,ヨーロッパ,アフリカ,ヨーロッパ
次のうち、塩漬けにした魚と野茶が入った北海道の郷土料理はどれ ?,一座汗,四季汗,二座汗,三下汗,三下汗
劇中で使用される序曲も有名な、スイスの英雄を題材としたロッシーニのオペラは何 ?,ウィザード・テル,ウィルコム・テル,ウィキッド・テル,ウィリアム・テル,ウィリアム・テル
石炎岩や粘土を焼成してできる挫色の粉末のことを何という 2?,コメント,セメント,デメント,メメント,セメント
ジョニー・デップらが海賊を演じた映画シリーズは『〇OO〇〇・オブ・カリビアン』。〇〇〇は ?,ヴァイキング,パイレーツ,バッカニア,俊惑,パイレーツ
江崎グリコが販売する、自動販売機用のアイスクリームブランドは何 ?,フォーティーンアイス,フィフティーンアイス,シックスティーンアイス,セブンティーンアイス,セブンティーンアイス
NTVの番組 !笑紳様は突然に..』」や『世界の果てまでイッテQ!』 でMCを務めているタレントは誰 ?,中山秀作,内村光良,明石家さんま,加藤浩次,内村光良
十月の誕生石である、乳白色の宝石は何 ?,サファイア,エメラルド,ルビー,オパール,オパール
自転車やオートバイに乗って遠くに出かけることを英語で何という 2?,ツーリング,スリーリング,フォーリング,ワンリング,ツーリング
日本では「顔本」などと言われる、マーク・ザッカーバーグが開設したSNSは何 ?,facebook,LINE,KakaoTalk,IXI,facebook
レールが1本しかなく、別名を「単軌鉄道」という交通システムは何 ?,ゴンドラリフト,ケーブルカー,モノレール,ロープーウェー,モノレール
メジャーリーグで「サイ・ヤング賞」を受賞できるポジションはどご2,捕手,投手,外野手,内野手,投手
名探偵、シャーロック・ホームズの助手を務める、友人の医師の名前は回角,ニクソン,エジソン,ハリソン,ワトソン,ワトソン
『ピノッキオの冒険』を原作とするアニメ『ピコリーノの冒険』で、ピコリーノの体は何でできている ?,木,鉄,プラスチック,氷,木
次のうち、昆虫の体を形成する三構造に含まれない部分はどれ ?,豆,約,腹,胸,約
小田原市の報徳二宮御往に祀られている、新を背負いながら読書する次の氏像でおなじみの人物は誰 ?,二宮克作,二宮金次郎,二宮和世,二宮上忠八,二宮金次郎
表面がザラザラした肌のことを、ある動物の名前を使って何という?,サメ肌,カメ肌,ワニ肌,ヘビ肌,サメ肌
人混みから赤白の締シャツの主人公を探し出す絵本 『OO〇をさがせ!』 。〇つの〇〇に入る名前は何 ?,スコット,ウォーリー,スペンサー,マーティン,ウォーリー
Jリーグ、鹿島アントラーズと水戸ホーリーホックがホームを置く都道府県はどこ?,茨城県,碧奈川県,埼玉県,千葉県,茨城県
ファミコンの野球ゲームシリーズ『ファミスタ』の「スタ」とは何の略 ?,スタジアム,スタイル,スタリオン,スタート,スタジアム
次のうち、「大坂の陣」で減ぼされた一族はどれ?   -,豊臣氏,源氏,徳川氏,在氏,豊臣氏
一般に、妊娠10ヶ月目にあたる、妊婦の出産予定の月を何という ?2,宝月,歳月,臨月,満月,臨月
"サンタダ・マリア     時       イ
ン       リ  。 ーー      ーーー
テッレ・グランツ工教会にある、ダ・ヴィンチの繧画は何 ?",最初の晩礁,明日の晩奮,最後の晩礁,昨日の晩礁,最後の晩礁
野球で、「ポテンヒット」といえば、次のうちどのあたりに「ポテン」と落ちたヒットのこと?,内野と外野の間,フェンスぎりぎり,内野グラウンドの中,球場の外,内野と外野の間
「『「それいけ! アンパンマン』に登場する、「ハヒフへヘホー ! 」というセリフでおなじみのキャラは何 ?,しょくばぱんまん,カレーパンマン,ばいきんまん,アンパンマン,ばいきんまん
次のうち、車いすテニスの元選手は誰?,国枝慎吾,伊達公子,奈良くるみ,病織主,国枝慎吾
日本テレビの番組『ヒルナンデス ! 』の金曜日のコーナー「〇色ショッピング」。〇は何 ?,4,2,3,S,3
「力こぶ」を作る人間の筋肉は次のうちどれ2?  「,上腕一頭筋,上腕三頭筋,上腕二頭筋,上腕四頭筋,上腕二頭筋
赤塚不二夫のギャグ漫画『おそ〇いくん』。〇は何 ?,竹,梅,先,松,松
次のうち、東京が舞台となっている漫画はどれ?,じゃりン子チエ,新宿スワン,ミナミの帝王,ナニワトモアレ,新宿スワン
アイドルグループ、モーニング辺。のデビューシングルのタイトルは回角,モーニングコール,モーニングスター,モーニングコーヒー,モーニングサービス,モーニングコーヒー
次のうち、実際にあるカクテルはとれ 2?,ソルテイィキャット,ソルティマウワウス,ソルティドッグ,ソルティラビット,ソルティドッグ
40万人ものエキストラを使用した葬儀シーンで有名な、あるインドの偉人を描いた映画は何 ?,ガンジー,チャーチル,リンカーン,チェ・ゲバラ,ガンジー
フルマラソンで走る距離は何km ?,22.195km,42.195km,32.195km,52.195km,42.195km
『ラブ・ストーリーは突然に」などのヒット曲で知られるシンガーソングライターは誰 ?,玉置浩二,井上陽水,小田和正,徳永身明,小田和正
ストウ夫人の小説『アンクル・トムの小屋』」がきっかけのひとつとなった、アメリカの内戦は何 ?,南西戦争,南北戦争,東西戦争,北東戦争,南北戦争
ゲーム機「Wii」 と同日に発売された、操作に慣れてもらうためのゲームを集めた作品は『何のWi ?,てんさい,はじめて,あんしん,ごくらく,はじめて
牛が持つ胃の数はいくつ?,],3,4,2,4
江ノ島電鉄が走っているのは何県 ?,奈川県,千葉県,静岡県,山礎県,奈川県
「1世紀」といえば、何年間のこと2?,1年間,100年間,1000年間,10年間,100年間
もりしけげの漫画『サクラサクラ』の主人公の名前は、花坂〇。 〇は何 ?,夏,秋,春,冬,春
ゴルフなどで、競技会・トーナメント に出場登録することを英語で何という ?,カントリー,シンメトリー,エントリー,ポエトリー,エントリー
美味しいものを食べた時の表現「^)〇つ〇つが落ちる」。〇〇〇は何 ?,ほっぺた,指,おなか,目,ほっぺた
青年将校ヴロンスキーと恋に落ちる人妻・アンナを主人公とする、トルストイの小説は何 ?,マノン・レスコー,ジェーン・エア,ジャンニ・スキッキ,アンナ・カレーニナ,アンナ・カレーニナ
20世紀末の人気歌手・宇多田ヒカルの母親にあたる歌手は誰 ?,山口百恵,ちあさきなおみ,藤詩子,西田佐知子,藤詩子
石川剖、宮里芝といえば、どんなスポーツ ?,卓球,テニス,ゴルフ,水泳,ゴルフ
毎年4月29日にある、国民の税日は何?,大正の日,昭和の日,明治の日,生成の日,昭和の日
ドラマ「『相棒』で、寺脇康文、及川光博に続く3代目の相棒役を務めていたのは誰 ?,オダギリジョー,成宮寛貴,向井理,水嶋ヒロ,成宮寛貴
ステーキで、表面だけ軽く火を通した生焼けの焼き加減を何という?,モア,エア,レア,ドア,レア
次のうち、蜂が分泌する、多くの栄養を含む物質は何 ?,プラチナゼリー,ローヤルゼリー,グレートゼリー,ゴールドゼリー,ローヤルゼリー
ゲーム愛好家・ゲーマーの中でも、特に熱心なゲーマーのことを、何という ?,へビーゲーマー,スペシャルゲーマー,エキストラゲーマー,ライトゲーマー,へビーゲーマー
次のうち、「タキシード仮面」というキャラクターが登場するアニメはとれ?,ふたりはプリキュア,セーラームーン,あたしンち,おジゃ魔女どれみ,セーラームーン
ユニクロが展開する、吸湿発熱繊維を使用した防寮機能ウェアは何 ?,ヒートテック,ヒートパック,ヒートクック,ヒートロック,ヒートテック
タナゴ、シシャモ、コイといえば、次のうちどんな生き物の仲間 ?,海藻,,魚,へヘビ,魚
無志園、九十九里浜、成田国際空港、チーバくんから連想される都道府県はどこ?,岡山県,千葉県,香川県,秋田県,千葉県
衛星放送の受信に使われる、回転放物面の反射問を持つアンテナを何といつ ?,パラパラアンテナ,パラレルアンテナ,パラソルアンテナ,パラボラアンテナ,パラボラアンテナ
スポーツ選手が運動能力を高めるため、競技出場前に薬物などを用いることを何という?,コーピング,テーピング,ロービピング,ドーピング,ドーピング
毒がひたすらしゃべり続ける夫婦漫才でおなじみのコンビ、〇〇大助・花子。〇〇に入る名字は何 ?,高橋,宮川,難波,木曽,宮川
1960年代にアメリカが実施した、人燃を月へ送るための宇宙計画は何 ?,ミルキー計画,チロル計画,トッポ計画,アポロ計画,アポロ計画
サザンオールスターズの曲に歌われた「江ノ島」や「えばぼし岩」がある都道府県はどこ?,静岡県,埼玉県,奈川県,千葉県,奈川県
ボウリングで、ストライクといえば一投で何本のピンを倒すこと ?,300本,100本,10本,20本,10本
次のうち、漫画『SLAM DUNK」 の登場人物ではないのは誰 ?  -,宮本武蔵,赤木剛憲,桜木花道,流川楓,宮本武蔵
十二支の生き物のうち、唯一の想像上可の上計ェネン たも円有4,龍,牛,半,犬,龍
北米のプロバスケットボールリーグを表す称はどれ?,NFL,MLB,NHL,NBA,NBA
一般的なアナログ時計で、長針と短針のなす角度が180度になるのは何時 ?,5時,6時,4時,7時,6時
次のうち、上果物の収穫が目的ではない行楽はどれ?,もみじ和狩り,ぶどう狩り,柿狩り,イチゴ狩り,もみじ和狩り
野茶を包丁で細かく刻むことを「〇)〇つ〇切り」 。 〇〇O〇は 2?,いじん,みじん,さじん,かじん,みじん
島原の乱や大塩在八郎の乱が起きた1ちる下る,奈良時代,江戸時代,明治時代,鍵信時代,江戸時代
ゴルフで、プレーヤーのクラブを運んだりショットの助言をする人を何という2,キャディー,チェアマン,セコンド,ジュリー,キャディー
次のうち、病院を舞台にした医療ドラマはとれ?,チーム・バチスタの栄光,華なる一族,やまとなでしこ,家政帰のミタ,チーム・バチスタの栄光
「Story」や「Believe』などのヒット曲で知られる、ロサンゼルス出身の歌手は誰 ?,AE,Al,EI,CA,Al
次のアニメのうち、舞台となった時代が最も古い作品はどれ ?,境界のRINNE,長門有希ちゃんの消失,食幸のソーマ,戦国無双,戦国無双
小学校を卒業した子供が、次に通うビッさち 円肝7,専門学校,高校,中学校,大学,中学校
次のうち、太陽系の惑星でないのはとれ?,天王量,祥土星,海王星,地球,祥土星
草話 「かぐや姫」の別名は何?,竹取物語,月取物語,竹娘物語,美女物語,竹取物語
次のうち、松嶋茶々子が主演したフジテレビの月9ドラマはどれ2?,極悪がんぼ,婚カツ !,ラヴソング,やまとなでしこ,やまとなでしこ
お笑いコンビ、とんねるずの2人の出身校は何高校 ?,東海高校,国見高校,,帝京高校,帝京高校
映画音楽を意味する「サントラ」。略さずいうと、「サウンド・何」 ?,トラベル,トラック,トラップ,トラスト,トラック
おりもとみまなの漫画『ばくおん!呈 で、主人公の佐倉勿音が入ろうとする部活は何部 ?,バイク部,サッカー部,自転車部,テニス部,バイク部
美術品の中でも、特に、制作者を偽り、本物を模写して制作された美術ロロを何という2?,携作,新作,稲作,駄作,携作
DE問アル人たうす:」 の】のさりアパ魔境 てペコと5人の探検際』の「5人」の中にいないのは誰 ?,のび太,ジャイアン,スネ夫,出木杉,出木杉
日本で最も人口密度の高い都道府県はどこ?       「,北海首,岩手県,東京都,高知県,東京都
吉田はるゆきの漫画『ピビンポンドライブ』で摺かれているスポーツは回角,卓球,テニス,バスケットボール,水球,卓球
次のヒトの体液のうち、強い酸性を私うの】たすず2光用4,血液,だ液,表液,尿,表液
日本語では「代謝症候群」と訳される、肥満の患者に起こりやすい病気は「何シンドローム」 ?,ロコモティブ,メタボリック,ケスラー,チャイナ,メタボリック
次のうち、「雑誌」を意味する言葉はどれ ?    -,マガジン,サンデー,ジャンプ,チャンピオン,マガジン
次のうち、黒灰色をした火山震の一竹はどれ?,玄武岩,青龍岩,朱雀岩,日虎岩,玄武岩
アメリカ独立100周年を記念してフランスから贈られた、ニューヨークにある女御像は何 ?,豊稼の女紳,愛の女紳,目由の女紳,学術の女紳,目由の女紳
シャトルコックという2羽根を打ち合うスポーツは何 ?  ー,スカッシュ,バドミントン,セパタクロー,ハンドボール,バドミントン
次のうち、エストニア、ラトビア、リトアニアの3ヶ国の総称はどれ2?,タルト三国,キルトニ三国,バルト三国,カルト三国,バルト三国
次のスポーツのうち、シュートで得点を取るものはどれ3?,ウェイトリフティング,ビリヤード,ハンドボール,ソフトボール,ハンドボール
タイで盛んに行われる「タイ式ボクシング」を何という ?2   「,ムエタイ,シルム,サンボ,カポエイラ,ムエタイ
幕末に結ばれた「薩長同盟」で、「薩」は薩摩ですが、「長」はどこのこと2?,長州,長江,長村,長野,長州
ファミコンのゲーム『スーパーマリオブラザーズ』で、早く走りたいとさに押すボタンは何 2,Aボタン,Bボタン,スタートボタン,セレクトボタン,Bボタン
近い将来、ある重大なことが起きると予想される日のことを俗に何という?,ゼットデー,ワイデー,エックスデー,ダブリューデー,エックスデー
海外旅行をする時に必要な「旅倫」のことを、普通、何という ?,パスポート,カスケード,バスローブ,バスレーン,パスポート
蒸し暑い室内で行われる、ダイエット効果があるとして人気のヨガは回角,クールヨガ,グッドヨガ,ホットヨガ,アイスヨガ,ホットヨガ
「あたりまえ体操」などのネタでおなじみの、多田健二と善しの2人からなるお笑いコンビは何 ?,WOWOW,GUIGU|I,COWCOW,PIGPIG,COWCOW
次のうち、同じことの繰り返しで決着がつかないことを意味する言葉はとれ?,たぬきごっこ,いのししごっこ,いたちごっこ,さつねごっこ,いたちごっこ
NHK大河ドラマの本放送が地上波で放映されるのは、原則として毎週何曜日 ?,水曜日,火曜日,日曜日,月曜日,日曜日
サッカーのワールドカップが開催されるのは何年に一度 ?   「,3年,4年,1年,2年,4年
リン、バット、ユリアなどの人物が登場する、『週刊少年ジャンプに連載されていた漫画は何 ?,ドラゴンボール,キン肉マン,北斗の挙,SLAM DUNK,北斗の挙
お笑い芸人、ビートたけしが開発に携わった、1986年発売のファミコンソフトは何 ?,たけしの挑戦状,たけしの脅迫状,たけしの招待状,たけしの果たし状,たけしの挑戦状
次のうち、フェンシングの種目にないものはどとどれ?,ポワレ,フルーレ,エエペ,サーブル,ポワレ
仲本工事、加藤茶、志村けんらのメンバーからなるグループは何 ?,ザ・タイガース,ザ・ビートルズ,ザ・ドリフターズ,ザ・ワイルドワンズ,ザ・ドリフターズ
次のうち、非常にかたい様子を表す言葉はどれ ?,ケチケナチ,パチパチ,ネチネチ,ガチガチ,ガチガチ
漫画『ドラえもん』で、ドラえもんが夜、寝ている場所は何の中 ?,物置,トイレ,湯船,押入れ,押入れ
_ 「@」の名称は「〇〇〇マーク」。〇つつ〇つ〇は2                 -,カット,オット,ハット,アット,アット
次のうち、髪の毛をセットする時に使う整髪料はどれ?,ムース,アース,リース,バース,ムース
「ジェイソン」という殺人鬼が登場する、ホラー映画シリーズは何 ?,13日の土曜日,13日の日曜日,13日の木曜日,13日の金曜日,13日の金曜日
バレーボール男子日本代表の愛称ENIIeN隊欄た%円記,旬,席,"E
月
JALふ】",龍,龍
セオドア・ルーズベルト、フランクリン・ルーズベルトといえばいずれもどこの国の歴代大統領 ?,ロンア,アメリカ,フラフランス,ドイツ,アメリカ
次のうち、実際にいた仮面ライダーはどれ2?,仮面ライダーV4,仮面ライダーV2,仮面ライダーV3,仮面ライダーV1,仮面ライダーV3
次のうち、プロ野球のセ・リーグの球団はどれ?,ソフトバンク,ロッテ,ヤクルト,西武,ヤクルト
苦い粉薬を包んで飲みやすくする、薄いデンプン肛を何という ?,オブラート,オブライエン,オプチミスト,オブリガート,オブラート
ロシアの宇宙飛行士・ガガーリンの有名な言葉「地球はOO〇OO〇つ」。〇〇つつは何 ?,白かった,黒かった,青かった,赤かった,青かった
「めちゃイケ」の愛称で知られるフジテレビ系列のバラエティ番組は回角,めちゃx2イケそうッ!,めちゃx2イケないッ!,めちゃx2イケてるッ!,めちゃx2イケめんッ!,めちゃx2イケてるッ!
次のうち、現存する日本最古の物語はどれ2?,指輪物語,十日物語,二都物語,竹取物語,竹取物語
クリスマスに、子どもたちにプレゼントを届けるといわれる伝説上の人物は誰 ?,モーセ,ヤマタダノオロチ,サンタクロース,ユニコーン,サンタクロース
水の化学式は「H20」ですが、お湯の化学式は何2?,CH4,CO2,H20,NH3,H20
タコやイカ、貝はどんな動物のグループに属する ?,気体動物,液体動物,剛体動物,軟体動物,軟体動物
次のうち、九九の答えとして最も多,10,11,13,12,12
主人公のフリーター・武誠治の成長を描いた、ドラマ化もされた有川浩の小説は何 ?,フリーター、犬を買う。,7/ リーター、  家を買う。,フリーター、車を買う。,フリーター、島を買う。,7/ リーター、  家を買う。
次のうち、江川達也の漫画はどれ ?,京都大学物語,東京大学物語,北海道大学物語,名古屋大学物語,東京大学物語
生活情報番組『ためしてガッテン』を放送していたテレビ局はどこ?,フジテレビ,日本テレビ,テレビ朝日,NHK,NHK
たこ焼き、吉想される都道府県はどこ2,富山県,山形県,大阪府,品崎県,大阪府
沖縄県に生息する、特別天然記念物のヤマネコは、〇〇〇ヤマネコ。〇〇つつは ?,ウラオモテ,モテモテ,コワモテ,イリオモテ,イリオモテ
URLを登録することを「ブックマーク」といいますが、元々この「ブックマーク」が表すものは何 ?,しおり,万年筆,"宣
光ペ
ペン",ブックカバー,しおり
かつて「なんでだろてなんでだろ>ン」のネタで一世を風臓したお笑いコンビは何 ?,テツandトモ,タダタカアンドトシ,QあんどA,JUDY AND MARY,テツandトモ
