Q,K1,K2,K3,K4,A
命日が「桜桃忌」と呼ばれる、有名な作家といえば誰?,川端康成,森際外,太宰冶,志買直喜,太宰冶
映画 『イージー・ライダー』で、旅に出るキャプテン・アメリカが投げ捨てる、現代生活の象位は何?,財布,"保安官
安選バッジ",腕時計,眼鏡,腕時計
ドラマ「白夜行」で、唐沢雪穂の幼2時代を演じたのは?,志田未来,美山加恋,編田麻由子,川島海倫,志田未来
リヤングマガジン』連載の漫画作品『OOOの詩』。〇〇〇は何 ?,乃木坂,日向坂,樽坂,吉本坂,乃木坂
かつて皿岡ダイエーホークスに所属していたボビー・シグペンが、当時大リーグで保持していた記録は何 ?,1シーズンのセーブ数,通算礁三振数,通算セーブ数,1シーズンの春三振数,1シーズンのセーブ数
「マズルカ」や「ポボポロネーズ」 といえば、どこの国の民族舞踊?,スイス,ポーランド,ロンア,ポルトガル,ポーランド
「バロメーター」は気圧計のことですが、「アネモメーター」といえはば何計のこと 2?,体車計,体温計,風速計,血圧計,風速計
テザイン・発注をした日本人の名前がついた、エルメスの旅行カバンのと2たる円4,マレット・タナカ,マレット・タカハシ,マレット・イトウ,マレット・ワタナベ,マレット・タナカ
ボウリングで、レーンの最も左側に置かれているのは何番ピン ?,5番ピン,7番ピン,1番ピン,10番ピン,7番ピン
武蔵野」「牛肉と馬鈴英」などの作品を残した明治時代の小説家は?,国木田独歩,正宗白島,田山花袋,徳田秋声,国木田独歩
アニメ「GetBackers -奪愉屋-」で、「水城夏実」の声優をつとめた女性タレントは誰?,優香,乙葉,若槻千夏,はしのえみ,乙葉
「くちなわ」といったら、何という生き物の別名 ?,トカゲ,カメ,ワニ,へヘビ,へヘビ
地球から見た場合、水星の公転周期はおよそて何日?,68日,88日,78日,98日,88日
世界で最も長く続く王琶があるのはとどこ?,イギリス,タイ,デンマーク,日本,日本
那須与一が船上の局を弓で射落としたことが有名な源在の戦いの1つは回角,富士川の戦い,壇ノ浦の戦い,屋島の戦い,ーノ谷の戦い,屋島の戦い
1960年、コンゴは〇〇の〇〇から独立した。〇〇〇〇に入る国は?,イギリス,フフンス,ベルギー,イタリア,ベルギー
シルバーのアクセサリーが黒ずんでしまうのは空気中のどんな成分が原央| ?,アンモニア,オゾン,硫黄,水素,硫黄
野球漫画『おおきく振りかぶって』の作者である女性漫画家は誰2,ひぐちアサ,中村光,涼川弘,物海野チカ,ひぐちアサ
スマホゲームの『マリオカート ツアー」ほは、最大何人まで対戦することカKGっ。,4人,10人,6人,8人,8人
NBAのチームでカリフォルニア州に本拠地をおくのは4チーム。その中に各まれないのはどれ?,レイカーズ,サンズ,ウォリアーズ,キングス,サンズ
メジャーリーグで 「マルチヒット」といえば、1人の選手が1試合で何本以上ヒットを打つこと ?,3本,5本,2本,4本,2本
次の元素のうち、アクチノイドに含まれない元素は?,Tc(テクネチウム),Th(トリウム),Pu(ブプルトニウム),Pa(プロトアクチニウム),Tc(テクネチウム)
史上最強の力士とされる江戸時代の大関・需電為右衛門の、本場所での勝率はいくら?,9割6分2厚,9割2分2厚,9割8分2厚,9割4分2厚,9割6分2厚
次のうち、ファミリーコンピュータ月ソフトとして発売された『マリオ』>シリーズの作品はどれ?,スーパーマリオ64,スーパーマリオランド,スーパーマリオワールド,スーパーマリオUSA,スーパーマリオUSA
ニュージーランドの先住民は?,,転勤族,マオリ族,アボリジニ,マオリ族
「ビジョンブラッド」といえば、どんな宝石の最高級品 ?,トパーズ,ルビー,エメラルド,サファイア,ルビー
次の物質のうち、水の温度が上がると基本的に溶けにくくなるのはどれ?,炭酸水素ナトリウム,塩化ナトリウム,アンモニア,グルコース,アンモニア
小玉ユキの漫画『坂道のアポロン』のヒロイン・律子の家は何屋2,,古着屋,レコード屋,パン屋,レコード屋
ファミコンソフト 「迷宮組曲」の主NNた,ムロン,マロン,メロン,ミロン,ミロン
以下のジャズ・ミュージシャンの中でピアニストは誰?,ビル・エヴァンス,ジョン・コルトレーン,チャーリー・パーカー,マイルス・デイヴィス,ビル・エヴァンス
天球上を太陽が移動する見かけ上の行路のことを何という ?,白道,黒道,,黄道,黄道
映画『ALWAYS 三丁目の夕日』や『永遠の0』などの作品で知られる映画監督は誰?,山崎弘也,山崎貴,山崎まさよし,山崎武司,山崎貴
フォスター作曲の楽曲『おおスザンナ』の歌詞に登場する楽器は何 ?,ティンパニ,ファゴット,ヴィオラ,バンジョー,ティンパニ
魔法少女リリカルなのはStrikerSに登場するスバル・ナカジマの親の名前は?,ミズキ・ナカジマ,ゲンヤ・ナカジマ,クロノ・ナカジマ,ギンガ・ナカジマ,ゲンヤ・ナカジマ
高校野球の春の甲子園大会。 1人で最大何回出場できる ?,7回,2回,3回,6回,2回
"編島県の編島駅と山形県の新庄駅を小口
まい                す1 |
アノ ヽ
』
り  の
線
スズ
【
ロ",山形新幹線,東北新幹線,秋田新幹線,岩手新幹線,山形新幹線
次のうち、植物の科の分類にあるのにどれ?                      「,レモン科,ブドウ科,リンゴ科,イチゴ科,ブドウ科
1992年4月1日に太陽御戸三井銀行は〇つ〇つ〇銀行となった。〇〇〇に当てはまるのはとどれ?,さくら,つばめ,りそな,あおい,さくら
元の名前を東パキスタンといった、イスラム教徒の多いアジアの国はどご2,バングラデシュ,ネパール,ミヤャヤンマー,ブータン,バングラデシュ
陸上のカール・ルイスがオリンピックで4大会連続金メダルを獲得した昌三,走り幅跳び,100m,4x100mリレー,200m,走り幅跳び
アル人zAm opョンルくり(=還たシー」の名前の由来となったのは、何というバンドの曲 ?,レッド・ツェッペリン,ローリング・ストーンズ,ビートルズ,クイーン,ビートルズ
いくつかに割れて持ち連べるところから名が付けらた、歌舞伎の背景となる大道具といえば何 ?,書割,頭割,学割,役割,書割
車のアウディの口ゴは、連がいくつ描かれている 2,6つ,4つ,3つ,Sつ,4つ
ホラー映画『呪候』の次のシリーズ作品のうち、公開されたのが最も遅かった作品はどれ ?,呪作 黒い少女,呪狗-終わりの始まり-,呪候-ザ・ファイナル-,呪独2,呪候-ザ・ファイナル-
太陽、シリウスに次いで3番目に明るい、りゅうこつ座のa星は何 ?,カノープス,ベテルギウス,アークトウゥルス,スピカ,カノープス
ウイグル語で「一度入ったら出られない」という意味がある、中国の砂音は何 ?,ナミブ砂漠,タクラマカン砂漠,ゴビ砂漠,サハラ砂洪,タクラマカン砂漠
荒達癌の漫画『ハリガネサービス』の題材となっているスポーツは何 ?,サッカー,バスケットボール,野球,バレーボール,バレーボール
アニメ『サザエさん』に登場するマスオさんを演じていた声優は、次のうち誰 ?,松本保典,氷井一郎,増岡弘,若本規夫,増岡弘
「国際原子力機関」 のことを、アルファベット4文字の略称で何という?,NATO,ICPO,IAEA,UNEP,IAEA
「ドラえもん」の登場人物ののび太の誕生日は何月何日?,4月1日,8月7日,2月1日,6月15日,8月7日
食品の「春雨」の生産量が一番多い都道府県はどこ?,奈良県,滋賀県,大阪府,和歌山県,奈良県
寛政の改叶を実施した老中といえば次のうち誰?,井伊直弓,松在定信,水野忠邦,新井白石,松在定信
メジャーリーグのパドレスが本拠地を置く、西海岸の都市はどこ ?,"ン
アトル",ロサンゼルス,サンディエゴ,アナハイム,サンディエゴ
ある日突然王女になってしまった主人公・ミアをアン・ハサウェイが演じたラブストーリー映画は何 ?,プリティ・ブライド,プリティ・プリンセス,プリティ・ロマンス,プリティ・ウーマン,プリティ・プリンセス
引退後は立浪を襲名した、本名を小林正治という大相撲第36代横綱は-上:壮4,男女ノ川登三,移黒山政司,,安藝ノ海節男,移黒山政司
「クロノグラフ」とは、どんな機能がついた腕時計のこと ?,訂酔銃,方位磁針,ストップウォッチ,アラーム,ストップウォッチ
タカラジェンヌの正装といえば、黒の紋付に何色の容 ?,白,紺,"ーー
穴",緑,白
アニメ『「サザエさん』で、津村まこあのとの:とシモンンルルル: ただ当ち次のうち誰 ?,カツオ,ワカメ,フネ,タラちゃん,ワカメ
メジャーリーグのカブスとホワイトソックスが本拠地を置く都市はどご2,ニューヨーク,シカゴ,ボストン,ロサンゼルス,ニューヨーク
『西爪BABY』 『波乗りかき氷』」など曲があるAKB48の派生ユニットは何 :,ノースリーブス,フレンチ・キス,DIVA,Not yet,Not yet
元素を原子番号の順番に並べた一覧表を何という ? 「,物質表,規則表,元素表,周期表,周期表
昭和43年に起きた「三億円事件」で現金が奪われたのは何銀行の現金圭送車?,三井信託銀行,日本信託銀行,東洋信託銀行,安田信託銀行,日本信託銀行
新沢基栄のギャグ漫画!ハイスクール!奇面組』 で、奇面組のリーダー一堂鶴の実家は何屋を営む ?,,おもちゃ屋,ケーキ屋,酒屋,おもちゃ屋
漫画「こちら葛飾区亀有公園前派出所」の主人公、両津勘吉の誕生日はいつ?,12月24日,7月6日,3月3日,12月26日,3月3日
体を「へ」の字にする「パイクスタート」といえば、次のうちどんな競技で行われる姿勢 ?,誠般,マフソン,"立立*マ
呪涼",スキージャンプ,"立立*マ
呪涼"
次のうち、YUIのヒット曲「チェリー」の表記として正しいのはどれ?,CH.E.RRY,CHE.R.RY,CHER.R.Y,C.H.ERRY,CHE.R.RY
大相撲の星取表で、白い三角で表される勝負結果は何 ?,負け,痛み分け,不戦勝,不戦敗,痛み分け
「ポート・オブ・スペイン」はどこJE【の』三Ei多     」,コートジボワール,トリニダード・トバゴ,エルサルバドル,パプアニューギニア,コートジボワール
次のうち、井原西鈴が書いた浴世草子はどれ?2     ー,東海道中膝栗毛,日本永代蔵,奥の細道,解体新書,日本永代蔵
観賞植物のセントポーリアの和名は円時,アジアスミレ,アフリカスミレ,オセアニアスミレ,アメリカスミレ,アフリカスミレ
次のうち、強心薬などに使われる植物「ジギタリス」の別名はどれ ?,イヌノボウシ,ネズミノスカート,ネコノクツシタ,キツネノテブクロ,キツネノテブクロ
ファッションテデザイナー「コシノ三姉妹」の母親の名前は何 ?,ミナコ,ジュンコ,ヒロコ,アヤコ,アヤコ
広島県の世界遺産「原爆ドーム」は設立当初、何という名称だった?,鳥類研究所,物産陳列館,産業開発館,広島市役所,鳥類研究所
「グラビアアイドル」の「グラビア」とは元々どんなものの名前 ?,国,企業,雑誌,印刷法,印刷法
タカラジェンヌの正装であり、人彼女たちの代名詞的存在でもあるのは何色の容 ?,すみれ色,紅色,緑色,空色,緑色
2世タレントの篠山輝信。父は写真家の人篠山紀信ですが、ちる』中にゴの所:半4,山口百恵,太丘めぐみ,天地真理,南沙織,南沙織
エヴァンゲリオンTV版第弐拾壱話で、ゼーレの手から冬月を開放したの1とお:,葛城ミサト,赤木リツコ,加持リョウジ,古ゲンドウ,葛城ミサト
静岡県で言い伝えられている、壮絶な戦いの末、怪物を退治したといわれている犬は次のゆうちどれ?,率在太郎,赤銅鉛ノ助,忠犬ハチ公,桃太郎,率在太郎
「江戸いろはかるた」や「京いろはかるた」の取り札は全部で何枚 ?,36枚,48枚,60枚,72枚,36枚
カーリングで、投げたストーンを相手のストーンに当ててはじき出すことを何という3?,テイクアウト,アップ,スウィープ,フリーズ,テイクアウト
アリゾナ州でトレーニングを行うMLIチームを総称して何リーグと呼ぶ ?,カクタス,カウボーイ,アリゲーター,グレープフルーツ,カクタス
日本国一法の条文の数は全部でいくつ 2?,203条,153条,103条,53条,103条
自分の姓を妊娠させフランスに逃避した事実を告白した小説「新生」の作者は誰?,岩野泡鳴,島崎藤村,近松秋江,田山花袋,島崎藤村
志賀直哉らとともに雑誌『白樺』を創刊した、小説『友情』で知られる日樺泊の作家は誰 ?,武者小路実篤,谷崎潤一郎,有島武郎,島崎藤村,武者小路実篤
1942年に臨界に達した世界初の原子炉が建設されたのは、どんなスポーツの競技場だった ?,ホッケー,ラクロス,スカッシュ,フットボール,スカッシュ
メダカの雌雄の見分け方で、オスは座行四辺形、メスは三角形をしているとされるのはどの部分 ?,むなびれ,背びれ,尾びれ,しりびれ,しりびれ
次のうち、最もカテゴリーの広いものはどれ2?,複素数,有理数,実数,目然数,複素数
ゴルフのハンディキャップ算出法「^リア方式」で、隠しホールに設定さオるホール数は全部でいくつ?,3つ,4つ,6つ,Sつ,6つ
葉酸は別名何という?,ブタミン,ビタミンD,ビタミンM,ビタミンA,ビタミンM
ヒューゴ一皿とネビュラ覚。これらが与えられる小説のジャンルは?,アクション,ミステリー,"フ  ヽ
ァアンタジー",SF,SF
毎年夏にドイツで行われる「バイロイト音楽祭」は、主に誰の作品が演奏される音楽祭 ?,ワーグナー,ベートーベン,ブラームス,モーツァルト,ワーグナー
「いろは歌」の47文字に含まれない92359)YZMた時,を,の,久,ん,ん
第一次世界大戦後に、連合国側と「ヌイイ条約」を結んだ国はどこ ?,オーストリア,ハンガリー,ブルガリア,"オスマ>
マン希国",ブルガリア
美輪明宏の幼名は次のうちどれ2?,ごろう,たくや,しんご,つよし,しんご
披露宴などで自分の席で行うあいさつのことを何スピーチという 2,テーブルスピーチ,ショートスピーチ,メッセージスピーチ,ウェルカムスピーチ,テーブルスピーチ
中国料理によく使われる豆板醤の原炉となる豆は2?,いんげん豆,ひよこ豆,空豆,えんどう豆,空豆
太醒、中醒、細醒などの種類がある相楽半といえは何 ?,三味線,尺八,寿,太鼓,三味線
あしたのジョーで「戦うコンピューター」金童飛の得意技といえばチョムチョム。 漢字で書くと?,殴々,舞々,蝶々,娘々,舞々
ルービックキューブで揃えることができない面の数はいくつ?,5面,3男,2面,4和面,5面
アメリカのドラマや映画などで活躍する、姉・ダコタ、妹・エルの姉妹女優は誰?,カルキン,ファニング,デップ,スピルバーグ,ファニング
「新圭線」という地名を持つ地方はどこにある?          「,愛知県刈谷市,静岡県蟹田市,静岡県田方郡,大阪府三島郡,静岡県田方郡
アメリカンフットボールで、攻撃側が稚得した距離の合計を何という 2?,ゲイン,キャリー,スタック,ドロップ,ゲイン
次のうち、イタリアのサッカー・セリエAのクラブはどれ?,ウディネーゼ,アーセナル,"レアル
・マドリード",シャルケ04,ウディネーゼ
章謡「『うれしいひな祭り」に登場しない言葉は?               -,巨女,左大臣,右大臣,日酒,左大臣
人矯門と区別するために使用していた道具の名前からとられた、日明貿易の別名は何 ?,通信符貿易,南密貿易,勘合買易,朱印船貿易,勘合買易
ペサパッロとは、フィンランド版の「何」とよばれるスポーツ2?,野球,テニス,バスケットボール,サッカー,野球
演歌の名曲、「津軽海峡冬景色」を誤ったのは石川さゆりですが作詞しがのひ】た,阿久悠,三木たかし,都倉俊一,石川さゆり,阿久悠
地球科学者の猿橋勝子を記念して創設された「和猿橋賞」で、受賞の対象となるのはどのような人 ?,女性,高校生,大学生,40歳以下,女性
「新世紀エヴァンゲリオン」の赤木リツコの声優は誰?   ーー,山口由里子,土井美加,林原めぐみ,品村優子,山口由里子
昭和30年代のテレビCM、アイデアルたまり1リヒスンルアルだす,植木等,石原裕次郎,若乃花,美空ひばり,植木等
歌舞伎の役柄の中でも、悪人役のことを特に何という ?,囚役,吉役,退役,敵役,敵役
膝崎聖人の漫画 『!ワイルドライフ』で、主人公、岩城鉄生の職業は何 ?,ドライバー,パイロット,獣医師,備兵,獣医師
ディズニーランドがあるヨーロッパの国は ?,イタリア,イギリス,スペイン,フフンス,フフンス
サンリオのキャラクター、マロンクリームのお母さんの名前は?,ホイップクリーム,チョコクリーム,バニラクリーム,カスタードクリーム,バニラクリーム
次のうち、1912年に鈴木梅太郎が米ぬかから発見した「オリザニン」が各まれるカテゴリーはどれ?,ビタミン,タンパク質,脂質,炭水化物,ビタミン
「ななつぼし」 「ゆめびりか」 「きらら397」などのお米を主に生産している都道府県はどこ ?,北海首,山形県,,秋田県,北海首
次のうち、第二次世界大戦以前に行われた政策はどれ ?,財閥解体,車際の解散,成人男子による普通選挙,農地改革,成人男子による普通選挙
孝子のラクロスは、1チーム何人 ?,10人,5人,2人,15人,10人
4年に一度開催されるユースオリンピックに出場できるのは、14歳から何歳までの選手 ?,23歳,28歳,33歳,18歳,18歳
一般的な水銀体温計で、数字が赤く書かれているのは何度?,38度,39度,40度,37度,37度
次のうち猫が鈍感な味覚はどれ?,甘い,若い,辛い,すっぱい,甘い
「夏の紅白」とも呼ばれる、毎年8月に放送されているNHKの公開音楽番組はどれ ?,日本のメロディー,流行のメロディー,思い出のメロディー,懐かしのメロディー,思い出のメロディー
1等星 「アルタイル」がある星座は?,はと座,はくちょう座,わし座,つる座,わし座
フランスのサッカークラブ「〇〇〇つつ・リヨン」「〇O〇〇・マルセイユコ」。〇の〇〇に入る言葉は何?,オリンピック,ユニバーシアード,ワールドカップ,ユーロロ,オリンピック
道端ジェシカの出身地は?,忠岡県,東京都,編島県,編井県,編井県
次の路線のうち、JR東京駅に乗り入れていない路線はどれ 2?,総武本線,京葉線,東北本線,山陽本線,山陽本線
サッカーのGKに与えられるヤシン・ロフィーに名を残すレフ・ヤシンは、どこの国の選手だった?,ソ連,デンマーク,ハンガリー,ポーランド,ソ連
次のうち、詩集にあたるものはどれ :,邪示門,浦団,破戒,金色夜叉,邪示門
アリゾナ州でトレーニングを行うMLIチームを総称して何リーグと呼ぶ ?,アリゲーター,グレープフルーツ,カクタス,カウボーイ,アリゲーター
富山県・魚津が発端とかった「米騒動」といえば、何時代に起きた暴動 ?,邊安時代,飛鳥時代,江戸時代,大正時代,邊安時代
1/2や1/3のように、分子が1である分数を特に何という2,系分数,融分数,単位分数,仮分数,単位分数
イタリアの解剖学者ガルヴァーニが、生体中の電気現象を発見したとさに実験に使われた動物は何 ?,カエル,アメーバ,カイコ,ラット,カエル
漫画「ワンピース」で、ウソップ海賊団に所属していたメンバーの名前でないのは、次のうちどれ ?,ジャガイモ,たまねぎ,ピーマン,にんじん,ジャガイモ
ウナギの卵が見つからなかったために、アリストテレスはウナギはどう生まれると考えていた ?,蛇から変化する,泥から生まれる,分像する,空から降る,泥から生まれる
メダカの雌雄の見分け方で、オスは座行四辺形、メスは三角形をしているとされるのはどの部分 ?,尾びれ,しりびれ,背びれ,むなびれ,しりびれ
浅草寺の雷門に吊り下げられている提灯の重さはいくら ?,100kq,700kg,500kg,300kg,700kg
歌手の「原由子」の楽曲、「京都物語」の歌詞に登場する京都にある寺院は何?,広隆寺,清水寺,南禅寺,建仕寺,南禅寺
T栓成」の年号が始まったのは西圧に芝/,1989年,1992年,1991年,1990年,1989年
人気マンガ「スラムダンク」にて赤木が愛用しているバッシュのブランド は?,アシックス,ナイキ,コンバパース,アディダス,コンバパース
ドラクエ9の主人公は、ゲーム開始時に何だった?      「,在民,遊び人,天使,悪魔,天使
第二次大戦中にタイムスリップした海上自衛隊のイージス和央の姿を指く、かわぐちかいじの漫画は何 ?,沈黙の艦隊,アクター,ジパング,太陽の詩示録,ジパング
田中角栄総理を退陣に追い込んだ金脈問題の内幕を掲載した週刊誌といえば?,「朝日ジャーナル」,「サンデー毎日」,「週刊新潮」,「文芸春秋」,「文芸春秋」
アニメ『名探偵コナン』のオープニング曲だった『謎』を歌った歌手は上:壮4,三枝夕夏,愛内里朱,小松未歩,倉木廊衣,小松未歩
映画「七人の侍」で、最初に死亡するのは誰? 。,久大,五郎兵衛,欧千代,年八,年八
『UROBOROS』」などのアルバムがある、京をボーカルとする5人組ロックバンドは何 ?,ONE OK ROCK,SEKAI NO OWARI,DIR EN GREY,MALICE MIZER,DIR EN GREY
日本最西端の島は?,南鳥島,沖ノ鳥島,与那国島,石垣島,与那国島
表酸の主成分となる酸は何 ?,塩酸,硝酸,硫酸,ギ酸,塩酸
日本マクドナルド株式会杜の本福はどこにある?       「,ミッドランドスクエア,新倫アイランドタワー,六本木ヒルズ,東京タワー,新倫アイランドタワー
山口つばさの漫画『ブルービリオド』で、主人公・矢口八虎が目指すのはとんな大学 ?,音楽大学,工業大学,美術大学,農業大学,美術大学
ジャイアント馬場の必殺技「16文キック」。 実際に大きさに直すと何Cm 2?,28.4cm,38.4cm,58.4cm,48.4cm,38.4cm
日本では風力は何段階に分けられている?       ー,11段階,13段階,10段階,12段階,13段階
NHK連続テレビ小説『花子とアン』で、ヒロイン・花子の夫・村岡英治を演じた俳優は誰 ?,向井理,松坂桃李,風間俊介,鈴木亮在,向井理
次のうち、大相撲の決まり手に分類くれない「非技」はどれ2,つき手,送り倒し,呼び戻し,ちょん掛け,つき手
次のうち、2つの色が、明度だけが異なる関係となっている組み合わせはとどれ?,青色と水色,桃色と広色,赤色と緑色,黄色と黄緑色,青色と水色
ジャーナリスト・池上彰の出身大学は?,京都大学,慶応大学,東京大学,早稲田大学,慶応大学
アニメ『學たま乱太郎』の主人公・可太郎の名字は何?,箱名寺,黒木,太富,摂津の,箱名寺
一般に見られるテントウムシは動物界、関節動物門、昆虫鋼、コウチュ4三里時貼に貼三時,アブラムシ,カブトムシ,カナブン,テントウムシ,カブトムシ
「セレソン」といえば、次のうちどこの国のサッカー代表の愛称 ?,イタリア,カメルーン,ベルギー,ブラジル,ブラジル
次のうち、ピカソの絵画『ゲルニ力』の題材となった戦いはどれ?,スペイン内戦,第一次世界大戦,朝鮮戦争,冷戦,スペイン内戦
次のうち、フェンシングのフランス語和名はどれ?,エムクリム,エークリム,エスクリム,エルクリム,エスクリム
次のうち、明治時代に公布された法律はどれ?  「,鎖国令,徳政令,断髪令,伺約令,断髪令
アニメ「サムライチャンプルー」で脚本を担当していないのは誰?,佐藤大,小原信治,信本人敬子,近藤日葉,近藤日葉
歴史小説『ローマ人の物語』シリーズで知られる作家は誰?,有川浩,塩野七生,米澤穂信,湊かなえ,塩野七生
アニメ「『七つの大罪』のオープニンク曲『熱情のスペクトラム』を歌っていたグループは何 ?,いきものがかり,ボポルノグラフィティ,BUMP OF CHICKEN,サカナクション,いきものがかり
劇場にある、舞台と客席の間の一段下がった演奏スペースは「オーケストラ・の〇の〇のOO」 。 の〇の〇は何 ?,ピット,ポット,パット,ペット,ピット
次の数学者のうち、生まれたのが最も早いのは誰 ?,関孝和,フェルマー,"ポアンカ
レ",ユークリッド,ユークリッド
"山口百恵主演のテレビドラマ「赤い連命」
で
、赤
仙人2
役たっ
た
この
は?",三浦友和,南條豊,水谷豊,長谷川初範,三浦友和
箸使いのタブーで、一度箸をつけておさきながら、料理を取らずに箸を引くことを何という?,そら箸,指し箸,奇せ緒,涙閉,そら箸
日本の総理大臣の年齢について、理論上考えられる最も若い年齢はいくつ?,25歳,30歳,40歳,35歳,25歳
エクスパンダ星からやってきたパンダ王子という設定である、テレビ朝日のマスコットは何 2,ヨンさま。,ロッくん。,ゴーちゃん。,サーン土了。,ゴーちゃん。
ムるに※き6 ゴ61.(610.cPのマニシをストと:のアムAだと :,TORU,RYOTA,TAKA,TOMOYA,RYOTA
「お魚くわえたどら猫ぶ」で始まるお馴染みのサザエさんのオープニングテ ーー Yo   BEた:,側美京和,凶木キサブロー,馬飼野康二,林 哲司,側美京和
最も種類が多い相撲の決まり手の分類は、次のうちどれ?,掛け手,鬼り手,投げ手,反り手,掛け手
次のうち、中部地方にない川は?,木岬川,信濃川,富士川,利根川,利根川
映画 !若大将シリーズ』で、田中邦衛が演じた石山新次郎のニックネームは何 ?,右大将,総大将,若大将,青大将,青大将
シェイクスピアの『夏の夜の夢」の女王から命名された、天王星最大の箇生は何 ?,チタニア,タイタン,トリトン,ガニメデ,チタニア
雑誌 『マーガレット』 連載の茶々川でらりの漫画『ラリーゲーム』の題材となっているスポーツは何 ?,テニス,バレーボール,バスケットボール,ラクロス,バレーボール
メンタリストの「!ダイゴ」の表記として、正しいのはどれ?,DaiGOo,DAIGO,DAlgo,Daigo,DaiGOo
かつて「おニャン了クラブ」に所属していた女性はどれ?      」,山崎真由美,山崎真実,佐田真由美,倉田真由美,山崎真由美
徐旋 !Kiss』 連載の漫画 !七つ屋 志のぶの宝石陣』を描いている漫画家に上:壮4,ニノ宮知子,東村アキコ,佐々木倫子,物海野チカ,ニノ宮知子
清涼飲料水「はちみつレモン」を最初に発売したメーカーはどこ?,カルピス,キリンビバレッジ,ポッカコーポレーション,サントリーフーズ,サントリーフーズ
「足高の制」が始められた、江戸時代の改革は何?,亭保の改革,天保の改革,文久の改革,赴政の改革,亭保の改革
Iじににゴジ.るツニニリピピン皮くれ に だ「ブラックソックス事件」に関与したのはどこのチームの選手 ?,ブルージェイズ,ホワイトソックス,レッドソックス,レッズ,ホワイトソックス
はがきさは第何種郵便物?,第二種,第一種,第四種,第三種,第二種
物理学者ファラデーにちなもむす単位「ファラド」は、何の単位 ?,磁束密度,,"静電容
容量",,"静電容
容量"
スナッチ、クリーン&ジャークという種目がある競技は何 ?,車量挙げ,レスリング,アーチェリー,新体操,車量挙げ
次のうち、ブラジルで新年には食べてはいけないとされているものはどれ 2?,魚,,豚肉,豆,
漫画「ワンピース」でニコ・ロビンの母親の名前は?,ニコ・オリビア,ニコ・オリピビエ,ニコ・オルビア,サンコ・ロビン,ニコ・オルビア
アイドルグループ・BiSHのファンはffと呼ばれる ?,"研究員
員",清掃員,公務員,"正会員
中",清掃員
スポーツの「ペタンク」が発冬した国はどこ ?     -,カナダ,フフンス,インド,ベルギー,フフンス
安倍夜郎の漫画『深夜食堂』で、舞台となる深夜食堂があるのは次のうちとこ?,札幌,博多,東京,大阪,東京
東経133度33分33秒、 北緯33度33分33秒の位置にある県庁所在地はどご2,山口市,和歌山市,静岡市,高知市,高知市
レバニラ炒めを食べる際に一緒に摂るとビタミンB1の吸収を高める働きがある食べ物は次のうちどれ?,ビピーマン,ニンジン,もやし,ネギ,ネギ
細胞から「核」を取り除いた部分を何という2,細胞質,腕細胞,核細胞,細胞体,細胞質
かつて日本テレビ系列で放送されていた「ルックルックこんにちは」の初代司会者は誰?,松永二三男,ヨネスケ,岸部シロー,沢田亜矢子,沢田亜矢子
アニメ 『永菓』」の原作となった小説『 〈古典部) シリーズ』の作者は上:壮4,三上延,倉知注,松岡圭病,米洋穂信,米洋穂信
地球上のすべての8000メートル峰がある地域はどこ ?2,南アメリカ,南極,アジア,アフリカ,アジア
次のうち、車の通行が日本と同じ左側通行の国はどれ?              「,アメリカ,ブラジル,オーストラリア,中国,オーストラリア
中国の王朝・唐が滅亡するきっかけとなった反乱は何 ?,陳勝・呉広の乱,黄巾の乱,黄果の乱,紅中の乱,黄果の乱
次のうち、国家資格が必要ではない仕事はどれ?,助産師,ボイラー技士,祝察犬訓練士,潜水士,祝察犬訓練士
毎年、都市対抗野球の決勝が行われる球場はどこ2     _,京セラドーム大阪,紳宮球場,東京ドーム,甲子園球場,東京ドーム
ダイバーの間で「GT」と呼ばれる、世界最大のアジは何 ?,リュウネンアジ,テイガクアジ,ロウニンアジ,タイガクアジ,ロウニンアジ
箱根駅伝の復路第65区のコースは、往路では第何区に相当する?,2区,1区,8区,5区,5区
刺激を受けとる問巨を何という?,感覚器,理経,刺激官,覚醒問,感覚器
音楽バンド・KANA-BOONのボーカルは誰 ?,山村隆太,尾崎世界観,谷口鯛,川谷絵音,谷口鯛
ユングフラウヨッホはどこの国の世界遺産?,スイス,イギリス,ベルギー,ペルー,スイス
さそり座を恐れ、さそり座が沈んだ後に昇ってくるとされる、q星をべテルギウスとする星座は何 ?,ケフェウス座,ペルセウス座,オリオン座,カシオペヤ座,オリオン座
食品・飲料会吐「ネスレ」の本填はヨーロッパのどこの国にある?,スイス,オランダ,フラフランス,ドイツ,スイス
「光化学スモッグ」が世界で初めて確認された都市はどこ?,ロンドン,ロサンゼルス,北京,バルセロナ,ロサンゼルス
スキンダイビングのときなどに使う「マスク」といえば、どこに水が入とないようにするもの2?,目,且,毛穴,へそ,目
中居正広が主演を務めたドラマはとれ2?,ブラザーズ,HERO,ソムリエ,先生知らないの?,ブラザーズ
次のうち、ゾンビの格好をした「ソゾンビアイドル」として活躍した女性タレントは誰?,小明,千秋,小秋,千明,小明
フィンスイミングで、スタートとターン以外では体の一部が水面から出てしなければならないい種目を何という2?,アプニア,サーフィス,イマージョン,ロングディスタンス,サーフィス
