21世紀が始まったのは西暦何年 ?,2010年,2001年,1999年,2000年,2001年
狩野永徳の絵画『洛中洛外図故風」は、どこの都市の風景を描いている ?,名古屋,東京,大阪,京都,京都
サッカーで、ボールがある側から遠い方のサイドを特に何という ?,ファーサイド,ニアサイド,ノーサイド,プールサイド,ファーサイド
往会人チャンピオンと学生チャンピオンが対戦する、アメフト日本一を決める大会を何という?,オレンジボウル,アイビボウル,ライスボウル,パールボウル,ライスボウル
"全日本大学アメフト選手権の決勝のことを、会場
会場名から「何ボウル」という ?",甲子園ボウル,国立競技場ボウル,横浜アリーナボウル,国技館ボウル,甲子園ボウル
ボクシングで、練特では強いのに、本番で勝てない選手を、俗に何という?,ジムファイター,ゲームファイター,コックファイター,バーチャファイター,ジムファイター
謎の生物、殺せんせ一が主人公の松井優征の漫画は『何教室』 ?,殺人教室,魔界教室,暗殺教室,恐怖教室,暗殺教室
タケは何科の植物 ?,クワ科,イネ科,マツ科,マメ科,イネ科
の3ぬいへい、 へ、/外窟半2yk光導稼>、 ( ) てく人還較ままアー ー へヽヽ間,         木村慎之助,木村愛之助,木村幸之助,削 木村庄之助,         木村慎之助
円以外の曲線を描くための、橋円や放物線などが組み合わされた特別な定規を何という ?,雲型定規,空型定規,,海型定規,雲型定規
次のうち、テレビ業界で、出演者などが画面から出ることを意味する言葉はどれ?,ばみる,はける,"かぶ
る",すべる,はける
冬季五輪のフィギュアスケートで、日本人男子初の金メダルを獲得した送手は誰 ?,町田樹,高橋大輔,本田武史,多生結弦,多生結弦
春分の日や秋分の日に、太陽が沈む方角はどこ2,真南,真西,真北,真東,真西
次のうち、サッカーの守備の戦術を指す言葉はどれ ?           「,モーグル,カテナチオ,スクイズ,バトルロイヤル,カテナチオ
化石としてよく発見される、カンブリア紀に生息した、海に住む節足動物は何 ?,万葉虫,三葉申,白葉申,千葉虫,三葉申
東毅の漫画『電波教師』の主人公である、元ニートの青年教師の名前は何?,鉛引一郎,工藤新一,八軒勇吾,バ道りんね,鉛引一郎
条要久緒が作詞・作曲を手がけ、目ら歌ったご当地ソング。『何旅情』 ?,函館旅情,究裳旅情,富良野旅情,知床旅情,知床旅情
登山で使われる「ザック」は、次のうちどんな道具 ?   -,かばん,テント,くつ,"雨合
有",かばん
次のうち、コンビニのファミリーマートの看板に使われていない色はどれ?,日,赤,緑,"守
月",赤
アリルビエンリ=ヒゴルレコム(の)のヒづパチ。〇に入る言葉は何?,コラフラ,オイ,マテ,ヤメ,オイ
その存在を確認したのは科学者の真島利行である、漆の主成分として知られる物質は何 ?,アルシオール,イルシオール,エルシオール,ワルシオール,ワルシオール
沖縄の方言 (ウチナーグチ) で「ヤマトンチュ」といったらどんな人のこと?,本土の人,山のほうに住んでいる人,奈良県民,医者,本土の人
「また君に恋してる』などの曲で知られる、兄弟フォークデュオといえば誰 ?,狩人,コブクロ,ビリーバンバン,ゆず,ビリーバンバン
次のうち、漫画『花より男子』に登場しない人物は誰 ?  ーー,化沢類,花本はぐみ,道明寺司,牧野つくし,花本はぐみ
江戸幕府転義を図った慶安事件の中人物である軍学者は誰 ?,分田四郎,江川英龍,由井正雪,片山良庵,由井正雪
映画『モテキ』や 『!苦役列車』に主演した俳優は誰2,志田未来,長洲未来,森山未來,山本未來,森山未來
湯川秀樹が存在を予言し、新たな素粒子が発見されるきっかけとなった科子といえば何 ?,中央子,中間子,中心子,中核子,中間子
次の歴代総理大臣のうち、就任当時に自民党に所属していたのは誰?2,硫生太郎,野田佳彦,鳩山由紀夫,菅直人,硫生太郎
アニメ 『鋼の錬金術師』で、主人公である兄エドワードと弟アルフォンスの澤字は何 ?,エルリック,マスタング,ブラッドレイ,アームストロング,エルリック
アレクサンドロス大王の治世に最盛期を迎えた、紀元前にバルカン生島に建国された王国は何 ?,マケドニア王国,ブルガリア王国,アルバニア王国,クロアチア土国,マケドニア王国
RPG『ドラクエIV』で、第1章の主人である王宮戦士の名前は何 ?,ブライ,ライアン,トルネコ,クリフト,ライアン
野球漫画『グラゼニ』の主人公・凡田夏之介が守るポジションはどこ 2?,ピッチャー,キャツナチャー,ファースト,サード,ピッチャー
有名な狂言の演目 !附子』 。何と読む 2,ぶす,どす,ばす,がす,ぶす
「ネザーランドドワーフ」とは何の動物の種類?     -  ー,いぬ,ぶた,ねこ,うさぎ,うさぎ
形状が牛菱に似て、細くて長く、短毛でポインターのような犬の尾形を次のうち何という2?,水不尾,牛菱尾,剣状尾,拝み尾,牛菱尾
次のうち、モーグル競技の探点の基準となる3つの要素に含まれないものはどれ?,エア,プロボーション,スピード,ターン,プロボーション
上層の毛がその下層となる髪の毛を覆い隠さない状態にカットする方法を何という2?,レイヤーカット,エクステンション,ウィービング,アシンメトリー,レイヤーカット
6月24日の美空ひびばりの命日のことを、あるヒット曲にちなんで「何にAAち家。,衛基忌,欄様忌,蜜相忌,林檎忌,林檎忌
『ストリートファイター』で、ダルシムの出身国はどこ?,インド,アメリカ,イギリス,中国,インド
日本独自の進化を用げた、タッチパオル式ではない旧世代の携帯電話端末ぁ何という ?,フィーチャヤーフォン,シテイフォン,ファブレット,IPフォン,フィーチャヤーフォン
カナダ北極圏に住む先住民を何と呼2?,ハワイアン,アボリジニ,イヌイット,マサイ族,イヌイット
パズルゲーム『パズルボブル』では、同じ色の泡をいくつ以上つなげると消滅する ?,4つ,5つ,2つ,きつ,きつ
次の任天堂のゲームのうち、西部劇を題材にした作品はどれ ?   「,シェリフ,マリオブラザーズ,ドンキーコング,パンチアウト!!,シェリフ
世界一深い湖は?,琵琶湖,ミシガン湖(米),ネス湖(英),バイカル湖(ロシア),バイカル湖(ロシア)
ョリエコンgc コジシシあどとグンルビレックス新潟の対戦のことを、特に何という ?,甲乙内ダービー,ーニ三ダービー,天地人ダービー,上中下ダービー,天地人ダービー
「柔突起」と呼ばれる小さな突起がある、身体の部位といえばどこ 2?2,肝騰,小腸,改A膳,"力
月",小腸
サッカーの試合中、監督や『スタッフが選手に指示を出すために設けられたエリアを何という?,コーナーエリア,ペナルティエリア,ゴールエリア,テクニカルエリア,テクニカルエリア
「シリコンディスク」とも呼ばれる、ハードディスクよりも高速で読み書きできる記憶装置は何 ?,BD,HDD,FD,SSD,SSD
武大坊井肛が仕えた武将は?,源義経,座清成,源頼朝,北条時款,源義経
那智、称名、袋田といえば、日本三大の「何」 ?,湖,"に
/思",川,山,"に
/思"
人間の表皮と皮下組織の間にある上慮のことを何という?,人皮,甘皮,真皮,健友,真皮
アニメ『あの日見た花の名前を僕達はまだ知らない。』 に登場する本間芽衣子のニックネームは何 ?,めんま,じんたん,ぼっぱぽ,つるこ,めんま
千葉涼在、橘鹿太の2人からなる音楽ユニットは何 ?,TRF,AAA,EXILE,W-IndS.,W-IndS.
かつて卓球ボールや人形の材料としてよく使われた、ニトロセルロースから作られる合成樹脂は何 ?,ナイロン,テフロン,アフロン,セルロイド,セルロイド
741年に、国分寺建立の語をだした天皇といえば?,清和天皇,聖武天皇,安徳天皇,醍醐天旦,聖武天皇
競泳のメドレーリレーで、第2泳者の泳法は何 ?       ーー,バタフライ,自由形,決まっていない,"下:
氷ぎ","下:
氷ぎ"
映画『黒執事』に水嶋ヒロと共に主KAとの】と四: 才人,武井咲,夏帆,志田未来,剛力彩芽,剛力彩芽
ユリやイネなどの単子葉植物には、子葉は何枚ある2,2枚,1枚,3枚,4枚,1枚
小玉ユキの漫画『坂道のアボロン」の舞台となっている都道府県はど_こと,鹿児島,宮崎,長崎,熊本,長崎
リスト作曲の『〇〇〇狂詩曲」、ブラームス作曲の『〇〇〇つ舞曲』のて)CXうに入る国はどこ ?,ポルトガル,オーストリア,ハンガリー,フィンランド,ハンガリー
「クイーンズウェア」 「ジャスパーウェア」などのシリーズが有名な、イギリスの陶友甘メーカーは何 ?,ウェッジウッド,ヘレンド,マイセン,リチャードジノリ,ウェッジウッド
Jリーグのチーム・東京ヴェルディの「ヴェルディ」とは、何色のこと 2?,黄,緑,"-完
月",赤,緑
次のうち、お笑い芸人の和狩野英孝が失する「奇跡のアーティスト」はどれ?,40TA,S01A,60TA,20TA,S01A
赤福餅といえば何県の名物 ?,和歌山県,滋賀県,三重県,奈良県,三重県
料理で、余計な水分や臭みをとるために、魚を酢に浸ける下処理を何という ?,塩じめ,酒じめ,水じめ,酢じめ,酢じめ
「エンケンさん」の愛称で呼ばれる、怖い顔つきでおなじみの俳優は誰 ?,遠藤憲一,遠藤写三,可藤憲二,遠藤憲四,遠藤憲一
「Chiquitita』」や【Money MoneyMoney』など、ABBAの曲で物語が経られるミュージカルは何 ?,レ・ミゼラブル,シンカゴ,アニー,"マンマ・ミ
ミーア !","マンマ・ミ
ミーア !"
加藤元浩の推理漫画『Q.E.D.CX)〇終了』。〇O〇〇に入るのは何 ?,殺人,推理,探偵,証明,証明
女昼時代、人御家人が幕府に対して負った奉仕義務を何という ?,御恩,奉公,参勤交代,下克上,奉公
次のうち、88星座の名前になってい9具コネイン|たすっ2ル 6,うみへび,ゴキブリ,はくちょう,はえ,ゴキブリ
パーティーや舞踏会などで、人の輪から外れている女性のことを俗に「何の花」 という 2,四の花,朱の花,寺の花,壁の花,壁の花
次のうち、美術で、作品に使われる様々な対象物を指すフランス語はどれ?,キャンバス,ペイント,ドローイング,オブジェ,オブジェ
サッカーやラグビーで、相手の背後からぶつかる反則行為を何という ?,バックアップ,バックチャージ,バックドロップ,バックパバパック,バックチャージ
へアライトニングとも言い、髪の色を必要な色合いに脱色することを何という?,ブローチ,カラーリング,パーマ,ブリーチ,ブリーチ
化学式「MgO」で表わされる物質を正しく表記したものは次のうちどれ?,酸化マグネシウム化,酸化マグネシウム,酸素マグネシウム化,酸素マグネシウム,酸化マグネシウム
LArc->anてCielのhydeとK.A.Zの2人によるロックバンドは何 ?,VAMPS,赤い公園,Ar,HY,VAMPS
娘の記子を題材とした作品を多く残した洋画家は誰 ?       「                「,川田劉生,石田劉生,堤田劉生,岸田劉生,岸田劉生
大縄跳びの一種「ダブルダッチ」で縄を回す役の人を何という2,ジェリコー,ブレイク,ターナー,ドラクロワ,ターナー
ライフセービング競技「ビーチスプリント」の説明として適切なのは次(jpまっす< 2,海岸を走る,骨をこぐ,泳ぐ,崖から飛び込む,海岸を走る
写既県の県庁所在地は?,呉市,今治市,高松市,松山市,松山市
バスケットボールの反則のひとつ「アウト・オブ・〇OO〇」 。 OO〇OOは何 ?,ナチナャージ,コントロール,バウンズ,ドリブル,バウンズ
日本の法律によると、パチンコがでさるのは何歳以上 ?,20歳,18歳,15歳,25歳,18歳
アニメ『七つの海のティコ』で、「ティコ」はどんねな動物?_,エイ,ダイオウイカ,ラッコ,シャナ,シャナ
テレビビ番組『有吉ゼミ』のコーナー「〇〇〇、家を買う。」「O〇〇〇、家を建てる。 」の〇〇〇は誰 ?,矢作舞,坂上候,有吉弘行,水下席美,坂上候
カフカの小説『変身」で、主人公のザムザが変身してしまった生き物は次のうちどれ?,,貝,虎,虫,虫
有名なカルスト人台地「秋吉台」がある都道府県はどこ2?,三重県,山口県,秋田県,静岡県,山口県
品崎肖が初めて監督を務めたTVアニメは何 2     ーー,未来少年コナン,赤毛のアン,ルパン三世,じゃりン子チエ,未来少年コナン
次のうち、硫雀の「三元肛」に含まれない腸はどれ ?2    -,南,衣,還,中,南
次のうち、ホラー漫画はどれ?,エコエコアザラク,がきデカ,ゆうひが丘の総理大臣,マカロニほうれん料,エコエコアザラク
「ウィンブルドン」と呼ばれるテニス大会が開催される国はどこ ?,オーストラリア,イギリス,アメリカ,フランス,イギリス
これまでに2度映画化された、テレビ東京の番組『ゴッドタン』の人気企画といえば何 ?,爆笑我慢選手権,キス我慢選手権,イライラ我慢選手権,涙我慢選手権,キス我慢選手権
心臓を取り巻き、心筋に酸素や栄養を供給する血管のことを何という 2,融動有販,鶴動須,葵動脈,村動脈,葵動脈
"分子式「CH4」で表される、和名を「沼気」        ・
という物質は何 ?",エタン,ブタン,プロパン,メタン,メタン
「のたり松太郎』 !ああ播磨灘」といえば、どんなスポーツを題材にした漫画 ?,野球,弓道,相撲,,相撲
次のうち、あらゐけいいちの漫画「日常』の舞台となっているのはどこと,小学校,大学,中学校,高校,高校
酸の「H」も塩基の「OH」も含まない塩を特に何という2,正塩,商塩,負塩,積塩,正塩
「不知火」という現象で有名な「八代海」が属する都道府県はどこ ?2,熊本県,京都府,千葉県,湯奈川県,熊本県
テレビビ番組『有吉ゼミ』のコーナー「〇〇〇、家を買う。」「O〇〇〇、家を建てる。 」の〇〇〇は誰 ?,有吉弘行,水下廊美,坂上宙,大作無,坂上宙
次のうち、歴代総理大臣の名字にないのはどれ2  ー,伊藤,佐藤,加藤,江藤,江藤
SNSの「LINE」や「mixi」が生まれた国はどこ?    -,イギリス,日本,アメリカ,ドイツ,日本
次のうち、「再生可能エネルギー」に含まれるものはどれ?    -,地熱,石油,石炭,天然ガス,地熱
名探偵オーギュスト・デュパンが登場する小説 『モルグ街の殺人』 を書いたアメリカの作家は誰 ?,マーク・トウェイン,エドガー・アラン・ポー,アーサー・ミラー,パール・バック,エドガー・アラン・ポー
ニューギニアに住む島ピトフーイの、ほかの鳥には見られない特徴は何?,体が透明,毒を持つ,放電する,炎を吐く,毒を持つ
次のうち、ホリプロに所属するタレちの : 拓/,関根硫里,和田アキ子,島田珠代,上戸彩,和田アキ子
「自由律俳句」で知られる山口県生まれの俳人、種田つ〇〇。〇〇〇は何?,導厚舎,吉村家,山頭火,一風室,山頭火
サッカーブラジル代表の愛称は何 ?,レ・ブルー,アッズーリ,,カナリア軍団,カナリア軍団
次のうち、吉田戦車の漫画『伝染るんです。』に登場するキャラクターはどれ?,えぞりす君,いのしし君,おおかみ大,かわうて大,かわうて大
スポーツのトーナメントで「クォーダーファイナル」といえば、次のうちどれのこと?,決勝戦,準決勝,準々決勝,三位決定戦,準々決勝
数々のウルトラマンシリーズを発表している「円谷プロ」。さて、何と読む?,まるたに,えんや,つぶらや,まるや,つぶらや
岩手県盛岡地方で作られる、人茶釜や瓶などでおなじみの特許品は何 ?,分子焼,輪島塗,琉球紅型,南部鉄器,南部鉄器
三角関数の「正弦」を表すアルファベット3文字は何 ?,SIn,tan,COS,COt,SIn
"ー ーー     ーー       プ
ー学園』に登場する「子守ユカリ」はとんな動物 ?",オオカミ,ナマケモノ,ネコ,コアフラ,コアフラ
次のうち、メジャーリーグの球団名にあるのはどれ2?,ドラゴンズ,ダイガース,スワローズ,カープ,ダイガース
ゲーム 『New スーパーマリオブラザ-ズ2』」では、何枚コインを集めると、黄金のマリオ像が立つ ?,100万枚,1万枚,1000万枚,10万枚,100万枚
アイドルグループのファンで、特定の1和信ではなくグループ全体が好きなファンのことを何という2?,単推し,推し変,会場推し,邊推し,邊推し
俳優・オダギリジョーの妻である女優は誰 ?,真舌ミキ,山田優,仲里依紗,香椎由宇,香椎由宇
プロ野球のドラフト会議で、最初に選手を指名できるのは、会議1週間前の成績が何位だったチーム ?,3位,1位,2位,最下位,最下位
次のうち、100年以上の歴史を持つジルンカアレニリド:あをpyだゴとすっ2ル 6 記/,トヨタ,フェラーリ,ベンツ,ルノー,ルノー
次のうち、画像のファイル形式ではをいものはどれ2?      「,dif,IDed,PNG,aVi,aVi
次の世界遺産のうち、フランスにあるのはどれ?,ストーンヘンジ,ザルツブルク,シュノンソー城,メキンコシティ,シュノンソー城
映画『釣りバカ日誌』シリーズの主人公、ハマちゃんのフルネームは何?,浜野在助,浜崎伝助,浜田喜助,浜口耕助,浜崎伝助
夏季オリンピックの陸上競技で、走る距離が最も短い種目は何 ?,100m,150m,50m,25m,100m
「リフレクソロジー」といえば、体のどの部分のツボを刺激する療法 ?,肩甲骨,骨艇,自,足の埋,足の埋
次のうち、ジフェニルアミンが紫色に変公する「硝煙反応」で調べられることはどれ?,死亡推定時刻,挙銃を撃つたかどうか,血痕,麻薬を使用したかどうか,挙銃を撃つたかどうか
放人2M2kNい、 いい 、ノ呈且25のまそ> ( ) てを全時還ままアー ー へヽヽ間,  分留,あ:由,据信,"冶金
人",あ:由
世界の有名な映画祭で「ヴェネツィア国際映画祭」が開催される国はどこと,ドイソツ,フランス,イタリア,オランダ,イタリア
南米の国、アルゼンチンとウルグアイの国旗に共通して描かれている天体は何 2,太陽,月,ハレー彗星,地球,太陽
NHKの朝ドラ『ごちそうさん』の主題歌『雨のち晴レルヤ』を歌った音楽グループは次のうちどれ?,スキマスイッチ,CHEMISTRY,コブクロ,ゆず,ゆず
プロ野球で3試合連続徹打賞。ヒットは最低何本打った ?,6本,9本,12本,3本,9本
間魔王が朝比奈三郎に散々な目に合わされ、極楽を案内するという内容の狂言は何?,金岡,惣八,朝比奈,通円,朝比奈
ゲーム『龍が如く6』で、東京とともに舞台となっているのは次のうちどこ2,仙台,熊本,広島,,広島
日本で、クリスマスボウルやライスボウルといった大会があるスポーツは何 ?,バレーボール,ラグビー,アメフト,ボウリング,アメフト
「金田一少年の事件薄』のスピンオンっ作品『〇〇たちの事件簿』。〇〇は何?,"合憲
誠 一",教師,探偵,犯人,犯人
尾崎世界観がボーカルを務めるロックバンド、〇〇〇ハイプ。O〇〇〇は何?,クリープ,クリーム,クリーン,クリート,クリープ
MGあ<コウガロョジルレンタンだコノトンエル横田が経営していたキャバクラは何?,"横須貨
人鋼基地",厚木基地,哀手納基地,横田基地,横田基地
「有明海一番」といえば、どこの都道府県で生産された高級海苔 ?,東京都,佐賀県,北海道,富山県,佐賀県
火を紳聖説することから「拝火教」とも呼ばれる宗教は何?  -,イスラム教,ゾロアスター教,キリスト教,仏教,ゾロアスター教
次のうち、愛媛県のゆるキャラはどれ ?,くまモン,出世大名家康くん,ねばてる君,みさやゃん,みさやゃん
攻撃側と守備側に分かれて行われるスポーツ・カバディ は、どこの国の回2可4,インド,ロンア,ブラジル,中国,インド
「退役軍人」「老兵」も表す、スポーツにおいては年長や在籍年数が長い選手を指す言葉は何 ?,マエストロ,ベテラン,タフネス,ロートル,ベテラン
次のうち、「力学的エネルギー」に分類されるエネルギーはどれ?,電気エネルギー,光エネルギー,熱エネルギー,位置エネルギー,位置エネルギー
ラッシュ、フォルテ、Drライトというキャラクターが登場するゲーム2リエピピシ6たく,モンスターハンター,ロックマン,逆転裁列,デビルメイクライ,ロックマン
リコーダーやフルートなどの管楽器の演奏で、舌を使って空気の流れを断続させることを何という ?,エアリング,タダタンギング,カレリング,ブレーキング,タダタンギング
ロシア語で「河口」という意味がある、日本海を南下する寮流は何 ?,リマン海流,マンリ海流,マリン海流,リンマ海流,リマン海流
「新世紀エヴァンゲリオン」でレイが大事にしている物は何?,"十字架
架のペンダント",下着,ゲンドウのメガネ,ネコの小物,ゲンドウのメガネ
"「アラガミ

ミ」という

というモンスターが
登する、バンダイナムコのゲームは何 ?",塊魂,ゴッドイーター,エースコンバット,ブルードラゴン,ゴッドイーター
次のうち、ハッピーマンデー制度の対象となっている国民の各日はどれ?,元日,天皇誕生日,海の日,文化の日,海の日
「木精」や「メタノール」とも呼ばれる液体は「〇〇〇アルコール」。の!@】た口/,ビニル,セチル,エチル,メチル,メチル
日本の「はやぶさ」や「はやぶさ2」といえば、「何探査機」 ?,小惑星,月,火星,碁星,小惑星
茨城県の袋田、栃木県の華厳、和歌山県の那智といえば、どのような観元地 ?,岬,"に
/思",財,丘,"に
/思"
日数が30日以下の月を、「大の月」に対して何という 2     ーー,小の月,中の月,紙の月,秋の月,小の月
大隈重信らが下野することとなった、国会開設の論争に起因する政変を、発生した年から何という?,昭和14年の政変,在成14年の政変,明治14年の政変,大正14年の政変,明治14年の政変
ファッションでこれを付ける人もいる、インド人やイスラム教徒が頭に巻く布は何 ?,ヒジャーブ,サリー,アオザイ,ターバン,ターバン
全天に88個ある、星々を繋いだ形を事物に見なしたもの及びそれが含まれる領域を指す言葉は何 2,星雲,年居,星座,星光,星座
メキシコ五輪で兄弟でともにメダルを獲得した重量挙げの日本人選手といえば何兄邊 ?,遠藤兄弟,小野兄弟,三宅兄弟,吉田兄弟,三宅兄弟
堺正章やヒロミが出演した、かつて放送された関西テレビ制作の生活情報番組は次のうちどれ?,発掘! あるある発見際,発掘! あるある探検際,発掘! あるある大旅行,発掘! あるある大辞典,発掘! あるある大辞典
安心です」 という意味を込めて名付けられた、メロンの品種は何 ?,アンデスメロン,マスクメロン,ホームランメロン,プリンスメロン,アンデスメロン
759年に唐の僧・鑑真によって創建された、奈良市にある律宗の総本山は何 ?,浅草寺,,唐招提寺,中価寺,唐招提寺
サッカーやラグビーのゴールで、左右のゴールポストの上部に渡されている横木のことを何という ?,クロスバー,ゴールマウス,ゴールポスト,ゴールライン,クロスバー
次のうち、「光線銃」を使って遊ぶファミコンゲームはどれ2?,アーバンチャンピオン,ワイルドガンマン,スパルタンX,マッハライダー,ワイルドガンマン
阿武教子や野口みずきなどの人金メダリストが誕生した夏季オリンピックは次のうちとどれ?,ロンドン五輪,パリ五輪,アテネ五輪,ロサンゼルス五輪,アテネ五輪
ジャズを題材にした石塚真一の漫画『〇OOつOO GIANT』。〇〇〇は何 ?,RED,BLUE,YELLOW,WHITE,BLUE
1963年の映画『マタンゴ』で、この「マタンゴ」はどんな生物の姿をしている ?,ウツボカズラ,キノコ,タケノコ,アリ,キノコ
ゲーム !『サモンナイト』に登場する次の異世界のうち、天使などの霊的生命体が暮らすのはどれ ?,吉界サプレス,機界ロレイラル,紀獣具メイトルパ,鬼妖界シルターン,吉界サプレス
バスケットボールのリングの高さは何m 2,5.05m,3.05m,2.05m,4.05m,3.05m
1gの液体を1TC上げるのに必要な熱量を何という?,,加熱,高3,比熱,比熱
『ドラえもんのうた』の1番の歌詞に登場するひみつ道具は何?,どくさいスイッチ,どこでもドア,タケコプター,タイムマシン,タケコプター
首都園には含まれるが、関東地方には含まれない唯一の都道府県はどこと,東京都,栃木県,,山梨県,山梨県
イスラム世界の「ジズヤ」などのような、個人に個々に課せられる税のことを何という ?,人頭税,人口税,人腹税,人尻税,人頭税
エル・グレコの絵画『受胎告知』で、天使に受胎を告ばげられている女性は誰 ?,マリア,イブ,パンドラ,ベロニカ,マリア
中央に支点を置いた「てこ」を用いて、物体の質量を測るはかりを何という ?,はかり,ばね,てんびん,ふり ー,てんびん
直径12cm音楽CDの最大収録時間はおよそ何分 2        ーー,8分,80分,8000分,800分,80分
サッカー用語で、手拍子などを含んだ、選手・チームへの応援歌を何という ?,キチント,チャント,ハッキリト,シッカリト,チャント
水に溶けても電流を通さない物質を何という2?,非電解質,非電気質,電気質,電解質,非電解質
主な成分がカルシウムでできている宝石はどれ?,エメラルド,真珠,水品,ダイヤモンド,真珠
次のうち、孫文らによって建国された国家はどれ ?      ー,中華民国,滴州国,大韓民国,中華人民共和国,中華民国
アニメ『るろうに剣心』のエンディングに使われた、SIAM SHADEの楽曲は何 ?,1/5の純情な感情,1/2の純情な感情,1/4の純情な感情,1/3の純情な感情,1/3の純情な感情
焼央の「ミノ」「ハチノス」「センマイ」といえば、牛のどの部分 ?,古,心臓,肺,"力
月","力
月"
著書『女医の花道』 でも知られる、バラエティ番組でタレントとしても活躍する医師は誰 ?,おおたわ史絵,多原博子,棄井佑月,勝間和代,おおたわ史絵
女優の樋口可南子を妻に持つコピーライターは誰?   ー,いとうせいこう,みうつらじゅん,山田五郎,糸井重里,糸井重里
邊成元年は西暦何年 ?,1987年,1989年,1988年,1990年,1989年
1936年に起こった陸軍将校によるクーデター事件は「〇〇〇事件」。 〈)Cxうに入る数字は何 ?,ニ・ニニニ,ニ・ニ七,二・二四,"ーー 一--
ーー ""一ハハ","ーー 一--
ーー ""一ハハ"
猛暑日」とは、1日の最高気温が何度以上の日 ?     ーー,35度,30度,25度,40度,35度
ビリヤード台の6つの穴のうち、サイドポケットと呼ばれるものは全部GE 刻ん,4つ,2つ,3つ,1つ,2つ
ドーム球場を本拠地にしていない球団は、次のうちどれ?     「,広島,巨人,西武,ソフトバンク,広島
縄文時代に全国で作られた、土興の素焼きの人形を何という ?2,勾玉,殺角,土偶,填輸,土偶
次のうち、「モータープール」と同じ意味の施設はどれ ?      -,ガソリンスタンド,駐車場,料金所,,駐車場
次のうち、間接税はどれ ?,贈与税,所得税,法人税,消費税,消費税
数学で、「たすきがけ」といえば、次のうちどんな問題を解くときに使われる手法 ?,座標問の距離計算,不等式の証明,因数分解,数珠順列,因数分解
ゴルフで、10本の指でクラブを握る「テンフィンガーグリップ」の別名は「何グリップ」 ?,フットボール,バスケットボール,ベースボール,バパバレーボール,ベースボール
清涼飲料水の「ラムネ」の名前の由来となった飲み物は何 ?  _,ラム酒,レモンサワー,レモネード,リキュール,レモネード
ニタアガニLaとのルコアスケートの国際大会の名称は次のうちどれ?,三大陸選手権,五大陸選手権,二大陸選手権,四大陸選手権,四大陸選手権
創始した岡崎屋甚六の名前にちなむ、歌舞伎の看板に用いられる書体は何 ?,,橘流,根岸流,勘享流,勘享流
「レゲエの紳様」と呼ばれた、ジャマイカ生まれのミュージシャンは誰 :,マイケル・ジャクソン,ボブ・マーリー,ボブ・ディラン,ジョン・レノン,ボブ・マーリー
日本の公共放送を行う「NHK」 とは何という言葉の略 ?    -,日本放送協会,日本放映協会,日本放映企画,日本放送企画,日本放送協会
フィギュアスケートで、リンクの氷面についていない浮いた足のことを何という ?,アナザーレッグ,バランスレッグ,アウトレッグ,フリーレッグ,フリーレッグ
血しょうが毛細血管からしみ出たものである、細胞の間を満たしている液体を何という ?,,組成液,構築次,組織液,組織液
次のうち、日本テレビのアナウンサーは誰 2,清水俊輔,上重聡,軽部真一,安住紳一朗,上重聡
プロレスで、「サブミッション」といえば次のうち何のこと2,反則技,関節技,投げ技,"へ、
委云云",関節技
地層からサンゴの化石が発見されたとき、そこはどのような場所であったと推測できる ?,暖かく深い海,涼しく深い海,暖かく浅い海,涼しく浅い海,暖かく浅い海
漫画『さよなら絶望先生』」 の主人公である高校教師は誰2,糸色望,糸色妙,糸色命,糸色緑,糸色望
次の久保ミツロウの漫画のうち、応援団に所属する主人公を描いた作品はどれ?,3.3.7ビョーンシ!,モテキ,しあわせ5はん,トッキュー!!,3.3.7ビョーンシ!
世界で最も深い湖は何湖 ?,田沢湖,バイカル湖,琵琶湖,ヴィクトリア湖,バイカル湖
文房具で、かつての名前を「ぶん回し」といったのは何?,三角定規,コンパス,筆,分度器,コンパス
括都をティンプーに置く、中国とイHEE志49あみツカガクEHとす2こと,ブータン,インドネシア,モンゴル,韓国,ブータン
お笑い芸人、あべこうじの妻である元モーニング娘。のタレントは誰?,藤本美貴,高橋愛,辻希美,石黒彩,高橋愛
身語名称を「Sophia University」という、東京にある私立大学は何 ?,早稲田大学,上智大学,鹿応大学,一橋大学,上智大学
漫画『暗殺教室』の作者は誰 ?,島袋光年,藤巻忠俊,古井春一,松井優征,松井優征
アカデメイアを開いた古代ギリシャの哲学者は誰2,プラント,プラトン,プロトン,トランプ,プラトン
一般的な電流計や電圧計に十端子はいくつある2,3つ,1つ,2つ,4つ,1つ
謎の生物、殺せんせ一が主人公の松井優征の漫画は『何教室』 ?,,魔界教室,殺人教室,暗殺教室,暗殺教室
元プロ野球選手で、ハマの番長といえば誰か ?,原搬徳,三浦大輔,大沢親分,清原和博,三浦大輔
"ヨセミテ国立公園、グラ
テ国立公園、グランド・キャニオン国立公園といった世界自然遺許がある国はどこ ?",イギリス,オーストラリア,アメリカ,カナダ,アメリカ
主な作品に『ゲルニカ』などがあるスペインの画家は誰?,ダ・ヴィンチ,ゴッホ,ピカソ,"ーー
こ レー
me",ピカソ
暗沙学若来、防波記手更、無維喧魔利威といった女性落語家が登場する間画作品は何 ?,悪の華,じょしらく,さんかれあ,進撃の巨人,じょしらく
次のうち、日本のファッションブランドの名前にあるのはどれ?,JESSICA McBEE,CECIL McBEE,CATHERINE McBEE,EMILY McBEE,CECIL McBEE
