Q,Category,K1,K2,K3,K4,A
廃藩置県、地租改正、徴兵制、殖産興業などの政策が行われた、日本の歴史的な変時といえば何 ?,文系,明治維新,,昭和維新,大正維新,明治維新
映画『グッド・ウィル・ハンティング』で脚本を務めた、『ボーン』シリーズで知られる俳優は誰 ?,芸能,マット・マイコン,マット・サーティン,マット・エンジェル,マット・デイモン,マット・デイモン
次のうち、ポルトガル語に由来して名づけられたお旧子はどれ ?,文系,ようかん,まんじゅう,カステラ,かさ氷,カステラ
一般的な野球のルールで、攻守が交替となるのに必要なアウトの数はいくつ?,スポーツ,7,3,S,10,3
次のうち、サトウキビからつくられるお湘はどれ3?,雑学,ラム,ハム,ゴム,リム,ラム
ゲーム 『レイトン教授』シリーズ第1作のタイトル『レイトン教授とご〇つ〇』。 の〇〇〇は何 3,アニメゲーム,悪魔の箱,魔御の笛,何跡の仮面,不思議な町,不思議な町
南の島で様々なレジャーゲームやスポーツゲームを楽しむという内容のWiのゲームは何 ?,アニメゲーム,GO VACATION,たべモン,風のクロノア,太鼓の達人Wii,GO VACATION
次のうち、演歌歌手の三山ひろしが歌唱中に披露する特技はどれ2?,芸能,物子板,めんこ,ベーゴマ,けん太,物子板
次のうち、「ネズミ」や「モグラ」の前に付けると別の動物になるのはとれ?,理系,イガ,ハリ,トゲ,ニードル,ハリ
小田扉の漫画『模須賀にずえ』の舞でとなっている県はどこ ?  -,アニメゲーム,埼玉県,碧奈川県,千葉県,茨城県,碧奈川県
次のうち、日本生まれの酒はどれ ?,雑学,紹興酒,日本酒,テキーラ,ウォッカ,日本酒
スケートで、音楽に合わせて演技し、その技術や美しさを競う競技は回角,スポーツ,フィギュアスケート,アイスホッケー,ショートトラック,スピードスケート,フィギュアスケート
ニンジンなどの切り方で、輸切りの邊分の大きさに切ることを、その形から何切りという ?,雑学,新月切り,満月切り,三日月切り,生月切り,生月切り
4コマ漫画の構成は「起承転結」という四字熟語で表されますが、3コマ目にあたるのはとどれ?,アニメゲーム,結,承,転,EE,EE
次のうち、お上昌子メーカーにあるのはどれ ?,雑学,ロッテテ,キッテ,サッテ,マッテ,ロッテテ
所沢市、川越市、川口市、草加市などの市がある都道府県はどこ?,文系,長崎県,秋田県,兵庫県,埼玉県,埼玉県
2人が顔を向い合せ、笑うと負けになる、日本古来の遊びよといえば何 ?,雑学,ゆりねっこ,もやしっこ,おにごっこ,にらめっこ,にらめっこ
アニメ映画 『シュレック』の主人公シュレックの体の色は何色 ?,アニメゲーム,緑,赤,黄,県,緑
村川和宏の漫画『歩武の駒』の題材となっているのは次のうちどれ2,アニメゲーム,オセロ,将棋,チェエス,囲碁,将棋
古代中国で同盟を結ぶ際に行われた習慣に由来する、団体の支配者になることを指す言葉は何 ?,文系,多古を執る,犬省を執る,和牛耳を執る,豚邊を吾る,和牛耳を執る
ごはんにふりかけて食べられることが多い、カタクチイワシなどの稚魚のことをなんという ?,雑学,シラフス,アオス,アカス,クロス,シラフス
オーディン、トール、ワルキューレなどが登場する紳話は何 ?,文系,中東紳話,相域紳話,北欧紳話,南米紳話,北欧紳話
体の筋肉や関節を伸ばす和柔軟体操を、「伸ばす」という意味の英語で何という3?,スポーツ,ストレッチ,ストレート,ストイック,ストレンジ,ストレッチ
昆虫が、さなぎになる段階を経て、成申になることを何という ?,理系,二段階進化,メガ進化,石進化,完全変態,完全変態
映画『俺物語!!』 で、主人公の職田猛男を演じた俳優は誰 ?,芸能,窪田正孝,綾野剛,斉藤工,鈴木亮在,鈴木亮在
"野球用語
野球用語の「ア
アウトハイ」を、日
、日本語では何という 2?   -",スポーツ,外角低め,内角高め,内角低め,外角高め,外角高め
次のうち、ゲーム 『マリオゴルフワールドツアー』に登場しないキャラクターはとれ?,アニメゲーム,マリオ,クッパ,リンク,ヨッシー,リンク
灯油と重油の中間の沸点を持つ、小型ディーゼルエンジンなどに使われる燃料は何 ?,理系,軽湯,軽油,凌油,,軽油
TBSの番組『世界ふしぎ発見!』の冠スポンサーを務める企業グループは何 ?,芸能,パナソニック,日立,東芝,ソゾソニー,日立
記号「M」で表される、地震のエネルギーの大きさを表す指標は何 ?,理系,マグニチュード,マーベラフス,ムーブメント,モード,マグニチュード
大食い番組への出演をきっかけに有名になった、ワタナベエンターテインメント所属のタレントは誰 ?,芸能,ギャル曽我,ギャル汗田,ギャル肖根,ギャル曽山,ギャル肖根
元々は「偶像」という意味がある、あこがれの的や、熱狂的ファンを持つ人を指す言葉は何 ?,文系,アイドル,コンドル,プードル,ハンドル,プードル
出川哲明や上島竜兵など、体を張った仕事やドッキリへの対応を得意とする芸人のことを何という ?,芸能,リアクション芸人,レスポンス芸人,リプライ芸人,フィードバック芸人,リアクション芸人
尼肉を好むため「革原の掃除屋」などと呼ばれる、タカ科の鳥は何 ?,理系,ヅラワシ,植毛ワシ,ハゲワンシ,育毛ワシ,ハゲワンシ
「インターネットのヤホーで調べました」というネタでおなじみの漫ずコンビは何 ?,芸能,ビピース,ロザン,ナイツ,ロッチ,ナイツ
次のうち、砂糖に含まれない元素はとれ?,理系,,プルトニウム,酸素,水素,プルトニウム
次のうち、サッカーのフォワードがよく例えられるのはどれ2?,スポーツ,逐居小屋,ちんどん居,人1問屋,点取り屋,点取り屋
次のタレントのうち、女性は誰 ?,芸能,ピーコ,和田アキ了チ,IKKO,マツコ・デラックス,和田アキ了チ
テレビの収録で、カメラの脇から出演者に見せる、セリフや進行の指示が書かれた紙を何という ?,芸能,カンペ,テンペ,ハンペ,コンペ,カンペ
「のんピース」というブログを運営している元モーニング娘。のメンバーは誰 ?,芸能,矢口真里,つじあやの,後藤真希,辻希美,辻希美
アメリカの児童文学作家ライマン・フランク・ボールガが出版したのは?,芸能,オズの腐法使い,オクの腐法使い,オニの腐法使い,オレの腐法使い,オズの腐法使い
「ドライアイス」はどんな気体を回体にしたもの2,理系,酸素,水素,室素,二酸化炭素,二酸化炭素
往会人に必要な「ホウ・レン・ソウ」の「ホウ」が意味する言葉は回角,雑学,法事,訪問,報告,包装,報告
漫画『ドラえもん』で、ドラえもんがネズミに食べられたのは体のどこの部分 ?,アニメゲーム,へでそ,"芋
呈紅",耳,尻尾,耳
オリコンシングルチャート歴代1位の売り上げを誇る、子門真人の代表曲といえば『およげ! 何』 ?,芸能,あかしやきさくん,おやきさくん,たまごやきくん,たいやきくん,あかしやきさくん
常温で液体である数少ない元素でもある、体温計などに使われる物質は回角,理系,水金,水鉄,水鋼,水銀,水金
自動車メーカーのBMWやフォルクスワーゲンの本和視がある国はどこ ?,雑学,ロンア,イタリア,フラフランス,ドイツ,ドイツ
中国の人口抑制政策の呼称は?,文系,一人っ子政策,結婚抽選制政策,去勢政策,所得倍増政策,一人っ子政策
漫画『ONE PIECE』に登場する「ゴムゴムの実」などの果実のことを何という2,アニメゲーム,愚者の実,盟者の実,天使の実,悪魔の実,悪魔の実
1947年に始まった「甲子園ボウル」といえば、どんなスポーツの大会 ?,スポーツ,ヨット,柔道,アメフト,ドッジボール,アメフト
水沢めぐみの漫画『姫ちゃんのてCX)〇つ』。〇OO〇は何?,アニメゲーム,リード,リング,リボン,リスト,リボン
「テレビ」を、アルファベット2文字では何と表す ?,雑学,TB,CM,JT,TV,TV
化粧をしていない素顔のことを、俗に何という ?,雑学,スットン,スッポン,スッピン,スッキン,スッピン
阿票湖といえば、何で有名?,文系,"ミミズ
es
人",カエル,ホタテ,マリモ,マリモ
プロ野球選手で、ロッテの投手・歩と、ヤクルトの投手・雅規に共通する名字は何 ?,スポーツ,石川,忠井,富山,,石川
2019年に『のひび太の月面探査記」と【う劇場版の作品が公開されたアニメに回角,アニメゲーム,名探偵コナン,ドラえもん,クレヨンしんちゃん,ちびまる子ちゃん,ドラえもん
「フリマ」と略される催しといえば何2,雑学,フリーマエストロ,フリーマスター,フリーマイコン,フリーマーケット,フリーマーケット
次のうち、普通、ドリブルを手で行うスポーツはどれ2?    「,スポーツ,アイスホッケー,バスケットボール,サッカー,グラウンドホッケー,バスケットボール
スペイン語で「豊かな海岸」という意味がある中南米の国はコスタ〇^)〇つ。〇の〇〇は ?,文系,リカ,シャカイ,コクゴ,サンスウ,リカ
ヨーロッパとアメリカ大陸の間にあとと                           「,文系,日本海,インド洋,オホーツク海,大西洋,大西洋
京都の観光名所で、思い切った行動を「ここの舞台から飛び降りる」といわれるのはどこ?,文系,清水寺,龍安寺,天龍寺,南禅寺,清水寺
野球などで、チームの攻撃の中心となる強打者のことを兵器に例えて何という2,スポーツ,水鉄砲,速射砲,豆鉄砲,主砲,主砲
次のうち、炭素の元素記号はどれ ?,理系,D,C,B,A,C
アニメ『ドラえもん』で、ドラえもんが生まれたのは何世紀 ?,アニメゲーム,16世紀,20世紀,18世紀,22世紀,22世紀
次のうち、生泉としては「十薬」や「重楽」などと呼ばれる植物はどれ?,理系,マヒダミ,コンランダミ,ドクダミ,ネムリダミ,ドクダミ
バスケットボールの試合が行われる長方形のエリアを何という ?,スポーツ,フィールド,リング,コート,ピット,コート
次のうち、日本の自動車メーカーにあるのはとどとれ2?,雑学,トヨカ,トヨコ,トヨス,トヨタ,トヨタ
血液が循璃することを、「血の〇〇)〇つつ」という。〇〇〇は何 ?,理系,めぐり,なぐり,もぐり,さぐり,めぐり
陸上やカーレースで、ある選手が先頭から1周以上遅れている状態を何という2,スポーツ,"集合遅
れ",周年遅れ,周回遅れ,週間遅れ,周回遅れ
持ちネタの「武勇伝」で一躍有名になった、藤森慎吾と中田敦彦からなるお笑いコンビは何 ?,芸能,オリエンタルカメラ,オリエンタルテレビ,オリエンタルラジオ,オリエンタルビデオ,オリエンタルラジオ
内出血などによって皮膚の一部に生じる、赤や青の斑紋を何という 2?,理系,わざ,ほざ,あざ,"am  \
ござさ",あざ
次のうち、アルペンスキーの種目にあるものはどれ 2?,スポーツ,滑走,飛込,回転,跳躍,回転
歯ブラシや爪楊枝などで、歯の汚れを掃除する作業を、普通、何という?,雑学,歯磨き,歯研ぎ,歯擦り,歯起り,歯磨き
次のうち、「六法」 に含まれる法律はどれ ?    -,文系,合法,"憲法
へ/","負法
と",手法,"憲法
へ/"
両手を組む独特のルーティーンでもおなじみの、元ラグビー選手は誰 ?,スポーツ,三郎丸歩,一郎丸歩,七郎丸歩,五郎丸歩,五郎丸歩
次のうち、昆虫はどれ ?,理系,キュウカンチョウ,モモンガ,ブンチョウ,カイコガ,キュウカンチョウ
アニメ !シティーハンター』のエンディング曲『Get Wild』を歌ったグループは何 ?,アニメゲーム,TM NETWORK,SEX MACHINEGUNS,AURA,PSY・S,TM NETWORK
ヒット曲『青春アミーゴ』を歌った、亀梨和也と山下智久によるユニットは何 ?,芸能,さくらと一郎,トムとジェリー,ヒデとロザンナ,修二と交,修二と交
魚のすり身を油で揚げた、「揚げかまぼこ」とも呼ばれる鹿児島の名物は何 ?,雑学,ぶんご揚げ,ちくご揚げ,ひぜん揚げ,さつま揚げ,さつま揚げ
缶飲料を開ける際に引っ張るつまみの部分のことを何という ?,雑学,プルタブ,プルオン,プルボード,プルアウト,プルタブ
「イチゴパンツ」という語呂合わせもある、「本能寺の変」が起きた年は西暦何年 ?,文系,1482年,1382年,1582年,1282年,1582年
次のうち、子どもが飲んでも良い飲み物はどれ ?,雑学,ワイン,ビール,宋准ドリンク,日本酒,宋准ドリンク
次のうち、アニメ『ルパン三世』に登場しないのは誰 ?,アニメゲーム,七瀬美雪,壮形登部,次元大介,石川五工門,七瀬美雪
次のうち、相手の機嫌を取ろうとしてこびへつらうことを意味する言葉はとどれ?,文系,おべっか,れべっか,とらいべっつか,かべっか,おべっか
ゲーム 『ファイナルファンタジーJの第1作目に登場する2種類の魔法とは、黒魔法と何?,アニメゲーム,曰魔法,銀魔法,欄魔法,系魔法,曰魔法
『PERFECT HUMAN』」でブレイクしRADIO FISHを率いるお笑いコンビは回角,芸能,アンジャッンュ,ハイキングウォーキング,オリエンタルラジオ,サンドワウィッチマン,オリエンタルラジオ
。 ドラマ『〇OO〇のおもてなし』「『〇〇の離婚』『〇〇の恋人』『〇〇の片起い』の〇〇に入る言葉は何 ?,芸能,最上,最悪,最低,"也 忘
同","也 忘
同"
次の漫画のうち、主人公が眼鏡をかけているのはどれ2?,アニメゲーム,ONE PIECE,ハイキュー!!,斉木楠雄のW難,銀魂,斉木楠雄のW難
ドラマ 『貯まる女』や映画『光る女』に出演した、タレント・オペラ歌手は誰 ?,芸能,条田公美子,森山公美子,秩公美子,条尾公美子,秩公美子
卓球の試合で使われるボールの重さは、次のうちどれくらい ?,スポーツ,2.7kg,2.7{,2.7q,2.7mq,2.7q
バナメイ、テナガ、サクラ、クルマなどの種類がある生き物は何 ?,理系,カニ,エビ,タコ,イカ,エビ
ここからスペースシャトルが打ち上げられた、フロリダ州にある宇宙センターは何 ?,理系,リンカーン宇宙センター,オバマ宇宙センター,ブッシュ宇宙センター,ケネディ宇宙センター,ケネディ宇宙センター
伊達政示の幼名 !拓天〇」や源義経の幼名「牛若つ」の〇に共通して入る文字は何 ?,文系,三角,丸,円,四角,丸
「共同企業体」を意味する「ジョイントベンチャー」を、アルファベット2文字で何という ?,文系,JV,DH,EU,PC,JV
ヒト、イヌ、サル、キジのうち員乳痢でないのはどれ?,理系,イヌ,キジ,サル,ヒト,キジ
ルネサンスの中心地となった、「和花の都」という意味があるイタリアの都市はどこ?,文系,グラナダ,ブリュージュ,フィレンツェ,ベルン,フィレンツェ
「芸能界常識チェック!ントリニクって何の肉!?ン』で司会を務めていたの】たの : 者4,芸能,浜田雅功,劇団ひとり,ヒロミ,南原清隆,浜田雅功
レールが1本しかない乗り物はどれ2?,雑学,地下鉄,モノレール,ケーブルカー,路面電車,モノレール
織田裕二の「キター!」というモノマネでおなじみのお笑いタレントは誰 ?,芸能,山本高広,原口あさまさ,ホリ,コージー富田,山本高広
に導0間還三Pyiのが北:少ヒビゴムル】トEE31掛け、払い上げて投げる技を何という?,スポーツ,がに股,うち股,ねこ股,さす股,うち股
サッカーのフィールドに「センターサークル」はいくつある 2?,スポーツ,4つ,2つ,1つ,3つ,1つ
「ドラクエ」の愛称で呼ばれるゲームシリーズといえば何 ?,アニメゲーム,ドラマクエスチョン,ドラマクエスト,ドラゴンクエスト,ドラゴンクエスチョン,ドラゴンクエスト
アシアナ航空、大韓航空といえは、どこの国の航空会計 ?,文系,韓国,アメリカ,中国,日本,韓国
ゲーム『太鼓の達人』で、太鼓のフチを叩く音は何と表現されている ?,アニメゲーム,カッ,キッ,ゴツ,クッ,カッ
昔話 !すさるかに合戦』で、カニが、サルにおにぎりを渡す代わりに手に入れたものは何 ?,文系,ブドウの種,枕の種,スイカの種,柿の種,柿の種
踊りながら上生身をそらし、棒の下をくぐる、中央アメリカ発和締のダンスは何 ?,芸能,吐交ダンス,ベリーダンス,タップダンス,リンボーダンス,リンボーダンス
女性漫才コンビ、いくよ・くるよと具ときたとうにゴちく円7,芸能,"どっ
ープ",中,春,東,"どっ
ープ"
プロレスで悪玉レスラーのことを、「ベビーフェイス」に対して何という?,スポーツ,ヒール,アンクル,ソール,レッグ,ヒール
お笑いコンビ、アンガールズの2人の出身地である県はどこ?,芸能,広島県,貴岡県,宮城県,愛知県,広島県
運動会でよく行われるダンスは「C)〇つ〇ダンス」。〇〇〇は ?,雑学,スプーン,サーバー,フォーク,ナイフ,フォーク
「ビッグコミックスピリッツ』連載の次の漫画のうち、実写映画化された作品はどれ?,アニメゲーム,団地ともお,じみへん,間金ウシジマくん,気まぐれコンセプト,間金ウシジマくん
次のうち、太陽に最も近い軌道を周る惑星はどれ?     「,理系,金星,水星,地球,火星,水星
次の野球のポジションのうち、内野手に含まれないのはどれ?  「,スポーツ,センター,ファースト,セカンド,サード,センター
次のうち、葉っぱが強いにおいを放つことから名が付けられた低木はどれ?,理系,アサガオ,コムギ,クサギ,ヒマワリ,クサギ
次のうち、鳥の種類にあるのはどれ 2?,雑学,タクロウ,ハクドウ,ゴクロウ,フクロウ,フクロウ
これまでの日本の元号の中で、使用された年数が最も長いのは何 ?,文系,在成,大正,昭和,明治,昭和
次のうち、「光線銃」を使って遊ぶたこ アル すんとすっル,アニメゲーム,アイスクライマー,ドンキーコング,ホーガンズアレイ,エキサイトバイク,ホーガンズアレイ
次のうち、貝の種類にあるのはどれ 2?,雑学,ホタテ,ホタル,ホテル,ホタカ,ホタテ
四角形の内角の和と外角の和は、共に何度?      「,理系,960庶,560度,360度,760庶,360度
海などで、長い距離を泳ぐことを何という ?        「      「,スポーツ,速泳,背泳,群泳,近泳,速泳
介川賞や直木賞を手がけている出版往は「文藝Oひ〇つ〇O」。〇〇〇は2 ー,文系,南北,春秋,東西,左右,春秋
ホイコーローやペキンダックといえば、どこの国の料理 ?,雑学,フフランス,中国,イタリア,アメリカ,中国
東宝の映画に登場する怪獣、キングギドラの頭の数はいくつ?,アニメゲーム,2Zつ,3つ,Sつ,4つ,3つ
ある動物に似た鳴き声で鳴くことから名が付いた、北米の草原に生息するリスの仲間は何 ?,理系,プレーリーベア,プレーリーキャット,プレーリードッグ,プレーリーラビット,プレーリードッグ
規制緩和などによって日本経済の発展を目指す、安倍首相による経済政レル】9のずのep】たく [7,文系,保存戦略,登頂戦略,成長戦略,生存戦略,成長戦略
在日昼に放送されている読売テレビの番組『情報ライブミヤネ屋』で、可会を務めているのは誰 ?,芸能,宮根誠司,恵俊彰,和田アキ了,南原清隆,宮根誠司
ドラマ『ごちそうさん』の竹元勇三役や『ナポレオンの村』の山田大地役で知られる俳優は誰 ?,芸能,シロツヨシ,フロツヨン,クロツヨシ,ムロツヨシ,シロツヨシ
電車の乗車時に運賃の一部を払わずにすませるという不正行為を指す言葉はどれ ?,雑学,タバコ,キセル,ハマキ,パイプ,キセル
「夜は何を着て寝るのか 2? 」という質問に「シャネルの5番よ」と答えた有名なハリウッド女優は誰?,芸能,ジュディ・ガーランド,マレーネ・ディートリヒ,マリリン・モンロー,グレース・ケリー,マリリン・モンロー
次のうち、天気が良くて暖かいことを意味する言葉はどれ?,雑学,ビピカピカ,プカプカ,ポカポカ,チカチカ,ポカポカ
関口将太を主人公とする寺沢大介の料理漫画のタイトルは『将太の何』 ?,アニメゲーム,フーメン,中華,寿可,カレー,寿可
"ラテン語
ラテン語で「『:
海の水」 という意味の名前を持つ、3月の誕生石は何 ?",雑学,ルビピー,アクアマリン,ダイヤモンド,サファイア,アクアマリン
次のうち、答えが「15」になる九九の計算はどれ?   -,理系,ほたて,さんご,うみうし,ひとで,さんご
Jリーグで、編岡県にホームタウンがあるクラブは全部でいくつ?,スポーツ,4,0,6,2,2
2人でじゃんけんをする時と、3人でじゃんけんをする時、あいこになる確率はともに何分の1 ?,理系,3分の1,2分の1,6分の1,4分の1,3分の1
ゲストが過ちを告白し、みそぎを行うという内容の、有吉弘行の冠番組といえば何 ?,芸能,有吉反省会,有吉送別会,有吉懇談会,有吉歓迎会,有吉反省会
ワバのjpまっ8還ミレに)ュニョとす<交る員2,文系,さ,あ,か,た,あ
『ペリカン」は、次のうちどんな特徴を持つ鳥 ?         「,理系,飛べないが泳ぎは得意,袋がある大きなくちばし,羽状の美しい和改,片足で立つ,飛べないが泳ぎは得意
陸上男子100mの世界記録保持者、ウサイン・ボルトの出身国はどこ ?,スポーツ,カナダ,アメリカ,ジャマイカ,ケニア,ジャマイカ
ボクシングの「TKO」のTは何の略 ?,スポーツ,タイミング,トータル,テクニカル,スルー,テクニカル
間叶一や鴨沢宮などの人物が登場する尾崎紅葉の小説は何 ?,文系,金色夜叉,銀色夜叉,白色夜叉,黒色夜叉,金色夜叉
次のうち、髪の毛を短く刈るための道具はどれ ?,雑学,バリカン,サバカン,ツナカン,バクダン,バリカン
次のうち、セガ・インタラクティブが2015年に稼働した音楽ゲームのタイトルはとれ?,アニメゲーム,コウイチズム,チュウイチズム,チュウニズム,チュウサンズム,チュウニズム
ボクシング用語で、「ジョー」や「チン」といえば、体のどの部分のこと?,スポーツ,こめかみ,且,下腹部,あご,こめかみ
樹木の幹を水在に切ったときに断面にみられる、同心円状の木目を何という ?,理系,時輪,樹輪,株輪,年輸,年輸
大相撲で、「大銀杏」といえば、次のうち何のこと2,スポーツ,まわし,腹の肉,尻の肉,ちょんまげ,ちょんまげ
「コーラフロート」といえば、コーラに何を浮かべた飲み物 ?,雑学,チヨョコレート,アイスクリーム,パン,ビスケット,アイスクリーム
「土佐日記』の作者として知られる安時代の歌人は誰 ?,文系,紀員之,大件家持,党原道真,在原業企,紀員之
赤塚不二夫の漫画『おそ松くん』に登場するヒロインの女の子の名前は回角,アニメゲーム,ママ,トト子,ルル子,ペペ,トト子
次のうち、「あえてはっきり言わない方が良いこともある」という意味のことわざはどれ?,文系,言わぬが鳥,言わめぬが風,言わぬが人花,言わぬが月,言わめぬが風
陸上の国際ルールによると、100m走でのフライングは、1人あたり何回で失格となる ?,スポーツ,5回,1回,3回,何回してもよい,1回
たのきんトリオの1人で、「マッチ」の愛称で知られている歌手は上:壮4,芸能,近藤真彦,野村義男,印織一清,田原俊彦,近藤真彦
ビリヤードが楽しめるバーのことを「何バー」という?,スポーツ,フィールドバー,ジムバー,ボールバー,プールバー,プールバー
ハーレーダビッドソンやカワサキといえば、どんな乗り物の製造で有名なメーカー ?,雑学,バイク,新電線,へリコプター,洪水艦,バイク
映画『ハリー・ポッター』シリーズで、魔法使いが空を飛ぶ時に主に使う道具は何?,芸能,杖,ほうさきさ,マント,帽子,ほうさきさ
鉄や銅などのように、産出量が多く第人重が間単な金属を何という3?,理系,ボーカルメタル,ドラムメタル,ギターメタル,ベースメタル,ベースメタル
apア/3のが:JE間674還のたとシュアメコなった児童文学は何 ?,アニメゲーム,オズの腐法使い,小公子,赤毛のアン,トム・ソーヤーの冒険,オズの腐法使い
uc4たどらあ/さク】 にゴン1ュrfc!た、イギリス原族の犬の種類は何 ?,理系,ブルラビット,ブルキャット,ブルバード,ブルドッグ,ブルドッグ
小説 『ハリー・ポボッター』シリーズの第7作目は『ハリー・ポッターと〇つつ〇』。 の〇〇〇びは何 ?,文系,死の秘策,死の秘楽,死の秘境,死の秘宝,死の秘宝
「南さつま市」といえば、何県にあと    -       「,文系,山口県,和歌山県,鹿児島県,青森県,鹿児島県
アニメ『ドラえもん』で、水田わさびの前にドラえもんの声を演じていた声優は誰 ?,アニメゲーム,大山のぶ代,小原乃梨子,野村道子,肝付無太,大山のぶ代
マーくんこと田中将大投手の妻であるタレントは誰?,スポーツ,仲根かすみ,スザンヌ,中井美穂,里田まい,里田まい
相撲で、太って腹の突き出た体型の車量級力士のことを何という ?,スポーツ,だんご型,あんこ型,おもち型,こんばち型,あんこ型
新体操の選手が試合中に着る、体にフィットした衣服を何という ?,スポーツ,アオザイ,レオタード,ネグリジェ,ウェットスーツ,レオタード
カルシウムやマグネシウムを多く含んだ水を、「較水」に対して何という?,理系,高水,風水,硬水,車水,硬水
第83回アカデテミー賢作品賞を受賞した、ジョージ6世の生涯を描いた映画は何 ?,芸能,米国王のスピーチ,伊国王のスピーチ,英国王のスピーチ,仏国王のスピーチ,英国王のスピーチ
浜松市のゆるキャラ、出世大名家康くんのちょんまげ部分になっている魚は何 ?,雑学,サケ,カツオ,ウナギ,マグロ,ウナギ
美濃地方といえば、どこの都道府県にある地方 ?,文系,忠岡県,岐阜県,広島県,北海首,岐阜県
次のうち、「じゅんじゅん」という愛称で呼ばれる男性声優は誰 ?,アニメゲーム,森川智之,玉山潤,紳谷浩史,梶裕貴,玉山潤
アミラーゼやリパーゼなど、食物の栄養分を加水分解して、吸収しやすい形にする酵素を何という?,理系,抑制酵素,消化酵素,呼吸酵素,補酵素,消化酵素
ユニット・オカザイルでEXILEとコラボしたお笑い芸人は誰 ?,芸能,岡田准一,岡本夏生,イジリー岡田,岡村隆史,岡村隆史
7つ集めると願いを叶えてくれる龍が出てくるという球が登場する漫画は何 ?,アニメゲーム,キン肉マン,ドラゴンボール,ハイスクール ! 奇面組,北斗の人挙,ドラゴンボール
「優性の法則」 「!分離の法則」 「独立の法則」という遺伝の3法則を発見した生物学者は誰 ?,理系,メンデル,ド・フリース,モーガン,ラマルク,メンデル
ccゴゴ生きytム39りにた6とこの国の車人 ?,文系,フフランス,イギリス,ロンア,アメリカ,フフランス
「調味料のさしすせそ」で、「さ」が表す調味料は何2,雑学,砂糖,胡概,みりん,味噌,砂糖
親や教師に反旗をひるがえす中学生たちを摺いた、宗田理の小説は何 ?,文系,ほぼくらの七時間戦争,ほぼほくらの七年間戦争,ほくらの七日間戦争,ぼくらの七か月戦争,ほくらの七日間戦争
コロッケやとんかつなどの揚げ物を作るとき、普通、衣として使うものは次のうちとどれ?,雑学,パン粉,片栗粉,米粉,そば粉,パン粉
オセロのコマで、白の反対側は何色 ?,雑学,"字
月",緑,黒,赤,黒
日テレの番組『ぐるナイ』の「ゴチになります ! 」で、「降板」 を意味3る言葉はどれ ?,芸能,バカンス,断食,破産,クビ,クビ
クリス・ミラー監督で公開された、ネコを主人公としたアニメ映画は「何をはいたネコ』 ?,アニメゲーム,ブーツ,長ぐつ,ハイヒール,わらじ,長ぐつ
4Eアルッルン レンた セガスリルリョジョンジェシカ、アンジェリカといえば名どゴちくに 2,芸能,本世,高橋,道端,桂,本世
"ポケット、キュー、ナインボールといえば、どんな競技で使われる用ほ』
品= ?",スポーツ,フィギュアスケート,アーチェリー,バレーボール,ビリヤード,ビリヤード
次のうち、浪具はどれ?,雑学,ビスケット,バスケット,ブランケット,エナチケット,ブランケット
シャーロック・シェリンフォードなどの4人で構成される「ミルキィホームズ」とはどんなチーム ?,アニメゲーム,探偵,バスケ,落語,バンド,探偵
お寿司屋さんで「ガリ」といえば何のこと2?      -    「,雑学,ノリ,,ショウガ,お酒,ショウガ
野球で「マスクをかぶる」と言えばどのポジションで試合に出場すること?,スポーツ,外野手,投手,内野手,捕手,捕手
野球などで、「選手后任監督」のことを何マネージャーという2,スポーツ,ブーイングマネージャー,ラッピングマネージャー,プレイングマネージャー,フライングマネージャー,プレイングマネージャー
記号 「cal」 で表される熱量の単位は何?,理系,カルシウム,カラー,カロリー,カルボナーラ,カロリー
「網膜」がある人間の体の問官はどこ 2,理系,肺,最,脳,心臓,最
次のうち、人間の下后身にある筋肉はどれ ?,理系,ヒラメ筋,上腕二頭筋,腹筋,僧帆筋,ヒラメ筋
次のうち、元サッカー選手は誰 ?,芸能,古田敦也,松木安太郎,川合俊一,舞の海秀邊,松木安太郎
映画館で映画の上映前に放送される、盗撮禁止を宣伝するCMといえばNeネロ間,芸能,映画詐欺,映画残業,映画脱税,映画泥棒,映画泥棒
山形県の県店所在地は何市 ?2,文系,鶴岡市,米沢市,山形市,天草市,山形市
仕事を後の人に引きつぐことを、リレーに例えて「〇〇〇タッチ」。〇〇つつは ?,雑学,バトウ,バトル,パトス,バトン,バトン
日本で、「千年の都」と呼ばれる都市はどこ ?    ーー,文系,京都,中戸,大阪,東京,京都
サッカーの「オウンゴール」、以前は何と呼ばれていた ?      」,スポーツ,自殺点,自衛点,自供点,目爆点,自殺点
野球で「アーチをかける」などという時、この「アーチ」が意味するものは何 ?,スポーツ,本塁打,ポップフライ,ダブルプレー,三振,本塁打
全ての国民が活躍する祉会を実現させるという内容の、第3次安倍普三改造内開のスローガンは何 ?,文系,5億総活躍視会,1億総活躍視会,7億総活躍往会,3億総活躍視会,1億総活躍視会
ジョージ・ガモフによって提唱された、宇宙の始まりに起こったとされる大爆発は何 ?,理系,ビッグサイト,ビッグバン,ビッグクランチ,ビッグベン,ビッグベン
クトウゥルー斬話の「ニャルラトホテプ」がヒロインのアニメは『造いよれ!〇〇〇』 。 の〇び〇は ?,アニメゲーム,まひろさん,クー了チさん,ハス太さん,ニャル子さん,ニャル子さん
