Q,Category,K1,K2,K3,K4,A
トマトジュースとピールで作るカクテルは?,雑学,レッドビール,レッドアイ,レッドゴールド,トマトアイ,レッドアイ
寿司屋の用語で!むらさき」とは何のこと?        」,雑学,,お矯,百油,会計,百油
「ホワイト」「Gペン」「スクリーントーン」といえば、主にどんな職ミア/科MEpたう1の計,雑学,漫画家,格闘家,小説家,落語家,漫画家
「バニラ・エア」や「Peach」といえば、格安が売りのどんな乗り物に関係する会往 ?,雑学,船,次道,飛行機,スペースシャトル,飛行機
ホットドッグで、通常パンにはさんKG内やまう)】たも幅計/,雑学,ビーフステーキ,ソーセージ,トンカツ,カラアゲ,ソーセージ
普通、日本で、ストーブや湯たんぽぼを使う季節はいつ?,雑学,春,夏,秋,冬,冬
料理中の食材を裏返したりするのに用いる、へらのようかな調理器具は回角,雑学,から揚げ返し,フライ返し,フリッター返し,ナゲット返し,フライ返し
じじ9にココニーピョン私EPycR間などの革製品で有名なブランドは回角,雑学,カントク,センシュ,サポーター,コーチ,コーチ
ネスカフェの高級ブランドは何 ?,雑学,ブロンズブレンド,シルバーブレンド,ゴールドブレンド,プラチナブレンド,ゴールドブレンド
次のデザートのうち、冷たい状態で出されるのはどれ2?,雑学,シャーベット,タイヤキ,ホットケーキ,アップルパイ,シャーベット
次のうち、実際にあるナッツはどれ 2?,雑学,アソコナッソツ,ドコナッソツ,ソコナッツ,ココナッツ,ココナッツ
鶏の肉で、胸に近いところにある、脂の少ない部位を何という ?,雑学,ささみ,すずみ,たたみ,しじみ,ささみ
"幹線     N
衝線道路治いにある、車を駐車場に停められるレストランを何という ?",雑学,ビヨウブイン,ヤキュウブイン,ユウレイブイン,ドライブイン,ドライブイン
次のうち、男性の夜用の略礼服はどれ 2?,雑学,ギルバード,コンシード,ハンバード,タキシード,タキシード
「ルックチョコレート」や「ホームパイ」などの商品を販売している食ロロメーカーはとこ?,雑学,不三家,不二家,不四家,不一家,不二家
"英語では
では「セ
セルフィ」と
という
ip対是三>)自身を撮影することを意味する言葉は何 ?",雑学,我撮り,邊撮り,私撮り,ー撮り,邊撮り
条氷乳業から販売されている、加熱するとのびるチーズといえば何 ?,雑学,いじけるチーズ,とろけるチーズ,おだてるチーズ,はぐれるチーズ,とろけるチーズ
「金」や「亀の子」などの種類がある掃除道具は何?_,雑学,たわし,掃除機,ぞうさん,ちりとり,たわし
食品の保存などに使われる、ポリエチレン製のフタ付き容器を何という?,雑学,カッパー,サッパー,タッパー,ナッパー,タッパー
料理の「さしすせそ」で、「し」は何のこと?    -,雑学,しお,,白焼き,しょよっつる,しお
一般的に「カニ歩き」と言えば、どんな歩きかたのこと 2,雑学,後ろに歩く,スキップして歩く,横に歩く,逆立ちで歩く,横に歩く
普通の喫茶店でメニューに無いのはとれ?,雑学,ユンケル,コーフ,コーヒー,ミルク,ユンケル
魚のすり身を練って、筒状にした食べ物はどれ ?,雑学,ちわわ,ちくし,ちくご,ちくわ,ちくわ
家族連れを主な客層とする飲食店「ファミレス」は何の略 ?,雑学,ファアミリーレッスン,ファミリーレストラン,ファアミリーレース,ファミリーレストルーム,ファミリーレストラン
次のうち、ひらめのものが特に有名な、寿司ネタとしてもおなじみの鋼のEMIT4ちすず 果/,雑学,いたど,えんがわ,ひさし,ふす ま,えんがわ
次のうち、大阪市にあるテーマパークはどれ?,雑学,TDL,NMP,TDS,USJ,USJ
お吸い物や丼物で、味を引き立たせるために添えられる、セリ科の香草は何 ?,雑学,五つ葉,七つ葉,三つ葉,九つ葉,三つ葉
次のうち、米に虫がつくのを防止するために米と一緒に入れておくと恨い野楽はどれ?,雑学,キュウリ,ニンジン,トウモロコシ,トウガラン,トウガラン
木製の人形「マトリョーシカ」といえば、どこの国の民芸品2,雑学,ロンア,オランダ,フラフランス,イギリス,ロンア
次のうち、豚バラ肉を角切りにして、醤油や酒でじっくりと煮込んだ中華料理はどれ?,雑学,ペイポーロー,ナンポーロー,トンポーロー,シャーポボーロー,トンポーロー
"本=3
「音姫」
と
いったら、と
、とんな
謀設
設 に設四されている装置 ?",雑学,公園,コンビニエンスストア,トイレ,エレベータ,トイレ
次のうち、人気の駅弁にもなっている、ある有川魚を使った富山県名物のお寿司はどれ?,雑学,いなり寿司,助六寿司,ます寿司,余貼寿司,ます寿司
炭酸飲料の「オランジーナ」を製造販売しているメーカーはどこ ?,雑学,ダイドードリンコ,ヤクルト,伊藤園,サントリー,サントリー
正式には「ウシエビ」と呼ばれる、食用にされることでおなじみのエビは何 ?,雑学,グリーンタイガー,パープルタイガー,ホワイトタイガー,ブラックタイガー,ブラックタイガー
次のうち、豚肉はどれ ?,雑学,パーク,ピーク,プーク,ポーク,ポーク
「あつもり」 「スープ割り」といえば、どんな食べ物でよく聞かれる言葉 ?,雑学,つけ麺,とんこつラーメン,担担麺,インスタントラーメン,つけ麺
マクドナルドで販売されている「ポテト」の主な原料となっている芋は回角,雑学,サトイモ,ジャガイモ,ヤマイモ,サツマイモ,ジャガイモ
た人還にすも パングたす2hの)国の料理?,雑学,ドイツ,フフンス,中国,タイ,タイ
次のうち、和装で身に着けるものはどれ?,雑学,天袋,足袋,寝袋,池袋,足袋
オートマチック車で、車を前進させる時に入れるギアは何2,雑学,B,A,D,C,D
トランプのカードで、「K」は何の略 ?,雑学,キロ,キング,キープ,キッズ,キング
次のうち、公園にある遊び道具はどれ 2?,雑学,ブランコ,ブラウス,ブランチ,ブランク,ブランコ
一般的に「釣り」といえば、何を釣と2     ー,雑学,犬,,魚,牛,魚
Eメールを送る時に入力するのは、相手先のメール〇〇OO〇。〇〇〇は ?,雑学,アドリブ,アドレス,アイリス,アクロス,アドレス
次のうち、目動車の部品にあるのはとれ?,雑学,バックリー,バッチリー,バッテリー,バッカリー,バッテリー
イタリア料理に使われる、マカロニやスパゲティなどの和正類を総称して何という3?,雑学,パンダ,パスタ,バッタ,ハンダ,パンダ
スカートなどにつけられる「ひだ」のことを英語で何という ?,雑学,プレート,プラーク,プローブ,プリーツ,プリーツ
直径1.3mm以下のものと定められている、夏によく食べられる起類は回角,雑学,そうめん,ひやむぎ,そば,うどん,そうめん
自動車の「ガス欠」といえば、何が無くなってしまう状態のこと?2,雑学,ガソリン,二酸化炭素,灰酸ガス,オリーブオイル,ガソリン
次のうち、メイク沙としに使われるクリームはどれ2?,雑学,クレンジングクリーム,クロテッドクリーム,シェービングクリーム,カスタードクリーム,クレンジングクリーム
ミツバチの幼虫はこれによって女王バチとなる、健康食品としておなじのの』ミシンョた用。,雑学,ローヤルゼリー,ノーブルシロップ,クラウンクリーム,キングカラメル,ローヤルゼリー
多くの人に募金を呼びかけることを意味する言葉はどれ?,雑学,カンパ,コンパ,タンパ,シンバ,カンパ
ケチャップの主な材料となる野楽はどれ?        ー,雑学,トマト,トウガラシ,ピーマン,ニンジン,トマト
コンルEEこ雪ニンアル。ー」に使われるのは何の肉 ?,雑学,,手肉,牛肉,豚肉,豚肉
ブランド「シャネル」の創立者の名前は、次のうちどれ?       「,雑学,ココ・シャネル,口コ・シャネル,ジャコ・シャネル,ビピンコ・シャネル,ココ・シャネル
片思いの人と両思いになるようにするおまじないは2?,雑学,相合い傘,ラブラブ傘,グッバイ傘,逢い引き傘,相合い傘
ESひヒネフンルル:たた,雑学,あら坊,あら!乾く君,あら良い子ちゃん,アラ届沸く?,あら坊
「チャンポボン」や「息うどん」といえば、何県の名物料理?,雑学,島根県,長崎県,"圭
表森県",宇山県,長崎県
男性が主に下着として着る、袖のないシャツを何という 2?,雑学,ウォーキング,ランニング,スイミング,クライミング,ランニング
「披ごっこ」で、追いかける側を「鬼」というのに対し、追いかけられる側を、普通、何という ?,雑学,狂,"こい  ーー
いし ついし",申,子,子
次のうち、料理を食べるときに使うものはどれ 2?,雑学,お手元,お耳元,お足元,お口元,お手元
次のうち、新幹線の愛称にあるのはどれ?           _,雑学,さく,ごくら,うめ,もみじ,ごくら
玩具につけられる「STマーク」や花火につけられる 「SFマーク」の「S」は何という英語の頭文字 ?,雑学,セーフティ,スポーツ,サービス,スペンャル,セーフティ
ボッティチェリの絵画 『!ヴィーナスの誕生』で、ヴィーナスが立っていとの】たる【朋m?,雑学,机,貝殻,一枚岩,電車,貝殻
関東の名門私立大学の明治、青山学院、立教、中央、法政のことを、その頭文字から何という ?,雑学,マーチ,タンゴ,ルンバ,ワルツ,マーチ
「八ツ橋」といえば、どこの都道府県の名物?,雑学,京都,兵庫,大阪,奈良,京都
次のうち、現役で活躍している将棋棋士は誰?,雑学,米長邦雄,井田幸三,大山康晴,牧生特治,牧生特治
ふつう、下駄は何製の履物 ?,雑学,紙製,曲製,木製,布製,木製
「ユニクロ」を展開するファーストリテイリングの代表取締役会長は上:壮4,雑学,堀江貴文,柳井正,孫正表,三木谷浩史,柳井正
所在が東京都ではないレジャースポットはどれ?,雑学,東京サマーランド,東京ミッドタウン,東京ディズニーランド,サンリオピューロランド,東京ディズニーランド
日本のパスポートの表紙に描かれている花は何 ?,雑学,キク,チューリップ,バラ,スズラン,キク
大塚製薬の「カロリーメイト」は、1本あたり何kcal ?         「,雑学,10kcal,100kcal,10000kcal,1000kcal,100kcal
髪の左右の長さやシルエットが非対称でアンバランスにしたスタイルを何という?,雑学,エフェクトカット,ソフトモヒカン,アシンメトリー,ウィービング,アシンメトリー
ステーキで食べることが多い牛肉の部位「つO〇ロイン」。〇〇に入る言葉は何 ?,雑学,バー,マ 一,フ 一,サー,サー
次の祝日のうち、7月にあるものはどれ?,雑学,スポーツの日,建国記念日,勤労感謝の日,海の日,海の日
商業施設「東京ソラマチ」が併設されている施設は次のうちどれ2?,雑学,東京スカイツリー,東京ミッドタウン,東京タワー,六本木ヒルズ,東京スカイツリー
アサリなどの二枚貝を使ったパスタ料理を何という?,雑学,ボンレス,ボンベイ,ボンゴレ,ボンボン,ボンゴレ
お酒をアルコールに加えて火をつける、フランス料理などで使われる調理方法を何という?,雑学,アルデンテ,カッペリーニ,フフランベ,エスプーマ,フフランベ
寿司や刺身の薬味として使われる、日本特産の香辛料は何 ?,雑学,マスタード,オリーブ,コショワウ,ワサビ,ワサビ
「ワンピ」と略されるファッションアイテムは何 ?,雑学,カーゴパンツ,Tシャツ,サングラス,ワンピース,ワンピース
次のうち、太鼓をたたく時に用いる道具は何?,雑学,つみ,ばち,わる,あく,ばち
「2ch」などと略される、掲示板サイトは何 ?,雑学,2ちゃんねる,Google,YouTube,ニコニコ動画,2ちゃんねる
図書館の本で「禁帯出」 は、どんなことが出来ない本のこと ?,雑学,借りられない,コピーできない,売れない,読めない,借りられない
「VS」の口ゴが有名な、P&Gから販売されているヘアケア商品は回角,雑学,ヴィダル・サスーン,パンテーン,メリット,Dove,ヴィダル・サスーン
大阪万博のシンボル『太陽の塔』を制作した芸術家は誰 ?,雑学,岡山太郎,岡太郎,岡田太郎,岡本太郎,岡本太郎
涙を表しているとされるため、葬式の際に身につけてもよいとされる玉石類はどれ?,雑学,真珠,ダイヤモンド,ルビー,オパール,真珠
ライターやマッチといえば、次のうち何をするための人道具 ?,雑学,水を飲む,長さを測る,文字を書く,火をつける,火をつける
次のうち、トランプの札にあるのはとれ?,雑学,シェーカー,チャッカー,ジョーカー,チョーカー,ジョーカー
次のうち、鳥の種類にいるのはどれ 2?,雑学,カンビ,トンビ,コンビピ,タンビ,トンビ
次のうち、お上時子の種類にあるのはどれ?,雑学,はがき,おかきさ,おえかさ,ゆさかさ,おかきさ
駐車場のことを英語で「〇〇〇エリア」。〇〇〇は ?,雑学,パークイーン,パープリンセス,パーキング,パープリンス,パーキング
次のうち、「競争相手」を意味する言葉はどれ?,雑学,サバイバル,ライフル,ライバル,リバイバル,ライバル
QWERTY配列のキーボードのアルファベットキーで、最も左上にあるキーは何 ?,雑学,M,Z,P,Q,Q
沖縄でよく食べられる、ニニガウリのことを何と言う?,雑学,ソーヤー,コーヤー,ゴーヤー,ドーヤー,ゴーヤー
次のうち、魚の種類にあるのはどれ 2?,雑学,ナチナチャモ,ヒヒャモ,ンンヤャモ,キキャモ,ンンヤャモ
次のうち、トロピカルフルーツはとれ 2?,雑学,マリアン,ジュリアン,ドリアン,ダリアン,ドリアン
次のうち、髪の毛をセットする時に使う整髪料はどれ?,雑学,ムース,リース,アースズス,バース,ムース
「デザート」を意味する言葉「ドルチェ」は、イタリア語でどんな意味 ?,雑学,満足する,やっかいな,終わり,甘い,甘い
次のうち、生徒の数が多い学校を表す言葉はどれ ?     「,雑学,キリン校,マンモス校,ナウマン校,クジラ校,マンモス校
アルファベット2文字で「PS」と略される、イギリスのファッションブランドは何 ?,雑学,アダム・スミス,ポール・スミス,ジョン・スミス,エアロロ・スミス,ポール・スミス
ポケットティッシュの「鼻セレブ」やトイレットロールの「ネピネビピビ」を製造・販売する企業はどこ ?,雑学,ネピア,日清紡,日本製紙クレシア,大分製紙,ネピア
名古屋名物の料理「ひつまぶし」の具として用いられる魚は何 ?,雑学,うなぎ,まぐろ,いわし,かつお,うなぎ
次のうち、春に咲く花はどれ ?,雑学,タンポポ,リンポポ,アンポポ,テンポポ,タンポポ
ベーコンやハムといえば、何を加工してつくられる食品 ?,雑学,ジャガイモ,豚肉,だいこん,カツオ,豚肉
トンカツやエビフライなどのことを、その調理法から何という ?,雑学,蒸し物,お吸い物,揚げ物,,揚げ物
GoogleやYahooIJAPANなど、ネット上のサイトを検索するプログラムを何という3?,雑学,検索エンジン,検索アクセル,検索ライター,検索ハンドル,検索エンジン
背もたれ、脚、座面などから構成されていることが一般的な、座る時に使う家具は何?,雑学,椅子,机,ベッド,タンス,椅子
「小倉&マーガリン」などと豊富な種類で人気の、山崎製パンが販売するサンドイッチは何 ?,雑学,ランチパック,ディナーパック,ブランチパック,サパーパック,ディナーパック
「時、場所、場合」を意味する、アルファベット3文字のファッション用語は何 ?,雑学,DNA,JRA,UFO,TPO,DNA
次のうち、麻雀用語はどれ?,雑学,ポーチ,サーチ,リーチ,アーチ,リーチ
次のうち、カフェオレの「レ」が意味する飲み物はどれ ?2   」,雑学,コーヒー,牛乳,レモネード,ワイン,牛乳
腕時計 「G-SHOCK」を製造・販売しているメーカーはどこ 2?,雑学,CASIO,NEC,SONY,PanaSonlic,CASIO
「老酒 (ラオチュー) 」といえば、どこの国の醸造酒?,雑学,ロンア,中国,インド,タイ,中国
一般にノンアルコールであるものはとれ?,雑学,ソルティドッグ,シャンメリー,スクリュードライバー,シャンパン,シャンメリー
豚骨ラーメン、明太子、モツ鍋で有名な都市はどこ2,雑学,忠岡,中戸,大阪,,忠岡
「アパレル産業」といえば、主に何を製造する産業のこと ?    「,雑学,衣料品,医療品,ペット用品,食料品,衣料品
松屋、吉野家、すき家といえば、どんなメニューでおなじみの飲食店 ?,雑学,牛丼,ドーナツ,フーメン,寿司,牛丼
肌のタイプで、部分によって、乾燥肌と脂性肌が組み合わさった肌のことを何という ?,雑学,複製肌,混合肌,集合肌,合計肌,混合肌
カレーライスは、何にカレーをかけたもの2?      ー,雑学,"こい
ご",うどん,パン,そば,"こい
ご"
落語を観客に聞かせるための演芸場の事を何と言う ?,雑学,かえれ,だめ,やめろ,よせ,やめろ
「てくてく」、「すたすた」と言えば、どんな動作を表現している ?,雑学,歩くこと,食べること,寝ること,しゃべること,歩くこと
病院で体の精密検査を受けることは「 人間〇〇O〇」、〇〇〇は ?,雑学,キャット,マワウス,ドック,モンキー,ドック
カツ丼に一般的に用いられるのは、の】内導4    「,雑学,豚肉,牛肉,,手肉,豚肉
次のうち、お坊さんがお経を読む時にたたく物はどれ?,雑学,木魚,木犬,木 馬,木牛,木魚
モロキュウ。 キュウリにつける調味9ちる 肝/,雑学,マヨネーズ,コショウ,ナンプラー,味噌,味噌
"ワピ
日本航空を、アルファベット3文字の略称で何という ?",雑学,JAL,JAF,JAS,JAM,JAL
次の和菓子のうち、普通、アンコが使われないものはどれ?,雑学,おかさ,どらやき,おはぎ,もなか,おかさ
2人で顔を向い合せ、相手を笑わせたら勝ちとなる遊びは何 ?,雑学,かぎかっこ,にらめっこ,あまえっこ,はかたっこ,にらめっこ
大手カレーチェーン店「カレーハウスCoCo〇番屋」。〇に入る漢字は回角,雑学,参,"志
[つ",,弐,"志
[つ"
米をバターで炒めてからスープで炊いた、トルコ発騰の料理は何 ?,雑学,ビピラフ,グラフ,ンフフ,セラフ,ビピラフ
鳴き声が「モーモー」と表現される動物といえば何?,雑学,トラ,ウン,イヌ,ネコ,ウン
学生などが、お金を稼ぐために行う仕事を何と言う2,雑学,アルコール,アルマイト,アルマジロ,アルバイト,アルバイト
次のうち、高級な洋服に用いられる絹糸のことを何と言う?,雑学,アルク,トルク,コルク,シルク,トルク
普通、アイロンがけによって取り除くことができるものはどれ?,雑学,衣服のシワ,人額のキズ,嫌な思い出,顔のシミ,衣服のシワ
次のうち、水などを加熱し、高温・高圧の蒸気を得る装置はどれ ?,雑学,テイラー,ワイフラー,マイラー,ボイラー,ボイラー
「色の三属性」といえば、明度、彩度とあとひとつは何 ?,雑学,色相,質感,温度,色つや,色相
次のうち、一般的に皮が黄色い果物はどれ2?,雑学,レモン,サクランボ,ブルーベリー,スイカ,レモン
スペインのバルセロナにある教会「サグラダ〇〇〇」。 〇の〇〇は何 ?,雑学,ファミリア,マーチ,アコード,カローラ,ファミリア
馬の尻尾のようにまとめた女性の髪型を「ポニー〇の〇〇」という。〇〇つつは何 ?,雑学,テール,ボール,シール,ロール,ボール
腸の種類や直径によって、「ウインナー」 「フランクフルト」 「ボロニア」に分類される食べ物は何 ?,雑学,ソーセージ,そば,ソーメン,ソフトクリーム,ソーセージ
転職ばかりすることを「仕事を〇C)〇とする」  o  〇〇〇は ?,雑学,てんてん,こんこん,しんしん,りんりん,てんてん
料理の味つけに用いる香辛料を意味する言葉はどれ ?  ー,雑学,スパイク,スライス,スタンス,スパイス,スパイス
東京急行電鉄が運営する、渋谷駅東口にある複合商業施設は何 ?,雑学,渋谷リヒカエ,渋谷カヒリエ,渋谷エヒカリ,渋谷ヒカリエ,渋谷ヒカリエ
ファッションアイテムの「スカーフ」や「バンダナ」の素材は、普通、次のうちどれ?,雑学,紙,金属,木,布,布
持っている服の中で一番上等のものを指す言葉は何2,雑学,タキシード,一張維,クローク,燕尾服,一張維
指輪の「ピンキーリング」は、どの指にはめる指輪のこと?2,雑学,小指,人差し指,親指,楽指,小指
海外で文化の違いに戸惑うことを1〇つ〇つつショック」という。〇〇〇に入る言葉は何 ?,雑学,パンチャー,ランチャー,カルチャー,ドルチェー,カルチャー
お風呂で、湯をためる部分のことを何という?,雑学,脱水頂,洗準槽,浴槽,下水槽,浴槽
遊園地にある子供に人気の乗り物は「ゴーO〇OO〇OO〇」 。 の〇〇OO〇は ?,雑学,カーブ,カート,カール,カーキ,カート
レンタルCDショップなどで、期限を過ぎても返却をしなかった時に課せられる違約金を何という?,雑学,延滞金,身代金,奨学金,義指金,延滞金
ビリヤードで、1番から9番までのボールを、番号順に落としていくゲームを何という?,雑学,ハウスポボール,ナインボール,ロストボール,ハンドボール,ナインボール
治療に際し、主治医以外の医師の意見を聞くことを英語で何という ?,雑学,セカンドキャスケット,セカンドオベリスク,セカンドオピニオン,セカンドインパクト,セカンドオベリスク
餅などにつけて食べられる、炒った大豆を挽いた粉は何 ?,雑学,ちな粉,にな粉,さな粉,しな粉,さな粉
鉛筆の芯を押し出しながら使う筆記具を「〇〇OO〇ペンシル」という。〇の(つうは何 ?,雑学,ゾソニー,パナソニック,シャープ,トウシバ,シャープ
家族と離れて生活して、家が恋しくなることを、 「ホーム〇〇〇」 という。〇〇〇は何 ?,雑学,ロック,シック,リック,マック,シック
次のうち、楽器はどれ?,雑学,チェス,チェコ,チェエン,チェロ,チェロ
ホテルで、ベッドルームとリビングルームがひと続きになった部屋を何という2,雑学,ウェットルーム,スイートルーム,ドライルーム,ビタールーム,スイートルーム
丈夫なためワイヤーとして用いられることも多い、炭素鋼で作られた人金属線は何 ?,雑学,バイオリン線,ピアノ線,チェロ線,ギター線,ピアノ線
次のうち、大塚製薬が発売する栄養調整食品はどれ ?,雑学,カロリーバディ,カロリーメイト,カロリーフレンド,カロリーカップル,カロリーメイト
音楽を聴くために耳に差し込むのは1〇つつホーン」。〇〇〇は ?,雑学,イヤ,イイ,ヨイ,ダメ,イヤ
囲碁で使われる石の色は、普通、何色と何色 ?          「,雑学,育と黒,赤と青,赤と星,日と黒,日と黒
GM、クライスラー、フォードといえば、どこの国の自動車メーカー ?,雑学,イギリス,アメリカ,ブラジル,オーストラリア,アメリカ
箱のふたを開けると、自動的に音楽がなる装置を何という ?,雑学,アルコール,ダンボール,マンホール,オルゴール,オルゴール
次のうち、楽問の種類にあるのはとれ 2?,雑学,ハッパ,ラッパ,ワッパ,カッパ,ラッパ
次のうち、春に花を咲かせる花にあとでの)】ちず2員り,雑学,イクラ,オクラ,サクラ,マクラ,サクラ
フィアット、フェラーリといえは、どこの国の自動車メーカー ?,雑学,メキシコ,イタリア,ブラジル,オランダ,イタリア
理科の実験に用いる道具にあるのはどれ?           「,雑学,ポーカー,エーカー,ビーカー,メーカー,ビーカー
次のうち、「目玉焼き」や「オムレツ」を作る時に欠かせない食材はとれ?,雑学,卵,たくあん,豆腐,,卵
日本で「母の日」にお母さんに贈る花は何 ?        -,雑学,ラベンダー,シクラメン,ポインセチア,カーネーション,カーネーション
牛乳、卵、砂糖を混ぜた液にパンを浸して焼いた料理を何という ?,雑学,フレンチトースト,イタリアントースト,アメリカントースト,イングリッシュトースト,フレンチトースト
次のうち、袖のない洋服を意味するのはどれ2?     「,雑学,ダスト,ベスト,ポスト,ガスト,ベスト
次のうち、忠眼鏡、水唱玉、タロットカードなどの道具を使う職業はどれ?,雑学,料理人,占い師,医者,野球選手,占い師
名古屋市に本視を置く連送会和仁「^)〇さんマークの引越往」。〇〇は回角,雑学,アリ,"セミ
es]
jeコ",クモ,ハチ,アリ
高校卒業後、志室大学を目指し、予備校に通うなどして勉強を続ける人を何という ?,雑学,町民,武士,浪人,商人,浪人
「手巻き寿司」は、寿司を何で巻いたもの2   ーーー,雑学,薄焼たまご,牛肉,薄切だいこん,のり,のり
フラベペチーノなどのメニューがある、生人年負のセイレーンの口ゴでおなじみのコーヒーチェーンは何 ?,雑学,コメダ珈琲,スターバックス,エクセルシオール,ドトール,スターバックス
長針と短針で時刻を示す時計のことを、「デジタル時計」に対して何という ?,雑学,アナウメ時計,アナガチ時計,アナウマ時計,アナログ時計,アナログ時計
次のうち、ファッションとして頭や自に巻く布はどれ?,雑学,スカート,スケート,スリープ,スカーフ,スカーフ
一般に「和食」と言えば、どこの国の料理のこと ?,雑学,アメリカ,日本,イタリア,フフンス,日本
鶏肉などに片栗粉をまぶして揚げた料理を何という ?    「,雑学,牛田揚げ,竜田揚げ,虎田揚げ,馬田揚げ,竜田揚げ
次のうち、共布の肩当てやベルト、大きな寝が特徴的なコートといえはばとれ?,雑学,トレンチコート,ドリンクコート,ハレンチコート,クリンチコート,トレンチコート
次のうち、主にトマトを原料に作られる調味料はどれ3?,雑学,マヨネーズ,タルタルソース,ショウユ,ケチャップ,ケチャップ
イカ、カニ、ヒトデテなどの海の生き物の形をしている、和森永製昧のスナック旧子は何 ?,雑学,おっとっと,わっはっは,えっへっへ,くつくつく,おっとっと
次のうち、コンピュータ画面を操作するために、手で動かして使う機呈はどれ?,雑学,マウス,キャツッツト,ビピッグ,ラビット,マウス
高速道路の出入り口「〇〇〇チェンジ」。〇〇〇は何 ?,雑学,インロー,インボー,インター,インナー,インター
ひげをはやすことと、お金を貯めることに共通する言葉は何 ?,雑学,たくわえる,そろえる,とどめる,かくす,たくわえる
雨の日に、目動車の窓ガラスについた雨粒を取り除く装置を何と言う ?,雑学,ウインカー,ワイパー,ハンドル,ブレーキ,ワイパー
次のうち、岡山県を走るJR吉備線の愛称はどれ ?      「,雑学,浦島太郎線,枕太郎線,ー寸法師線,金太郎線,枕太郎線
筆記用具の「JET STREAM」や「クルトガ」などを販売する文具メーカーはとどこ?,雑学,一姜鉛筆,四凌外筆,三菱鉛筆,二凌鉛筆,三菱鉛筆
マラソンや自動車レースで、ゴールせずに途中でやめることを何と言う?,雑学,リタイヤ,シタイヤ,イタイヤ,ウタイヤ,リタイヤ
「桃の節句」があるのは3月ですが、「端午の節句 があるのは何三野4,雑学,8月,4月,9月,月,月
食事の時のマナーのことを何といつう?,雑学,テーブルマナー,スプーンマナー,ディッシュマナー,フードマナー,テーブルマナー
次のうち、寿司屋で「お茶」を意味する言葉はどれ 2?    」,雑学,さがり,あがり,すがり,まがり,あがり
次のうち、学問研究の助成のために与えられるお金はどれ2?,雑学,普学金,義指金,延導金,補償金,普学金
次のうち、国立大学はどれ ?,雑学,日本大学,亜細亜大学,東京大学,東洋大学,東京大学
次のうち、ハロウィンで、子どもたちが近所の家でお菓子をねだる際にいう言葉はどれ?,雑学,trick or treat,trick and treat,trick but treat,trick so treat,trick or treat
次のうち、横須異市の名物料理なのはどれ2?,雑学,空軍カレー,海軍カレー,陸軍カレー,将校カレー,海軍カレー
次のうち、音楽のジャンルにあるのはどれ2?,雑学,ペキンミュージック,バンコクミュージック,タイペイミュージック,ソウルミュージック,ソウルミュージック
熱により服のしわを伸ばす電化製品といえば何 ?,雑学,ゴールド,カッパー,シルバー,アイロン,アイロン
飛行機が飛び立つ瞬間のことを何と言う ?,雑学,りりく,りりい,りりこ,りりー,りりく
男男、メイクイーンなどの品種があるイモは何 ?,雑学,サトイモ,サツマイモ,ジャガイモ,ヤマイモ,ジャガイモ
"「十五夜の月見」といえば、次のうち、普通、と
、どんな状
んな状態の月をた
ながめること2?",雑学,新月,年月,満月,日月,満月
次のうち、普通、みそ味で仕上げられるラーメンはどれ2?,雑学,喜多方ラーメン,博多ラーメン,東京ラーメン,札幌ラーメン,札幌ラーメン
お記いの席で出される「尾頭つき」といえはばは、次のうちどんな食べ物 2,雑学,魚,野楽,肉,果物,魚
女性用の小さいサイズの靴を、ある章話の主人公の名前から「何サイズ」という ?,雑学,人魚姫,ラプンツェル,シンデテレラ,白雪姫,シンデテレラ
地球の姿をしたキャラクター「ダメ。ゼセゼッタイ。」君が禁止を呼び掛けているのは何の乱用 ?,雑学,核兵器,スマートフォン,騰権,楽物,楽物
夏目激石の小説のタイトルにあるのはどれ?2,雑学,嬢ちゃん,姉ちゃん,兄ちゃん,坊っちゃん,坊っちゃん
沖縄でよく食べられている「とんそく」とは、どんな動物の足 ?,雑学,ブタ,ヒツジ,ウン,ヤギ,ブタ
釣りで、魚が釣り針に引っかかった時の感触を何という?2,雑学,カカリ,ハズレ,サワリ,アタリ,アタリ
シャープの「AQUOS」、パナソニックの「VIERA」といえば、次のうち(のアルルンに,雑学,冷世庫,電子レンジ,テレビ,掃除機,冷世庫
レア、スフレ、ベイクドなどの種類があるケーキは何 ?,雑学,モンブラン,シフォンケーキ,ショートケーキ,チーズケーキ,チーズケーキ
警察の犯罪捜査に活躍する犬のことを何という?,雑学,闘犬,ウォーター・ドッグ,韻察犬,救助大,韻察犬
和服の裁ち縫いのことを、「洋裁」に対して何という ?,雑学,和裁,華裁,身裁,,和裁
貴の怒りに触れて、海中に沈められたとされる、大陸の名は ?,雑学,アットランダム大陸,情熱大陸,,アトランティス大陸,アトランティス大陸
東京デイズニーランドがあるのは?,雑学,千葉県,沖縄県,東京都,北海首,千葉県
日本では東京と西宮にある、子どもに様々な職業を体験させることで人気のテーマパークは何 ?,雑学,キッザニア,コッペリア,アッシリア,カッペリア,キッザニア
料理において、煮月れを防ぐために野楽の角を切り落として丸みをつける切り方は何 ?,雑学,面取り,垂取り,胴取り,廊手取り,面取り
"1959年に「京都セラミツク」としてー                                                         ー                         の,
設立された総合電子部品会往は何",雑学,パナソニック,京セラ,村田製作所,オムロン,京セラ
