一般的な物理式で体積を表すのに用いられる記号は、volumeの頭文字である何?,理系,V,T,P,R,V
次のうち、「エゾマツ」が主に分布している都道府県はどれ ?,理系,北海首,東京都,奈川県,大阪府,北海首
次のうち、四角形でない図形はどれ 2?,理系,ひし形,吾形,座行四辺形,羽形,羽形
"ドイツ語
ン 詞 で  「
爆弾」という意味がある、高圧の気体や液体を入れる金属吉の容器を何という ?",理系,ポット,ボンベ,バケツ,スプレー,ボンベ
毒薬として有名な「青酸カリ」のカリとは何?       -,理系,カリウム,アルカリ,カリブ海,ユーカリ,カリウム
次のうち、アミラーゼやリパーゼのことをさす用語はどれ?,理系,酵素,質素,色素,間系,酵素
「あかがね」ともいう、電線や貨幣に使われる、元素記号Cuの元素は回角,理系,銀,殺,金,鉄,殺
次のうち、24の約数に和含まれないのはどれ ?   「,理系,8,7,3,12,7
人間の不熱とは約何度 ?,理系,46C,26C,41C,36C,36C
次のうち、実在する感染症はどれ ?,理系,アレラフ,コレラフ,ソレラフ,ドレラ,コレラフ
およそ3.14の値をとる、「円の直径の長さに対する円周の長さの比」 を何という3?,理系,円直率,円弧率,円弦率,円周率,円周率
次のうち、解熱・鎮痛薬として使われる楽は何?,理系,アサッテビピリン,アスピリン,キノウピリン,キョウピリン,アスピリン
骨に小さな穴がたくさん生じて、骨折しやすくなった症状を何という ?,理系,,骨粗色症,疲労骨折,返挫,骨粗色症
次のうち、表計算ソフト「Excel」で「かけ算」を表す記号はどれ ?,理系,,,十,米,米
次のうち、上貝類の仲間ではないのはどれ?,理系,アワビ,アサリ,フジツボ,カキ,フジツボ
コンピュータ用語で、テデータの内容を新しいものに変更することは「〇^〇つ〇デート」。 〇の〇〇は何 ?,理系,ダウン,レフト,ライト,アップ,アップ
金属にみられる、光の反射による表面のつやを何という2,理系,光沢,光水,光鏡,,光沢
次のうち、イギリスの博物学者・ダーウィンが、著書『種の起源』で提唱した考えはどれ?,理系,二元論,進化諭,量子論,宇宙論,量子論
の月国じすSpまっ人8還ロジにヨリル:まこた31の】とすず2ル用,理系,塩,砂糖,酢,味噌,酢
人間の生活に悪い影響をもたらす忠のことを、「倫虫」に対して何という?,理系,防虫,用申,成中,害虫,害虫
ウルメやカタクチなどの種類がある、雲の名前にもなっている魚は回角,理系,アジ,サンマ,カツオ,イワシ,イワシ
パレスチナの港町の名前に由来する、傷口などに当てる医療用の布地を何という ?,理系,レーヨン,ナイロン,パシュミナ,ガーゼ,ガーゼ
の pまっhrAルパトすずのル呆2,理系,円,円雛,吾形,正方形,円雛
次のうち、線対称になっている文字はどれ ?  ー,理系,d,A,ア,あ,A
地震の発生直後に、各地への到達時刻や震度を通知するシステムを何といつ ?,理系,緊息地震広報,緊急地震電報,緊愛地震速報,紫愛地震朗報,緊愛地震速報
元素記号で炭素を表すアルファベッ本コちる円名,理系,,V,C,U,C
円周率の小数点第3位以降を四搭五入するといくつ?,理系,3.14,3.04,3.34,3.24,3.14
次のうち、トマトに多く含まれる赤色のカロチノイドはどれ?,理系,カテキン,アントシアニン,リコピン,タンニン,リコピン
「おうし座」や「うお座」など、星占いによく使われる黄道上の星座を何という3?,理系,黄道十四星座,黄道十三星座,黄道十二星座,黄道十一星座,黄道十二星座
自動車の追突事故などによる、首の組織に損傷を生じたために起こる症状を何という ?,理系,やみうち症,みねうち症,したうち症,むちうち症,むちうち症
「パスカルの原理」といえば、次のうちどんなことに関する原理 ?,理系,,圧力,遺伝,"温度
し"">-4",圧力
電流の単位 「アンペア」を表すアルグミ b*4にゴちとく,理系,E,A,U,P,A
天体や宇宙を研究する学問を何といちら,理系,天経済学,天化学,天物理学,大文学,大文学
次のうち、一般に、遺伝学、分類学、植物学などが分類される学問はとれ?,理系,,物理学,生物学,数学,生物学
線分の距離を書き写したり、円を作図したりするのに使われる製図器具は何 ?,理系,分度器,コンパス,定規,クリノメーター,コンパス
次のうち、黒灰色をした火山震の一竹はどれ?,理系,朱雀岩,玄武岩,青龍岩,日虎岩,玄武岩
原子力発電で、主に核燃料に使われる原子番号92の原子は何 ?,理系,ウラン,ビスマス,イリジウム,ネオジム,ウラン
ダンゴムシに触ると、次のうちどんな反応を示す?,理系,足を切って逃げる,体を丸める,悪四を発する,大声をあげる,体を丸める
電気に関係する「右手の法則」「左手の法則」を発見した、イギリスの物理学者は誰 ?,理系,マクミラン,アンダーソン,フレミング,マクロード,フレミング
夜間に、灯りで虫を引きつけて駆除する装置を何という 2,理系,誘賊灯,殺虫剤,ゴキジェット,下取り線香,誘賊灯
実際にはない音や声が、聞こえたように感じてしまうことを俗に何という?,理系,貴耳,早耳,空耳,地狼且,空耳
"電池の中でも、円型の形状をした小型の電池
池を何という ?2",理系,カタン電池,サタン電池,ボタン電池,ハタン電池,ボタン電池
空気に人触れることにより、鉄粉が酸化発熱することで温かくなる明房具は何 ?,理系,ダカール,ナイロビ,チュニス,カイロ,カイロ
顕微鏡観察に使う「プレパラート」は、 「カバーガラス」と何の組み合わせで作る?,理系,スライドガラス,ステンドグラス,ハシブトガラス,ワイングラス,スライドガラス
くも膜下出血」の「くも膜」は、体のどの部分にある膜2,理系,豆,腰,胸,腹,豆
直角二等辺三角形の2つの底角の角度はそれぞれ何度 ?    「,理系,55度,65度,45度,35度,45度
ガニメデ、タイタン、月といえば、次のうちどんな天体の種類 ?,理系,惑星,衛星,小惑星,恒星,衛星
「四季」の4つの季節は、春、夏、秋と何 ?,理系,のみ, く,で ゆ,で と,で ゆ
ライオンのものが有名な、動物のアゴや頭に生えている長い毛のことを何という3?,理系,うしろがみ,たてがみ,ななめがみ,よこがみ,たてがみ
振動数の単位 「ヘルツ」を表す記号として正しいものはどれ2?,理系,Hr,Ht,HI,Hz,Hz
"ハワイのマウナケア山需にある日本の望可
印は何 ?",理系,いばる,すばる,しばる,つばる,すばる
ラテンアメリカ原産の果物「〇サイー」 「〇セロラ」 「〇ボカド」の〇)に共通して入る文字は何 ?,理系,ア,ウ,工,イ,イ
四則演算のうち、答えを「差」という計算はどれ?      」,理系,足し算,かけ算,引き算,割り算,引き算
路乳類の分類のひとつ「青歯 (げっし) 類」とは、次のうちどんな動物の仲間のこと ?,理系,ネコ,ネズミ,サル,イヌ,ネズミ
次のうち、江戸時代の学者・在賀源内が開発した静電気発生装置はどれ?,理系,オレキテル,アレキテル,エレキテル,イレキテル,オレキテル
8000円の商品を209%引きで買ったときの値段は何円?,理系,8000円,6400円,2400円,4800円,6400円
次のうち、実際にいる島はどれ ?,理系,スギ,クギ,サギ,カギ,サギ
「クーロン力」とは、次のうちどんなものの間に発生する力 ?,理系,人する男女の間,東京と名古屋の間,還い主とペットの間,何電粒子の間,何電粒子の間
ヒーターや調理器にも使われる、赤外線の中でも波長が長い光線を何という ?,理系,近赤外線,速赤外線,大赤外線,小赤外線,速赤外線
日本語では「知能指数」という、ヒトの知能の程度を示す値は何 ?,理系,PQ,EQ,CO,IQ,IQ
飛行機の速度表示に使われる、音束との比で物体の速さを表す単位は回角,理系,パスカル,マッハ,ニュートン,ノット,マッハ
次の貝のうち、巻貝はどれ?,理系,アサリ,サザてエ,"FN さやざ
ジンニニ",ハマグリ,サザてエ
水溶液中で水素イオンを受け取る化学種のことを、「酸」に対して何という ?,理系,甘基,塩基,酸基,大大,塩基
次のうち、特定外来生物に指定されGAともとすっ2ル 用,理系,レッドギル,グリーンギル,イエローギル,ブルーギル,ブルーギル
次のうち、「遠近両用」といった種類がある道具はどれ?,理系,メガネ,ネクタイ,アイロン,カツラ,メガネ
おしべの一部分である、花粉形成を行う部分をなんという2?,理系,さく,まく,やく,らく,やく
次のうち、「活火山」である山はどれ 2?,理系,阿蘇山,絡山,大山,霧ヶ峰,阿蘇山
エンドウの種子を用いて、遺伝の法則を発見したオーストリアの植物学者は誰 ?,理系,ファーブル,メンデル,ニュートン,ダーウィン,メンデル
脳下垂体から分泌べされる、骨や筋肉の細胞分像を促進させる効果のあるホルモンは何 ?,理系,発生ホルモン,発達ホルモン,成長ホルモン,成熟ホルモン,発生ホルモン
太陽の表面にある、周りよりも温度が低い部分を何という ?,理系,"宇
月点",黒点,白点,赤点,黒点
南極やグリーンランドのものが有名な、圧力や重力によってできる巨大な氷の塊を何という ?,理系,氷体,水大,氷水,氷河,氷河
体に入った毒を無効化することを、普通、何という?,理系,中毒,解毒,"宇
無毒",下毒,解毒
在面上で、2つの点を結ぶ真っ直ぐな線のことを何という ?,理系,直線,長線,曲線,,直線
水に溶解するとpHが7よりも大きくなる物質を、酸性に対して何という?,理系,アルキル性,アルカリ性,アルゴー性,アルザス性,アルカリ性
飛の幼虫は、普通、どこに生息している ?,理系,火の中,土の中,晶の中,水の中,水の中
園芸植物によくみられる、花びらが何枚も重なったような咲き方を何といつ ?,理系,九車咲き,七車咲き,六車咲き,八車咲き,八車咲き
フレネル、対物、凸、凹などの種類がある、光を屈折させる道具は何 ?,理系,レンズ,ソナー,"っ 一
こ フー",レーザー,レンズ
コブラの天敵として知られる動物で、ハブフ退治のために沖縄に持ち込4訂(の】た円4,理系,マングース,ハイエナ,アライグマ,レッサーパンダ,マングース
健康的に日焼けした肌の色を、穀物に例えて何という?,理系,大麦色,米色,トウモロコシ色,小麦色,小麦色
"容問に使われる高分子で、「エチレ」の頭に共通して
ン」  の頭に共通
ン」 「プロピレつく言葉は何 ?",理系,パリ,ペリ,ポリ,プリ,ポリ
次のうち、数学に出てくる「円周率」の値の説明として正しいのはどれ?,理系,およそ6,およそ4,およそ5,およそ3,およそ3
コンピューターやネットワークに侵入し、デテータを盗み見たり、破壊したりする人を何という?,理系,ビスケット,クラッカー,キャンディ,マンユマロロ,クラッカー
10分の1]リットルを1とする単位は円時,理系,キロリットル,デシリットル,デカリットル,ミリリットル,デシリットル
日本がハワイ島のマウナケア山に設直している、大型の天体望遠鏡の愛称は何 ?,理系,まつだ,すばる,いすず,ほんだ,すばる
パソコンなどで、デテータが消えてしまう事態に備えてデータを複製しておくことを何という?,理系,メイクアップ,パワーアップ,セットアップ,バックアップ,バックアップ
次のうち、鳴き声が「モー」と表現される動物はどれ?2   」,理系,ゾウ,ウマ,ニワトリ,ワシ,ワシ
「しけ」「なぎ」といえば、次のうち何の状態を表す言葉 ?,理系,湖,海,川,"*プJ
/ロ",湖
シャチ、シマウマ、ジャイアントパンダに共通する、主な体の色は何色と何色 ?,理系,赤色と青色,黄色と緑色,白色と黒色,余色と紫色,白色と黒色
算数や数学で、図形問題を解きやすくするために、新たに描き加える線を何という ?,理系,補正線,補助線,補欠線,補償線,補助線
昆虫などが体外に分泌し、同じ仲間に影響を与える化学物質を何という?,理系,フェロモン,アンチモン,ポケモン,ソロモン,フェロモン
次のうち、2と3の公倍数ではない数はどれ2?,理系,8,18,12,6,8
妊娠によって子宮内に形成される、胎児を包む膜を何という ?,理系,壮膜,豚膜,馬膜,牛膜,壮膜
下あごから伸びる2本のひげから名前が付いたヒメジ科の魚は次のうちとれ?,理系,オジサン,オネエサン,オニイサン,オバサン,オジサン
空が赤く染まる「夕焼け」が見られる方角は、次のうちどれ?,理系,北,南,東,本,本
"電話やパソコンなどに使われている「無線通信」,のことを何という ?",理系,アドレス,プロレス,ワイヤレス,ファミレス,ワイヤレス
人間の皮膚の皮脂や角質が、毛穴をふさいで固まったものを何という ?,理系,耳梓,角欄,四梓,元欄,角欄
ライオンやトラ、チーターといえば全て何の仲間 ?,理系,ネズミ,キツネ,ネコ,イヌ,ネコ
キイロロ、ナミ、ナナホシなどの種類がいる、甲虫の一種はどれ ?,理系,クワガタムシ,アブラムシ,カブトムシ,テントウムシ,テントウムシ
「ダイヤ」ともいう、炭素の同素体の1つは何 ?              「,理系,ダイヤルロック,ダイヤモンド,ダイヤルイン,ダイヤグラム,ダイヤモンド
数学で、2つの整数が、1以外の公約数を持たないという関係を何という?,理系,互いに反,互いに独,互いに素,互いに別,互いに素
電池のつなぎ方を大きく2つに分けると、 「直列」と何?,理系,閉列,併列,並列,邊列,並列
日本の国立天文台がハワイのマウナケア山の山頂に設置している大型光字赤外線望速鏡の愛称は ?,理系,すばる宣遠鏡,ほんだ望遠鏡,まつだ望遠鏡,とよた望遠鏡,すばる宣遠鏡
牛乳に砂糖を加えて煮詰めてつくる「加糖練乳」」のことを何という ?,理系,ホイップ,マーガリン,コンデンスミルク,サワークリーム,コンデンスミルク
その丸い形から名前がついた特別天然記念物は何2    ーー,理系,ボールモ,マリモ,ビーダマモ,タマモ,マリモ
金属の「ステンレス」とは、次のうちどんな意味?,理系,もろい,高価である,安価である,さびない,さびない
夏から秋に現れ、「ガチャガチャ」本 ミミるにコリコ0とをS『のの】三|は何 ?,理系,ハカマムン,クツワムシ,ムチムシ,アブミムシ,クツワムシ
次のうち、光合成に関与する細胞小器官はどれ ?    「    「,理系,葉緑体,ミトコンドリア,核,ゴルジ体,葉緑体
次のうち、体を動かすエネルギーとなる 「ブドウ糖」の別名はどれ3?,理系,セミコース,アルコース,グルコース,タルコース,グルコース
次のうち、実際に存在するのはどれ 2?,理系,ノーベル天文学賞,ノーベル数学賞,ノーベル生物学賞,ノーベル物理学賞,ノーベル物理学賞
ンダ植物や単子葉植物にみられる、多数の細い根っこを何という 2,理系,ひげ根,まゆ根,くらげ根,ふで根,ひげ根
呼吸を助ける役割がある、腹と胸を分ける膜「〇〇膜」。 〇〇は何 ?,理系,横領,模隔,横転,横断,模隔
時計の文字盤などに使われる、「|」」「IV」「X」で表される数字を何という3?,理系,ベルリン数字,パリ数字,ローマ数字,モスクワ数字,モスクワ数字
次のうち、星座の名前になっているのはどれ2?    「,理系,ミリオン,オリオン,アリオン,マリオン,オリオン
体内に尿酸が蓄積することによって起こる、関節が痛む病気は何 ?,理系,痛風,痛炎,痛海,痛雷,痛風
次のうち、円周率に最も近い数字はとどとれ?   ーー,理系,3.14,3.88,6.02,4.34,3.14
元素記号Hで表される水素の原子番号はいくつ?   「,理系,100,],10,1000,]
「目の銀行」とも呼ばれる、移植用の角膜を保存する機関は何 ?,理系,ジーンバンク,ノンバンク,ブリッジバンク,アイバンク,アイバンク
次のうち、貝類などに蓄積し急性胃腸炎の原因となるウイルスはどれ?,理系,パルボウイルス,ノロウイルス,インフルエンザウイルス,センダイウイルス,ノロウイルス
冬の日の窓硝子や夏の日のコップに見られる、空気中の水蒸気が水滴として付着する現象は何?,理系,凍上,結露,沈殿,蒸発,結露
赤く輝く、さそり座のアルファ星のとた円7,理系,アナタレス,キサマレス,オマエレス,アンタレス,アンタレス
アルコールの種類で、「エタ」と「メタ」の後ろに共通してつく言葉は何 ?,理系,ノール,モール,テール,コール,ノール
かつて、その上貝殻が楽器として使われた、フジツガイ科の巻き貝は何 ?,理系,バカガイ,ホラガイ,ツボガイ,イモガイ,ホラガイ
「オタマジャクシ」は、成長するとどんな生き物になる 2,理系,カエル,"セミ
es]
jeコ",トンボ,カメ,カエル
犬がよく舌を出しているのは、次ののまっ:2あ:まべきすれいら記?,理系,現実逃避,体温調節,威咽,衣探し,体温調節
頭部にある3つの角が特徴的な、白亜紀に生息したとされる恐竜は何 ?,理系,ティラノサウルス,プテラノドン,トリケラトプス,ヴェロキラプトル,トリケラトプス
表酸によって胃の表面がただれて傷ついた症状を何という ?,理系,いたいよう,いさざいぼう,いがいとう,いかいよう,いかいよう
MgウルたPB]【のたゴンスだヨリルたき円,理系,イノシンシ酸,イノブタ酸,イノシン酸,イノウエ酸,イノシン酸
「ジャコウエンドウ」の別名もある、イタリアのシチリア島の原産の化は何 ?,理系,スイートペー,スイートポー,スイートプー,スイートピー,スイートピー
「動物記』で有名な、イギリス生まれの博物学者は誰 ?,理系,シーズン,シーチキン,シーマン,シートン,シートン
台風の通過が多く被害を受けやすい地域を、東京の地名を使って何という?,理系,台風浅草,台風銀座,台風池袋,台風六本木,台風銀座
メタノールやエタノ ールなど、 ヒドロキン基を持つ炭化水素を総称して何という3?,理系,アルデヒド,アルコール,エステル,ケトン,アルコール
次のうち、人間の下后身にある骨はどれ?,理系,選甲肖,上腕骨,大服骨,頭蓋骨,大服骨
年代測定にも使われる、樹木の横断面に見られる同心円状の輪を何という?,理系,年輪,日輪,五輪,車輪,年輪
ゴリラの学名は何 ?,理系,ゴリラ・ゴリラ,ダブル・ゴリラ,ゴリ・ゴリラ,ツー・ゴリラ,ゴリラ・ゴリラ
寿司屋では「ガレージ」とも呼ばれる、和干潟の穴にすむ、エビに似た生さ物は何?,理系,ヒャコ,シンシャコ,ナャコ,キャコ,シンシャコ
高積雲のことを、その姿がある動物に似ていることから何という?,理系,とり寺,うま寺,ひつじ雲,さる宮,ひつじ雲
磁石にある2つの極とは、N極と何?,理系,M極,S極,Z極,L極,S極
ビタミンAが不足すると起こりやすい、夜になると店力が落ちる症状を何と言う?,理系,とり目,ねこ目,いぬめ目,うし目,とり目
次のうち、一般的な2枚1組の三角定規にない角度はどれ?,理系,50度,45度,30度,60度,50度
体の前後にある吸盤で動物に吸い付き、血を吸うという性質で知られるにのリルの】たる円,理系,ネル,ヒル,テル,ワル,テル
次のうち、コンクリートやモルタルの原料となる物質はどれ2?,理系,セツルメント,セグメント,センナチメント,セメント,セメント
地球の体積の8割近くを占める、地穀と核の間にある層の名前は何 ?,理系,マントル,マンジュワウ,マンモス,マンボウ,マントル
ウシなどの動物が、一度、胃に送った食べ物を再び口に戻してそしゃくする行為を何という ?,理系,たいすう,はんすう,がいすう,ていすう,はんすう
次のうち、魚の睡眠について正しいのはどれ2?,理系,そもそも眠らない,目を開けたまま眠る,実はずっと眠っている,目を閉じて眠る,目を開けたまま眠る
「ヒートアイランド現象」とは、次のうち、何が上昇する現象 ?,理系,都市の気温,海水の温度,人間の体温,太陽の温度,都市の気温
海中でプランクトンの死骸などが浮遊し、雪のようにみえる現象を何という ?,理系,マリンスノー,ディープスノー,ンースノー,ウォータダタースノー,マリンスノー
次のうち、ガスバーナーを適切に使用している場合の炎の色はどれ?,理系,黒色,黄色,青色,赤色,青色
別名を「金剛石」という鉱石は何 ?,理系,トパーズ,ダイヤモンド,ルビー,エメラルド,ダイヤモンド
水溶液になると電流を通す物質を何という?,理系,電解質,陽質,非電解質,電気質,電解質
高い山の山頂などで、1年中溶けずに残っている雪を何という?,理系,千年雪,百年寺,万年寺,十年寺,万年寺
『「フット」や「マッハ」といえば、次のうち、どのようなことに関する単位?,理系,車さ,人さ,便さ,速さ,速さ
鼓有といえば、人間の体のどこにある 2,理系,品,目,へそ,耳,耳
顕微鏡やカメラに用いられる、真ん中の方が厚くなっているレンズは回角,理系,凸メガネ,凸ガラス,凸負,凸レンズ,凸レンズ
兵庫県の洞窟にちなんで名付けられた、黒っぽい色の火山岩の一種は回角,理系,日虎岩,玄武岩,朱雀岩,青龍岩,玄武岩
理科で植物の蒸散を調べる実験でよくの葉の表皮に塗る、石油から作られる物質は次のうちどれ?,理系,ワンリン,ワセリン,ワスリン,ワサリン,ワセリン
次の味覚のうち、実際は「味」ではなく、「痛み」であるものはどれ2?,理系,辛味,甘味,塩味,酸味,辛味
地寺の際、最初に地震波を発生した地球内部の地点のことを何という ?,理系,"坪叶 で
辰心",震中,震源,誠ト,震源
「テンタルフロス」といえば、体のどの部分を掃除するための人道具 ?,理系,"+ょに
普",二の腕,指先,太もも,"+ょに
普"
「京都議定書」といえば、次のうち何の創減を決めた議定書 ?,理系,アスベスト,温室効果ガス,人工着色料,,温室効果ガス
光っている部分がほとんどない「新月」に対して、ほぼ全面が光っている月のことを何という?,理系,満月,古月,旧正月,化鳥風月,満月
「極光」ともいう、南極や北極の上空で大気が鮮やかに発光する現象は回角,理系,コロナ,デリンジャー,オーロラ,フレア,オーロラ
次のうち、刺激臭がある水溶液はどれ ?            「,理系,塩酸,食塩水,石放水,炭酸水,塩酸
「心電図」とは、何という臓器を流れる電気を計測するための装置 ?,理系,脳,脊髄,皮膚,心臓,心臓
次のうち、液体中の固体を分離する操作の名称として正しいものはどれ?,理系,ら過,ろ過,る過,れ過,ろ過
1957年に建設された、日本初の南極観測基地は何 ?,理系,明治基地,大正基地,昭和基地,在成基地,昭和基地
次のうち、「かさ」とも表現されるものはどれ?2,理系,面柄,体積,長さ,速度,体積
電気回路で、抵抗や電池などを正極と負極でつなぐことを何という ?,理系,直列,行列,配列,系列,直列
次のうち、車さの単位はどれ ?,理系,マイル,ヤード,オンス,ヘクタール,オンス
次のうち、鳥類はどれ ?,理系,シロクマ,アザラン,ペンギン,セイウチ,ペンギン
_ 人間は〇〇〇類である。 〇〇〇に入とその)】たと%幅W/,理系,路乳,,過虫,両生,路乳
記号「K」で表される、絶対温度の単位は何?,理系,ケルビン,ケイビン,ケノビン,ケンビン,ケルビン
数学で、「3.14」や「1.41」という数字についている「.」を何という?,理系,分数点,小数点,実数点,整数点,小数点
次のうち、ある空間に存在できる水蒸気の質量を表した言葉はどれ2,理系,朗商水蒸気量,郎和水蒸気量,郎差水蒸気量,館積水蒸気量,郎和水蒸気量
ミKの7月2 6ま3の】たちと:2縛上ら」というのに対し、耳側のほうを何という3?,理系,目こし,目うで,目あし,目じり,目じり
次のうち、ウマやシカが含まれるのはどれ2?,理系,玉皮動物,印足動物,脊椎動物,軟体動物,脊椎動物
「ブッソウゲ」の別名もある、南国の花は何2 。,理系,ハイビスカス,イイエピビスカス,イエスピビスカス,ノービスカス,ハイビスカス
人間の体で、「土踏まず」がある部分はどこ?            」,理系,自の後ろ,足の裏,耳の裏,手のひら,足の裏
渡った空のことを、ある色を使って何という2?,理系,黒空,白空,赤空,"=話
青空","=話
青空"
「ビッグバン理論」といえば、次のうち、何の誕生についての理論 ?,理系,人間,月,宇宙,地球,宇宙
鉄鉱石から不純物を取り除き、溶けた鉄を取りだす高炉のことを何といつ ?,理系,要綱炉,溶鉱炉,洋行炉,,溶鉱炉
次のうち、実際にある病気はどれ ?,理系,えびすかぜ,お た バ く かぜ,ひょっとこかぜ,ほんてんかぜ,お た バ く かぜ
腎臓から送られてきた尿を一時的に溜めておく器官は何2_,理系,肝臓,肺,"Eヨ
月",勝胸,勝胸
固体になると「ドライアイス」となる気体は何 ?,理系,二酸化マンガン,二酸化硫黄,二酸化炭素,二酸化窒素,二酸化炭素
次のうち、「ケイ素」のことを表しGAとそうす/】たすっ2ル 6 星人,理系,シリコン,ンスコン,シリコーン,ンスコーン,シリコン
太陽に近づくと、明るいガス状の尾を発生することから、「ほうき星」とも呼ばれる天体は何 ?,理系,水生,衰勢,彗星,水声,水声
次のうち、タコの種類に実際にあるのはどれ2?,理系,フツウダコ,イイダコ,ダメダコ,ワルイダコ,イイダコ
アトラス、コーカサス、ヘラクレスといえはば、いずれもどんな中の種類 ?,理系,ゴキブリ,カブトムシ,チョワウ,クワガタ,カブトムシ
紅倫という別名もある通り全身がピンク色である、熱帯地域の水辺にすむ和鳥は何 ?,理系,フラミンゴ,ペンギン,ダチョウ,ペリカン,フラミンゴ
ライオンやトラは何科の動物 ?,理系,クマ科,イヌ科,ネコ科,ウマ科,ネコ科
横線の下を「分母」、、上を「分子」と呼ぶ数はどれ2,理系,分数,整数,小数,素数,分数
日EK本ny2NUK0と5中の】こし:に:】言葉「真〇日」。〇は何 ?,理系,冬,夏,秋,春,冬
プラスやマイナスのものがある、電気を演びた原子や分子のことを何という ?,理系,イオン,ダイエー,ヨーカ,イトー,イオン
記号「M」で表される、地居のエネルギーの規模を表す数値は何 ?,理系,マグニチュード,マイル,ミリバール,マイクロメートル,マグニチュード
岡山県ではトーチカ、関東の一部地域ではマッカチンと呼ばれる生物は回角,理系,アメリカザリガニ,フランスザリガニ,スペインザリガニ,ドイツザリガニ,アメリカザリガニ
"テネブ、ベガ、アルタイルからなる 、     昌三有
皿の空に見える形をなんという?",理系,夏の大五角,夏の大三角,夏の大四角,夏の大六角,夏の大三角
"登山にお菓子の袋を持って行くと、頂上で袋が

Miiクタ

膨らんでいることがあ
りますが、こ
すが、これはなせぜ ?",理系,気圧が低下したから,重力が減少したから,気温が低下したから,日差しが強いから,気圧が低下したから
昆虫の体の側面にある、呼吸をするための穴を何という2,理系,さもん,しもん,さもん,かもん,さもん
多いものでは2万個以上のパーツからなる、昆虫などが持つ、小さな目が集まってできた目を何という ?,理系,多眼,復眼,車眼,連眼,復眼
600グラムを1とする、食パンの計量などに使われる単位は何 ?,理系,両,打,"時
具",色,打
ふくらはぎの筋肉がけいれんを起こして引きつることを何という ?,理系,あさがえり,でんぐりがえり,こむらがえり,とんぼがえり,こむらがえり
コンピュータで、 完成されたプログラムに修正を加えることを、「布当て」という意味で何という ?,理系,パッチ,ペッナチ,ビピッチ,ブッチ,ペッナチ
一般的に、ツバメが低く飛ぶと、明日の天気は何であるといわれる ?,理系,砂塵出,晴れ,"NN|
十","呈記
雪","NN|
十"
次のうち、元素名ではないものはどれ 2?,理系,酸素,,画素,水素,画素
アブラナの花の色は何色 ?,理系,黄色,放色,赤色,黒色,黄色
人間の「声帯」は、普通、次のうちどこにある?,理系,"]
中紅",のど,腹,耳,のど
「金の元素記号」と「携帯電話会往」から連想される2文字は何 ?,理系,CU,Au,Ag,Pt,Au
「エアサーキュレーター」といえば、次のうちどんな家電の一種 ?,理系,パソコン,食器洗い機,扇風機,デジタルカメラ,扇風機
人体で最も大きな骨である大たい骨は、体のどこにある骨 ?,理系,二の腕,背中,豆,太もも,太もも
次のうち、鳥の種類にいるのはどれ 2?,理系,ノミナ,タベナ,クイナ,ノリナ,クイナ
「アクエリアス」という別名を持つ星座は何2,理系,おうし座,みずがめ座,やぎ座,で た ご座,みずがめ座
「えくぼ」とは、次のうちどこにできるくほぼみ ?,理系,選,類,腰,膝,類
カタツムリを坦って殻の中の肉を食べる、オサムシ科の甲虫は何 ?,理系,マイマイカブリ,アイアイカブリ,コイコイカブリ,トイトイカブリ,マイマイカブリ
石炎水に二酸化炭素を入れるとどうなる ?,理系,曰くにごる,赤くにごる,青くにごる,黒くにごる,曰くにごる
"一瞬だけ表示されていく数字を見てそれを合計し
ていくことを何
可という?",理系,フランス暗算,フランダース暗算,フライング暗人算,フラッシュ暗算,フラッシュ暗算
水は常温常圧でどのような状態で存在している2?,理系,プラズマ,液体,固体,気体,液体
次のうち、内角の和が最も大きくなる図形はどれ ?,理系,台形,邊行四辺形,二等辺三角形,八角形,八角形
しゃっくりはここの義次が原因で起こる、呼吸運動に関する筋肉は何 ?,理系,横隔膜,ヒラメ筋,上腕二頭筋,大胸筋,横隔膜
1859年に出版された、進化論に関するダーウィンの有名な著作は何 ?,理系,葉の起源,根の起源,種の起源,化の起源,種の起源
もっとも美しい比であるとされる、約1:1.618の比のことを何という 2?,理系,白金比,黄金比,白銀比,青銅比,黄金比
次のうち、消化液はどれ ?,理系,汗,血液,,嘩次,嘩次
北極団や南極圏で、夏に太陽が沈まなくなる現象を何という?,理系,黒夜,青夜,赤人夜,日夜,日夜
温度が下がる現象を何という ?,理系,放射冷却,伝導冷却,対流冷却,渦線冷却,放射冷却
次のうち、磁石を砂場に近づけると、破石に吸いつくものはどれ?,理系,砂鉄,砂銅,砂銀,砂アルミ,砂鉄
_ 人間は〇〇〇類である。 〇〇〇に入とその)】たと%幅W/,理系,,中息,両生,腸虫,中息
健康診断などでアルファベット2文字で「TG」と表記されるのは、次のうち何の値 ?,理系,中性脂肪,塩基脂肪,アルカリ脂肪,酸性脂肪,中性脂肪
次のうち、テントウムシがエサとして食べる躍はどれ?,理系,クツワムシ,アブラムシ,サナダムシ,ダンゴムシ,アブラムシ
次のうち、則虫類の生き物はどれ ?,理系,マムン,ヤムシ,ハムン,ガムン,マムン
ニ日酔いに良いとされる成分「クルクミン」が多く含まれているショウガ科の植物は何?,理系,イコン,サコン,ウコン,カコン,ウコン
"な
ど
く
く「心音」
を生
じさせている騰器は何2",理系,肝臓,心臓,"Eヨ
月",痛騰,心臓
