Q,Category,K1,K2,K3,K4,A
篠原健太の漫画 !彼方のアストラ』の「彼方」は何と読む 2,アニメゲーム,そなた,じなた,あなた,かなた,かなた
伏瀬の小説を原作としたアニメ作品_『転生したら〇OO〇OO〇〇だった件』。 で〇つつ〇は何 ?,アニメゲーム,コボルド,スライム,ドワーフ,ドラゴン,スライム
次の『騎士竜戦際リュウソウジャー』のメンバーのうち、女性が変身するのはとどれ?,アニメゲーム,リュウソウブルー,リュウソウピンク,リュウソウグリーン,リュウソウブラック,リュウソウピンク
漫画『キャッツ・アイ』に登場する「キャッツ・アイ」とは何の名前 ?,アニメゲーム,地球防衛軍,私立探偵,怪次,アイドルグループ,怪次
アニメ !転生したらスライムだった件』」はどんなジャンルのゲームの世界を題材にした作品 ?,アニメゲーム,ロールプレイングゲーム,クイズゲーム,シューティングゲーム,パズルゲーム,ロールプレイングゲーム
"沢田ひろふみの漫画『遮那王義経』0主人公・義経のフルネームは*何""義経?",アニメゲーム,本,足利,藤原,源,源
星飛雄馬を主人公とする、梶原一騎記作、川崎のぼる作画のスポ根漫画〇つの星』 9 〇〇は何 ?,アニメゲーム,中日,巨人,広島,阪旨,巨人
バンダイが発売する「妖怪Pad」は、どんなアニメから誕生したおもらも<計4,アニメゲーム,銀魂,NARUTO,妖怪ウォッチ,ちびまる子ちゃん,妖怪ウォッチ
2020年放送のアニメ『へやキャンムハ」は、何という漫画のスピンオフ作品 ?,アニメゲーム,食幸のソーマ,ちはやふる,ゆるキャンハ,ハイスコアガール,ゆるキャンハ
「詠地の魔攻」というキャラクターが登場する、スタジオジブリのアニメ作品は何 ?,アニメゲーム,ハウルの動く城,風立ちぬ,コクリコ坂から,崖の上のポニョ,ハウルの動く城
満潮氷澄と瀬戸の恋を描いた木村太彦の漫画『瀬戸のOO〇O』。〇〇に入る言葉は何 ?,アニメゲーム,表母,花嫁,小,化靖,花嫁
『週刊少年ジャンプ』の2014年50号で最終回を迎えた、岸本斉まの漫画は何 ?,アニメゲーム,NARUTO,銀魂,暗殺教室,トリコ,NARUTO
次のうち、漫画 『!ドラゴンボール』で、主人公の孫悟空が使う技はどれ?,アニメゲーム,かめはめ波,ギャリック砲,超爆像廣波,デスビーム,かめはめ波
"ゲーム『1080'シルバーストーム」は、どんなスポーツを題材にした作ロ
ロロ ?",アニメゲーム,スカイダイビング,スノーボード,サッカー,ラグビー,スノーボード
次のうち、クラシック音楽を題材にした漫画はどれ ?            「,アニメゲーム,ハツカレ,化より男子,猫と私の金曜日,まみあな四車奏団,まみあな四車奏団
実写ドラマ化もされた、警察官・柴田竹虎を主人公とする安童夕馬と朝基まさしの漫画は何 ?,アニメゲーム,シバトラ,サイコメトラーEIJI,クニミツの政,BLACK OUT,シバトラ
ショッカーという悪の組織と戦う特撮ヒーローは何 ?   「   「,アニメゲーム,仮面ライダー,秘密戦隊ゴレンジャー,月光仮面,ウルトラマン,仮面ライダー
漫画『ドラゴンボール』に登場するキャラクター「天津飯」。 何と読む?,アニメゲーム,せきはん,ばいこ一はん,ちゃーはん,てんしんはん,てんしんはん
漫画『「クロサギ』の主人公・黒崎の職業は何2,アニメゲーム,詐欺師,刑事,ハッカー,間金の往長,詐欺師
次のピクサーのアニメ映画のうち、女性が主人公なのはどれ?,アニメゲーム,メリダとおそろしの森,ウォーリー,トイ・ストーリー,カーズ,メリダとおそろしの森
中村沿備の漫画 『1/11 じゅういちぶんのいち』の題材となっているスポーツは何 ?,アニメゲーム,水球,アイスホッケー,ハンドボール,サッカー,サッカー
特撮番組『秘密戦際ゴレンジャー』に登場しないレンジャーは次のうちとれ?,アニメゲーム,アオレンジャー,ミドレンジャー,シロレンジャー,モモレンジャー,シロレンジャー
アニメ『クレヨンしんちゃん』の主人公、野原しんのすけは次のうちどれにあたる ?,アニメゲーム,幼稚園児,小学生,高校生,中学生,幼稚園児
!仮面ライダー』で、ライダーに変身する本郷絡を演じた俳優は誰 ?,アニメゲーム,岸田森,藤岡弘、,黒部進,誠直世,藤岡弘、
RPG 『!ドラゴンクエストIV』に登場する次の人物のうち、女性は誰 ?,アニメゲーム,トルネコ,ライアン,アリーナ,クリフト,アリーナ
RPG『ファイナルファンタジーHI』のジョブで、「うたう」というコマンドが使えるのは何 ?,アニメゲーム,シーフ,吟遊詩人,風水師,学者,吟遊詩人
"次のうち、漫画 『!ドラゴンボール』には登場
登場しない技はどれ?",アニメゲーム,元気玉,かめはめ波,アンパンチ,魔員光灯砲,アンパンチ
映画『ザ率ドラえもんズ ゴール!ゴール!ゴール!!』の題材となったスポーツは何 ?,アニメゲーム,サッカー,ゴルフ,テニス,野球,サッカー
小箱とたんの漫画『スケッチブック』で、主人公・梶原空が所属する部活は何部 ?,アニメゲーム,,美術部,空手部,弓道部,美術部
廊雀漫画『突きの竜』。 「突き」は何と読む ?,アニメゲーム,なき,かき,はさき,あさ,なき
ゲーム 『桃太郎電鉄』で、「牛歩カード」を使われると、しばらく何マスずつしか動けなくなる?,アニメゲーム,4マス,3マス,2マス,1マス,1マス
2018年にゲーム『大乱闘スマッシュ-ラザーズSPECIAL』を発売した会計はとどこ?,アニメゲーム,働天堂,カプコン,スクウェア・エニックス,セガ,働天堂
漫画 !名探偵コナン』の作者は誰 ?,アニメゲーム,高橋留美子,さ と う ふみや,森川ジョージ,育山剛昌,育山剛昌
アニメ『ジャングル大帝』の主人公であるレオの体の色は何色をしている ?,アニメゲーム,赤色,黒色,白色,緑色,白色
次の『週刊少年マガジン』連載の漫画のうち、コミックス巻数が100差を超える作品はどれ?,アニメゲーム,はじめの一歩,風夏,七つの大罪,FAIRY TAIL,はじめの一歩
浦沢直樹の漫画『20世紀少年』で、世界減亡を企てる謎の男は何と呼ばれている ?,アニメゲーム,ともだち,せんせい,ゆうしゃ,かみさま,ゆうしゃ
2014年にアニメ化されたKoiの漫画『ご注文はひつ〇つ〇ですか 2 。〇〇つつは何 ?,アニメゲーム,ねずみ,ひつじ,さつね,うさぎ,うさぎ
漫画『金田一少年の事件簿』で、主人公金田一一の幼馴染で、彼の良きパートナーであるのは誰 ?,アニメゲーム,近宮玲子,速水玲香,七瀬美雪,茅杏子,七瀬美雪
次の佐々木倫子の漫画のうち、テレビ局を舞台とする作品はどれ ?,アニメゲーム,Heaven 2,チャンネルはそのまま!,おたんこナース,動物のお医者さん,チャンネルはそのまま!
0ににゴ旨生:コニシ4アだレニドガムクがオープンした、尾田栄一郎の漫画は何 ?,アニメゲーム,ONE PIECE,銀魂,NARUTO,暗殺教室,ONE PIECE
漫画『ドラえもん』で、ドラえもんが居候しているのは誰の家 ?,アニメゲーム,しずか,スネ夫,のび太,ジャイアン,のび太
中国で、『網球王子』というタイトルでドラマ化された漫画は何 ?,アニメゲーム,テニスの王子様,あすなろ白書,ビピーチガール,イタズラなKiss,テニスの王子様
"女性漫画家・惣領冬実の「惣領」は人と読
す) 2",アニメゲーム,そうりょう,ちょうりよう,こうりょう,なんりょう,そうりょう
リチャード・ウーと中村真理子の漫還で、サブタイトルを『真説・邪馬台形伝』 というのは何 ?,アニメゲーム,昇弥呼,宮本武蔵,日野富子,徳川家康,昇弥呼
ドリーム・ワークスのアニメ映画「ビー・ムービー』の主人公はどんな生き物?,アニメゲーム,カエル,クモ,トンボ,ハチ,ハチ
次のうち、実際にあった『仮面ライダー』シリーズの作品はどれ ?,アニメゲーム,仮面ライダーBLACK,仮面ライダーBLUE,仮面ライダーYELLOW,仮面ライダーRED,仮面ライダーBLACK
悪魔の赤ちゃんを育てる中学生・沢田ほのかの奮闘を描いた、篠塚ひろむの漫画は何 ?,アニメゲーム,ちび区デビ!,クッキングママ,イヌイさんッ!,アイカツ!,ちび区デビ!
次のゲームのうち、プレーヤーが、ハンドルを使って操作するものはどれ?,アニメゲーム,青春スズスキャンダル,フリッキー,モナコGP,スペースハリアー,モナコGP
アニメ『!エースをねらえ ! 』に登場する宗方コーチの下の名前は何 ?,アニメゲーム,仁,真,人,鈴,仁
ライトノベルを原作とする、略称を「境ホラ」というアニメは何 ?,アニメゲーム,境界線上のホライゾン,移眼のシャナ,バカとテストと召喚獣,とある魔術の禁書目録,境界線上のホライゾン
満田拓也の漫画 『MAJOR』の続編のタイトルは 『MAJOR 何』 ?,アニメゲーム,1st,3rd,4th,2nd,2nd
次のうち、格闘ゲーム『戦国BASARAXj』に登場しない歴史上の人物は上:壮4,アニメゲーム,伊達政宗,伊藤博文,真田幸村,上杉謙信,伊藤博文
次のうち、アクションゲーム 『剣豪』シリーズに登場しない歴史上の人物は誰 ?,アニメゲーム,佐々木小次郎,柳生十兵衛,山本五十六,品本武蔵,山本五十六
漫画『名探偵コナン』の次の登場人物のうち、関西弁を話すのは誰 ?,アニメゲーム,服部邊次,江戸川コナン,放原哀,毛利蘭,服部邊次
篠丸のどかの漫画『うどんの国の金色毛税』の舞台となっているのは何県 ?,アニメゲーム,香川県,"喜る
愛既県",徳島県,高知県,香川県
上野樹里主演でドラマ化もされた、ニノ宮知子の音楽漫画は何 ?,アニメゲーム,のだめカンタービレ,のだめアンダンテ,のだめフェルマータ,のだめアンサンブル,のだめカンタービレ
アニメ『天才バカボン』で、バカボンのパパに子どもは何人いる ?,アニメゲーム,5人,2人,4人,3人,2人
ネバーランドに住む永遠の子供が主人公の、世界名作劇場のアニメは『O〇OO〇の冒険』 。〇〇〇は 3,アニメゲーム,ガリバー,ピノッキオ,ラスカル,ビピーターパン,ビピーターパン
漫画『1ポンドの訪音』」『はじめの一歩』 『あしたのジョー』の題材となっているスポーツは何 ?,アニメゲーム,ボクシング,空手,柔道,剣道,ボクシング
「デューク東郷」といえば、漫画の主人公である誰の別名 ?,アニメゲーム,子連れ搬,ゴルゴ13,怪物くん,ドカベン,ゴルゴ13
映画『天空の城ラピュタ」』で、「見ろ!人がゴミのようだ!! 」というセリフを言った人物は誰 ?,アニメゲーム,シータ,ムスカ,パズー,マ・ドーラ,ムスカ
「崖の上のポニョ』【『千と千尋の定隠し』などの作品でおなじみのアニ店たる円計2,アニメゲーム,エイケン,マッドハウス,スタジオジブリ,タツノコプロ,エイケン
次のアニメのうち、女の子を主人公とする作品はどれ ?,アニメゲーム,クレヨンしんちゃん,ドラえもん,名探偵コナン,ちびまる子ちゃん,ちびまる子ちゃん
アニメ『みなしごハッチ』の主人公ハッチ。どんな生き物?,アニメゲーム,ミツバチ,カマキリ,オニヤンマ,ジョロウグモ,ミツバチ
次のうち、ドラえもんのお腹についているポケットはどれ?,アニメゲーム,一次元ポケット,二次元ポケット,四次元ポケット,三次元ポケット,四次元ポケット
ニノ宮知子の少女漫画『のだめカンタービレ」の作中で扱われる音楽のジャンルは主に何 ?,アニメゲーム,フォークソング,ロック,ジャズ,クラシック,クラシック
映画名探偵コナン 11人目のストライカー』の題材となっているスポた2,アニメゲーム,野球,サッカー,テニス,ゴルフ,サッカー
次のうち、とんちで有名なある僧但の子供時代を描いたテレビアニメはとれ?,アニメゲーム,一休さん,三休さん,二休さん,四休さん,一休さん
コナミが発売していた、『水溶伝』をモチーフにしたRPGのタイトルは「何水済伝』 ?,アニメゲーム,未来水済伝,幻想水済伝,魔法水済伝,宇宙水済伝,幻想水済伝
ゲーム『メトロイド』に登場するアイテムで、取ると、より高くまでジャンプできるようになるのは何 ?,アニメゲーム,ハイジャンプ,バリア,爆弾,スクリューアタック,ハイジャンプ
次のうち、ウルトラマンが戦った敵ではないのはとどれ?,アニメゲーム,レッドキング,時昧男,ゼットン,バルタン星人,時昧男
セガのキャラクター 「ソニック」のモチナーフになったのはどんな動物 ?,アニメゲーム,ハリネズミ,カンガルー,ビーバー,カモノハンシ,ハリネズミ
次のうち、主人公の名前がタイトルに入っている漫画はどれ ?,アニメゲーム,さきのう何食べた ?,海街diary,もやしもん,夏目友人帳,夏目友人帳
テジタル化普及以前のTVアニメで一般的だった、透明なシートに画を描いて作るアニメを何という ?,アニメゲーム,切り絵アニメ,セルアニメ,人形アニメ,クレイアニメ,セルアニメ
漫画のタイトルで、『山田くんと〇)C〇うの廣女』『白雪姫とのつつ〇の人』に共通する〇〇〇は ?,アニメゲーム,8人,9人,10人,7人,7人
2014年に、染谷将太主演で実写映画化された、岩明均の漫画は何 ?,アニメゲーム,寄生獣,利さまの言うとおり,アオハライド,海月姫,寄生獣
清太と節子の兄妹が登場する、スタジオジブリのアニメ映画は何 ?,アニメゲーム,火垂るの墓,天空の城ラピュタ,となりのトトロ,おもひでぼろぼろ,火垂るの墓
諸星大二郎の漫画『西遊妖害伝』の選案となった、有名な中国文学は何 ?,アニメゲーム,三国志演義,西遊記,水消伝,金病梅,西遊記
次のうち、円谷プロが制作した特撮作品はどれ ?    「   「,アニメゲーム,秘密戦隊ゴレンジャー,宇宙刑事ギャバン,ウルトラマン,仮面ライダー,ウルトラマン
白井恵理子の漫画『STOP劉備くん!』 の題材となっている中国の書は何 ?,アニメゲーム,水営伝,三国志,金瓶梅,西遊記,三国志
次のうち、アニメ『ルパン三世』に登場しないのは誰 ?,アニメゲーム,石川五工門,七瀬美寺,銭形登部,次元大介,七瀬美寺
「『それいけ!アンパンマン』に登場するドキンちゃんの頭に、ツノはいくつある?,アニメゲーム,4本,3本,1本,2本,1本
漫画『サイコメトラーEIJI』 に登場する明日真映児の協力者・志摩亮子の職業は何 ?,アニメゲーム,作家,刑事,秘書,政治家,刑事
次のアニメの登場人物のうち、「たまちゃん」という親友がいるのは上:壮4,アニメゲーム,野原しんのすけ,ルフイィ,のび太,さくらももこ,さくらももこ
戦国時代にタイムスリップした料理人 * ケンを主人公とする湯画。   「誰のシェフ』 2?,アニメゲーム,秀吉,家康,信長,信玄,信長
雑誌 『LaLaj に連載されている、時計野はりの漫画 『〇OO〇つべビーシッターズ』  9  〇〇は何 2,アニメゲーム,,"ーー、』にコ
学園",病院,商店,"ーー、』にコ
学園"
赤石路代の漫画『鎌倉けしや闇絵巻』の舞台となっている都道府県はとどこ?,アニメゲーム,奈川県,千葉県,埼玉県,山礎県,奈川県
漫画『鋼の錬金術師』で、エドワード・エルリックが探す石の名前は回角,アニメゲーム,賢者の石,悪魔の石,意識の石,宇宙の石,賢者の石
"手塚治
治虫の:
漫画『ユニコ』の主人公
アゝユニコのツノの本数は何本 ?",アニメゲーム,4本,2本,3本,1本,1本
レースゲーム『モナコGP』で、プレイヤーが操作する乗り物は何 ?,アニメゲーム,鉄道,飛行機,自動車,ヨット,自動車
次のうち、ゲーム 『スーパーマリオブラザーズ』」シリーズのタイトルにあるのはとどれ?,アニメゲーム,スーパーマリオUSSR,スーパーマリオEU,スーパーマリオUSA,スーパーマリオJPN,スーパーマリオUSA
アニメ『けいおん ! 』で、主人公の座沢唯が所属する部活は何部 ?,アニメゲーム,吹奏楽部,合唱部,軽音部,余道部,軽音部
アニメ『おそ松くん』 の次の登場人物のうち、女の子は誰 ?,アニメゲーム,トト子,ハタ坊,デカパン,イヤミ,トト子
次のうち、普段、押入れを寝床にしGAシレランルルル:人E当と: 者?,アニメゲーム,ちびまる子ちゃん,サザエさん,クレヨンしんちゃん,ドラえもん,ドラえもん
次のうち、藤巻忠俊の漫画『黒子のバスケ』の略称はどれ ?   「,アニメゲーム,黒バス,赤バス,白バス,青バス,黒バス
野球ゲームシリーズ『実況パワフル,アニメゲーム,バカ野球,プロ野球,アマ野球,ミニ野球,プロ野球
次のうち、コナミのサッカーゲームのタイトルにあるのはどれ2?,アニメゲーム,ウイニングテン,ウイニングナイン,ウイニングイレブン,ウイニングトゥエルブ,ウイニングイレブン
ゲーム『太鼓の達人』で、プレイヤーは普通何本のバチを使ってプレイする ?,アニメゲーム,3本,2本,4本,5本,2本
妖怪が見える少年を主人公とする緑川ゆさきの漫画『夏目〇〇帳』。(〇〇は何 ?,アニメゲーム,兄尼,親子,友人,他人,友人
次のうち、普段、 メガネをかけているキャラクターは誰 ?2,アニメゲーム,ジャイアン,しずか,のび太,スネ夫,のび太
「あべし」や「たわば」といった印象的なセリフが登場した漫画といえば何 ?,アニメゲーム,北斗の拳,キャプテン胃,キン肉マン,ウイングマン,北斗の拳
次のうち、漫画『おそ松くん』には登場しかないキャラクターはどれ 2?,アニメゲーム,コロ助,デカパン,ハタ坊,イヤミ,コロ助
「このへんな生きものは、まだ 日本にいるのです。 たぶん。 」といえは何という映画のコピー ?,アニメゲーム,となりのトトロロ,風の谷のナウシカ,天空の城ラピュタ,おもひでぼろぼろ,天空の城ラピュタ
くりた陸の漫画『美姫の蔵』の題材になっているお酒は何?  「,アニメゲーム,ワイン,ビール,日本酒,ウイスキー,日本酒
オオカミのガブとヤギのメイが登場する、木村裕一の絵本が原作のアニメ映画は『何のよるに』 ?,アニメゲーム,おおあめのよるに,かみなりのよるに,あらしのよるに,たいふうのよるに,あらしのよるに
漫画 !鉄脱アトム』で、アトムのために作られた妹ロボットの名前は回角,アニメゲーム,ラドン,チタン,ニオブ,ワラン,ワラン
過激な描写で福会問題となった、学校を舞台とした永井豪のギャグ漫画は『!何学園』 ?,アニメゲーム,スカート学園,ハレンチ学園,ドスケベ学園,ノゾキ学園,ハレンチ学園
次のうち、しろの漫画『ヤマノススメ』の題材になっているのはどれ?,アニメゲーム,ヨット,,登山,ビリヤード,登山
『マッスルグランプリ』という副題でアーケードゲーム化された漫画は回角,アニメゲーム,キャプテン代,るろうに剣心,SLAM DUNK,キン肉マン,キン肉マン
アニメ 『フランダースの犬』で、主人公のネロと仲が良い犬の名前は回角,アニメゲーム,パトラッシュ,ラッシー,チーズ,リンチンチン,パトラッシュ
「キャラクターボイス」を略して「CV」と表される、アニメに関わる仕事といえば何 ?,アニメゲーム,監督,演出家,アニソン歌手,声優,声優
漫画 『キン肉マン』の主人公、キン肉マンの本名は何 ?,アニメゲーム,キン肉スグル,キン肉イサオ,キン肉タツノリ,キン肉サダハル,キン肉スグル
堀越耕三の漫画『〈〇のヒーローアカテミア』。〇は何 ?,アニメゲーム,僕,私,君,俺,僕
次のうち、「ケロン星」という星が登場する漫画はどれ?,アニメゲーム,ケロロロ軍曹,涼宮ハルヒの曖刺,けいおん !,よつばと!,ケロロロ軍曹
次のうち、将棋を題材にした漫画はとれ ?            「,アニメゲーム,リボーンの棋士,あさひなぐ,トクサツガガガ,恋と国会,リボーンの棋士
1992年放送のアニメ『あしたヘへフリーキック』は、どんなスポーツを昌材にした漫画 ?,アニメゲーム,テニス,バレーボール,ゴルフ,サッカー,サッカー
体が小さくなるおばさんが主人公である、NHKのアニメ作品は『何おばさん』 ?,アニメゲーム,ナイフおばさん,フォークおばさん,スプーンおばさん,ソーサーおばさん,スプーンおばさん
あきお、てつやの温画家兄弟といえば名字は何 ?             「,アニメゲーム,ちば,あきさた,かがわ,やまぐち,ちば
アニメ「ヤッターマン』のヤッターマン1号。 普段は何と呼ばれている ?,アニメゲーム,コンちゃん,ガンちゃん,ゲンちゃん,ドンちゃん,ガンちゃん
アニメ『クレヨンしんちゃん』に登場するイヌ、シロの得意技は次のうちとれ?,アニメゲーム,わたあめ,バターあめ,りんごあめ,冷やしあめ,わたあめ
間画 リクレヨンしんちゃん』で、野選家に女性は何人いる2?,アニメゲーム,3人,2人,1人,いない,2人
漫画『釣りバカ日誌』に登場する、主人公・ハマちゃんの釣りのパートナーといえば誰 ?,アニメゲーム,キーさん,ネーさん,マーさん,スーさん,スーさん
よしながた〇』の〇に入る記号は何?,アニメゲーム,&,井,,?,?
アニメ映画『名探偵コナン 異次元の狙撃手』。この「狙撃手」は何と読む ?,アニメゲーム,ロストシップ,スナイパー,クォーター,チェイサー,スナイパー
うすた京介の漫画『ピューと吹く!ジャガー』に登場する酒留清彦は普段何と呼ばれている ?,アニメゲーム,プヨ彦,パヨ彦,ピヨ彦,ペヨ彦,ピヨ彦
アニメ『アルプスの少女ハイジ』で、体が弱く、車椅子で生活する少にるのと9:たる円有,アニメゲーム,ブリギッテ,アトリ,チネッテ,クララ,クララ
関口将太が主人公の寺沢大介の漫画は『将太の何』?,アニメゲーム,寿可,果子,中華,蒼麦,寿可
モデルからデザイナーに転身した政美を主人公とする漫画 『デザイナー』の作者は誰 ?,アニメゲーム,四条ゆかり,二条ゆかり,三条ゆかり,一条ゆかり,四条ゆかり
RPG『ドラゴンクエスト』シリーズの呪文「メラ」とは、相手に何をぶ~けるもの?,アニメゲーム,水の幼,火の玉,かまいたち,稲妻,火の玉
アニメ 『昭和元禄落語心中』のオープニング曲『薄ら氷心中』を作詞作曲したアーティストは誰 ?,アニメゲーム,宇多田ヒカル,浜崎あゆみ,椎名林檎,aiko,椎名林檎
国見比呂や橘英雄といった人物が登場する野球漫画 『H2』の作者は誰 ?,アニメゲーム,秋本治,あだち充,本宮ひろ志,ゆでたまご,あだち充
RPG『セブンスドラゴン』で、古代剣の「カタナ」で敵を攻撃することができる職業は何?,アニメゲーム,メイジ,サムライ,プリンセス,ヒーラー,サムライ
次のうち、主人公の年齢が最も高い淫男はどれ ?,アニメゲーム,ちびまる子ちゃん,ひみつのアッコちゃん,コボちゃん,アラサーちゃん,アラサーちゃん
いずみの漫画『ちょこパフェ』で、主人公・桂木千代子の家は何屋を経にGAと,アニメゲーム,カレー屋,パン屋,ラーメン屋,ケーキ屋,ケーキ屋
次のうち、『ドラえもん』のひみつ道具にあるのはどれ?,アニメゲーム,マイムマシン,ライムマンシン,アイムマシン,タイムマシン,タイムマシン
漫画 『!じゃりン子チエ』に登場するチエの父親の名前は何 ?,アニメゲーム,マソ,テツ,カツ,セツ,テツ
台湾で『蜂蜜幸運草』というタイトルでドラマ化された日本の漫画は回角,アニメゲーム,花さかりの君たちへ,メイちゃんの執事,のだめカンタービレ,ハチミツとクローバパバー,ハチミツとクローバパバー
アニメ『ルパン三世』で、ルパンの一味である女性、不二子の名字は回角,アニメゲーム,峰,石川,次元,昧形,峰
次のうち、『まんがライフ』などの4コマ誌で知られる出版千はどれ 2?,アニメゲーム,梅書房,松書房,桜書房,竹書羽,竹書羽
「キン肉マン』に登場する超人、アシュラマンの顔の数はいくつ 2?,アニメゲーム,3つ,Sつ,4つ,2Zつ,3つ
ゲーム 『ファイナルファンタジー』シリーズで、「ポーション」で回復まっこもう3の】たのリルpまきっす 用/,アニメゲーム,HP,魔力,攻撃力,MP,HP
次の特撮番組のうち、放送されたのカ一番早かったのはどれ2?,アニメゲーム,魔進戦隊キラメイジャー,"プ   、]
アントミラ
ージュ !",ウルトラマン,仮面ライダーゼロワン,ウルトラマン
「女性版トキワ荘」とも呼ばれる、る性漫画家が集まった借家「大泉サロン」があった都道府県はどこ ?,アニメゲーム,北海首,唱賠,大阪,東京,東京
アニメ『ふしぎなメルモ』 に登場する2種類のキャンディーとは、青色ISK【のようすの放,アニメゲーム,赤色,緑色,銀色,金色,緑色
RPG『MOTHER2 ギーグの逆襲」 に登するどせいさんが頭につけているリ』ンの色は何色 ?,アニメゲーム,黒色,青色,黄色,赤色,赤色
「崖の上のポニョ』【『千と千尋の定隠し』などの作品でおなじみのアニ店たる円計2,アニメゲーム,マッドハウス,エイケン,スタジオジブリ,タツノコプロ,マッドハウス
漫画 『キン肉マン|世』に登場するウパウセギンンルンルン:だゴム jpん2008p た2のにreあ2とすさり】たと : 者4,アニメゲーム,セイウチン,テリー・ザ・キッド,ケビンマスク,ガゼルマン,テリー・ザ・キッド
アニメ『らき尋すた』で、泉こなたの声を演じた声優は誰 ?,アニメゲーム,編原香織,遠藤綾,不野綾,加藤英美里,不野綾
次のうち、『ドラえもん』のひみつ道具にあるのはどれ?,アニメゲーム,スモールライト,スモーヌライト,スモーブライト,スモークライト,スモールライト
アニメ『アイカツ!』の「アイ」はアイドルの略ですが、「カツ」は何の略 ?,アニメゲーム,活躍,活動,活発,活用,活動
ホルモン焼き屋の娘・チエを主人公とする、はるき悦呈の漫画は何 ?,アニメゲーム,クレヨンしんちゃん,嫌信ものがたり,かりあげクン,じゃりン子チエ,じゃりン子チエ
火野毅人の漫画『たくのみ。」』の題材となっているものは次のうちどれ?,アニメゲーム,お洒,野球,映画,温泉,お洒
原哲夫の漫画『蒼天の挙」は、何という漫画作品の過去を描いたもの ?,アニメゲーム,キャプテン代,北斗の挙,ジョジョの奇妙な冒険,里闘士星矢,北斗の挙
目黒三吉の漫画『こころ オブ・ザ・デッド』の物語のベースとなっているのは誰の小説 ?,アニメゲーム,川端康成,夏目激石,太宰冶,借川龍之介,夏目激石
ゲーム 『ロックマン3』の敵キャラで、次のうち、強力な磁力を操るのはとどれ?,アニメゲーム,マグネットマン,スパークマン,ハードマン,ジェミニマン,マグネットマン
アニメ『アルプスの少女ハイジ」で、ハイジは、自分を含めて何人で暮らしている ?,アニメゲーム,2人,5人,4人,3人,2人
アニメ『サザエさん』に登場する、磯野フネの夫の名前は何 ?,アニメゲーム,カツオ,マスオ,ノリスケ,波不,波不
任天堂のゲーム『スーパーマリオ』シリーズで、マリオとルイージの関係は何 ?,アニメゲーム,親子,親戚,他人,冗革,冗革
対戦格闘ゲームで、コンピュータが操作するキャラクターと戦う試合を何という3?,アニメゲーム,対BPU戦,対CPU戦,対APU戦,対DPU戦,対CPU戦
小学生の春野カスミが主人公のNHKのアニメは何 ?,アニメゲーム,ミタモン,カスミン,ヘナモン,ハルノン,カスミン
主人公の星野鉄郎と謎の美女メーテルの果てしない旅を描いた、松本零士原作のアニメは何 ?,アニメゲーム,銀河鉄道777,銀河鉄道999,銀河鉄道555,銀河鉄道888,銀河鉄道999
魔法株式会計のゲーム『甲子園」シリーズは、どんなスポーツのゲーム ?,アニメゲーム,弓道,柔道,野球,空手,野球
ゲーム『大乱闘スマッシュブラザーズ』を発売している会往はどこ ?,アニメゲーム,レベルファイブ,仕天室,コーエーテクモゲームス,スクウェア・エニックス,仕天室
『週刊少年ジャンプ』に連載されていたほったゆみと小畑健の囲基漫画は『何の基』 ?,アニメゲーム,マサルの基,ヒカルの基,アタルの基,シゲルの基,ヒカルの基
次の水島新司の漫画のうち、山田太郎が主人公であるのはどれ2?,アニメゲーム,ドカベン,野球狂の詩,あぶさん,学とどアホウ甲子園,ドカベン
小説『海底二万史』を原案とした、1990年放送のアニメ『ふしぎの海の*〇つ〇〇』。 〇の〇〇〇は何 ?,アニメゲーム,ジュリア,ナディア,リディア,ジェシカ,ナディア
アニメ『ゲゲゲの鬼太郎』に登場する悪行妖怪の親玉は次のうちどれ ?,アニメゲーム,一反もめん,ぬらりひょん,ぬりかべ,子泣きじじい,ぬらりひょん
前川たけしの漫画『鉄拳チテンミ』に登場するゴクウはどんな動物2,アニメゲーム,牛,獲,に,犬,に
ファミコンソフト『いっき』に登場する主人公の職業は何?,アニメゲーム,宙者,武士,農民,代,農民
漫画『おそ松くん』に登場するイヤミが自分のことを呼ぶときに使う呼ひび方は何 ?,アニメゲーム,ムー,"ーー
に ]
me",メー,マ 一,"ーー
に ]
me"
機動戦士ガンダムに登場する人型兵旭の正式名称は?,アニメゲーム,マンンスズスーツ,ミッションスーツ,モビルスーツ,マイクロスーツ,モビルスーツ
次のうち、ビリヤードを題材にした漫画はどれ ?      「,アニメゲーム,風のシルフィード,名門 ! 第三野球部,ブレイクショット,オフサイド,ブレイクショット
斉木久美子の漫画『かげきしょうじょ! で描かれているのは、次のうちとれ?,アニメゲーム,野球チーム,宇宙飛行士,歌劇団,テレビ局,歌劇団
漫画『天才バカボン』に登場する、バカボンの弟の名前は何ちゃん ?,アニメゲーム,はじめちゃん,しげるちゃん,まことちゃん,たけしちゃん,はじめちゃん
ひらのあゆの漫画『ラディカル・ホスピタル』の舞台となっている施設はのうちどれ?,アニメゲーム,警察,学校,消防署,病院,病院
「修羅の刻』 という外伝的作品がある、川原正敏の漫画は何 ?,アニメゲーム,鉄源チンミ,かくしごと,修羅の門,ましろのおと,修羅の門
