Q,Category,K1,K2,K3,K4,A
ゲーム 『テトリス』のBGMとしておなじみの『コロブチカ』ほは、どこの国の民詳 ?,芸能,ロンア,イギリス,オランダ,フフンス,ロンア
「モンパチ」の略称で呼ばれるバントは何?    ーー,芸能,MONKEY800,MONDAY800,MONSTER800,MONGOLS800,MONGOLS800
次の元SMAPのメンバーのうち、最も年上は誰 ?,芸能,稲垣吾郎,香取慎吾,中居正広,木村拓哉,中居正広
「旅立ちの日に』や『YELL』といえば、次のうちどの式でよく流される曲?,芸能,成人式,卒業式,結婚式,お葬式,卒業式
イラク戦争への詳しい取材で注目を浴びた、カタールの国際的な衛星放和送局はどこ ?,芸能,テレムンド,アルジャジーラ,ショウタイム,エボニーテレビ,アルジャジーラ
テレビや映画の撮影で失敗したときに出される 「NG」とは、何という言葉の略 ?,芸能,ノーグリーティング,ノーグッド,ノーゴール,ノーグレート,ノーグッド
受賞者にはオスカー像が与えられる、映画界の賞は何?,芸能,アオデミー賞,アカデミー賞,キイロデミー賞,クロデミー賞,アカデミー賞
富本剛、松本潤、亀梨和世、山田涼介がこれまでに演じた高校生名探偵二見ときと中: 拓。,芸能,金田一一,十津川警部,古畑任三郎,シャーロック・ホームズ,金田一一
NHKの番組『ガッテン! 』の前身番組のタイトルは何 ?  -,芸能,しかけてガッテン,やってみてガッテン,ためしてガッテン,いどんでガッテン,ためしてガッテン
ハマちゃん、スーさん、みち子さんなどの人物が登場する、釣り漫画を原作とする映画シリーズは何 ?,芸能,釣りバカ劇場,釣りバカ物語,釣りバカ日誌,釣りバカ川柳,釣りバカ日誌
テレビ番組『情熱大陸』(のテーマソングで知られるバイオリニストは上:壮4,芸能,葉加瀬太郎,高田万由子,高嶋ちさ子,森本大進,葉加瀬太郎
「春のうららの隅田川」という歌い出しで始まる、滝廉太郎作曲の唱歌は何 ?,芸能,海,虫のこえ,化,ーー月一日,化
ヒット曲。アリスは『狂った』、山口百屯は『青い』、サザンは『真夏の』。 共通して続く言葉は何 ?,芸能,果実,青春,"にーー
ジン""",少年,果実
TBSの番組『ゴロウ・〇〇〇』とフジテレビの番組『アウトx〇OO〇つつの〇つつのに共通する言葉は何 ?,芸能,スラックス,デラックス,リラックス,ボトックス,デラックス
内村光良と南原清隆からなるお笑いコンビは何 ?,芸能,キャイン,ウッチャンナンチャン,ココリコ,ダウンタウン,ウッチャンナンチャン
TBSの時代劇『水戸黄門』で初代・助さんを演じた、演歌歌手の仙代夏子を妻に持つ俳優は誰 ?,芸能,杉良太郎,柳良太郎,竹良太郎,松良太郎,杉良太郎
インターネットの生放送「ニコ生」。さずにいうと何 ?,芸能,ニコチン生放送,ニコポン生放送,ニコラス生放送,ニコニコ生放送,ニコニコ生放送
次のうち、高校を舞台とする学園ドラマはとれ?,芸能,GTO,BOSS,HERO,CHANGE,GTO
ドラマ『花より男子』シリーズで、主役の牧野つくし役を演じた女優は上:壮4,芸能,貫地谷しほり,加膝夏希,戸田恵梨香,井上真央,井上真央
地方を拠点に活動するアイドルを指す「ロコドル」とは「『〇〇の〇アイドル」   の略。  〇〇〇は何 2,芸能,ロック,ロコモティブ,ローカル,口ココ,ローカル
村本大輔と中川パラダイスから成る、吉本興業のお笑いコンビは〇で)〇ラッシュアワー。〇〇〇は ?,芸能,ウーマン,エーマン,イーマン,アーマン,イーマン
「キングオブコント2015」で優勝したお笑いコンビ、コロコロ〇〇〇ペッパーズ。〇〇〇は何 ?,芸能,ハキハキ,チキチキ,ムキムキ,ワキワウワキ,ムキムキ
お笑い芸人・劇団ひとりの妻でもある、女性タレントは誰 ?,芸能,藤本美貴,木下優樹楽,編田萌,大沢あかね,大沢あかね
"成島出監   図     の偽
監督の映画『ソロモ・証』の原作を書いた作家は誰 ?",芸能,沢城みゆき,中島みゆき,島居みゆき,品部みゆき,品部みゆき
舞台「放浪記』で、2017回にも渡って主演を務めた女優は誰 ?,芸能,樹木希林,条光子,膝山直美,高畑淳子,条光子
フリーアナウンサーの小島奈津子、ンーギン:8いときとと:ツガのテレビ局の局アナだった?,芸能,フジテレビ,テレビ東京,TBS,NHK,フジテレビ
『ギンギラギンにさりげなく』や『愚か者』 などのヒット曲がある歌手は誰 ?,芸能,吉川晃司,沖田浩之,,近藤真彦,近藤真彦
NHK連続テレビ小説 『ゲゲゲの女房』のヒロインのモデルとなった武良布枝は誰の妻 ?,芸能,水木しげる,尼子騒兵衛,やなせたかし,梶原一騎,水木しげる
館プロに所属する俳優、倍ひろし。「倍」は何と読む ?,芸能,あべ,たち,かまやつ,ねこ,たち
映画 『007』シリーズの主人公である、エージェントのコードネームは回角,芸能,ウィリアム・ボンド,ジェームズ・ボンド,チャールズ・ボンド,エドワード・ポボンド,ジェームズ・ボンド
楽器のトライアングルはどんな形をしている ?,芸能,星型,三角形,四角形,円,三角形
「グー ! 」のギャグで新語・流行語大賞も受賞した、女性お笑いタレントは誰 ?,芸能,イセ・はるみ,ムツ・はるみ,カガ・はるみ,エド・はるみ,エド・はるみ
フリーアナウンサーの綾子、女優の歩、俳優の英明に共通する名字は回角,芸能,伊藤,,谷口,氷井,伊藤
次のうち、スペイン生まれの民族舞中はどれ2?,芸能,フライングゲット,フラミンゴ,フフラメンコ,フランクフルト,フフラメンコ
タレントの柳沢、オリエンタルラジオの藤森、車いすテニス選手の国枝に共通する名前は何 2,芸能,"士五
士 口",大吾,慎吾,省吾,慎吾
桑田佳自がボーカルを務める日本のバンド、〇〇〇オールスターズ。〇CXうに入る言葉は何 ?,芸能,ノースズス,サザン,ウエスト,イースト,サザン
スポーツキャスターとしても活躍するタレント、有川下慈身。名前は何と読む ?,芸能,かわひらしげひで,せんだいやすとし,しょうへいちかえ,かびらじえい,かびらじえい
_ 『与作』や『まつり』などのヒット曲がある演歌歌手は誰 ?,芸能,北島三郎,五木ひろし,大川栄策,冠二郎,北島三郎
のにゴル キャエクルpきっ28半E さすれ 2?,芸能,三味線,バラライカ,ウクレレ,ボンゴ,ボンゴ
終電に乗り遅れた人を取材するテレビ東京の番組『〇OO〇O、ついて行ってイイですか?』。 の〇の〇〇は何 ?,芸能,家,駅,学校,会往,家
間コンビを構成するメンバーは、AV にき25幅W/,芸能,ボケ,バカ,アホ,ドジ,ボケ
『ギンギラギンにさりげなく』や『愚か者』 などのヒット曲がある歌手は誰 ?,芸能,沖田浩之,,近有藤真彦,吉川晃司,近有藤真彦
「ryuchell」 というパートナーとのコンビでバラエティ番組などに出演するモデテルは誰 ?,芸能,mico,niCO,DecOo,chico,DecOo
ヒット曲『恋の予感』 『!ワインレッドの心』などがある、玉置浩二がボーカルを務めるバンドは何 ?,芸能,安全地帯,,駐車禁止,一方通行,安全地帯
ベートーベンが憧れの女性を想って作曲したピアノ曲 『〇〇〇のために』。〇〇〇に入る名前は何 ?,芸能,ローラフ,エリーゼ,エミリー,ジェシカ,エリーゼ
ふてぶてしい猫の「ふてニャン」といえば、どこの携帯電話会往のCMキャラクター ?,芸能,P!mobile,FImobile,YImobile,K!mobile,YImobile
次のうち、普通、叩いて音を出す楽る語はどれ2?,芸能,オカリナ,タンバリン,ハーモニカ,ハープ,タンバリン
映画『インデペンデンス・デイ』で人々を襲うのは何 ?,芸能,"基音
い 思",宇宙人,サメ,ソゾンビピ,宇宙人
次のうち、「四重唱」や「四重奏」を意味する言葉はどれ ?,芸能,トリオ,ソロ,デュエット,カルテット,トリオ
これまでに反町隆史とEXILEのAKIRAが主人公の鬼塚英吉を演じた、フジテレビのドラマは何,芸能,WHO,PKO,GTO,TPO,GTO
お笑いコンビ・スピードワゴンの井Fと田潤のネタ「〇O〇OO〇O〇〇師匠」。 て志〇つつ〇は何 ?,芸能,オムライス,ハンバーグ,チナチャーハン,エビフライ,ハンバーグ
楽曲『ドレミのうた』の歌詞に登場する楽器は何?,芸能,ファゴット,ドラム,ラッパ,シンバル,ラッパ
ファンのことを 「!魚民」と呼ぶバントは何 ?                 -,芸能,flumpool,サカナクション,KEYTALK,ヤバイTイシャツ屋さん,サカナクション
TBSの番組『サンデージャポン』でMを務めているお笑いコンビは何 ?,芸能,爆笑問題,キャインン,ナインティナイン,くりいむしちゅ一,爆笑問題
石川さゆりのヒット曲『津軽海峡・〇景色 Oo 〇は何 ?,芸能,夏,秋,冬,春,冬
主人公の江戸幕府将軍・徳川吉宗を松在健が演じた、テレビ朝日で放送された時代劇シリーズは何 ?,芸能,おくりん坊将軍,さかん坊将軍,暴れん坊将軍,甘えん坊将軍,暴れん坊将軍
ザ・ビー トルズのメンバー、  ジョヨーン・レノンの妻としても知られる芸術表は誰 ?,芸能,ナオミ・キャンベル,オノ・ヨーコ,レディー・ガガ,アグネス・チャン,オノ・ヨーコ
クイズ番組『くりいむクイズ ミラクル9』で司会を務める、くりいぃいむしちゅーのメンバーは誰 ?,芸能,高橋茂雄,渡部建,上田普也,中田敦彦,上田普也
歌手・タレントのDAIGOの租父にあたる、元内閣総理大臣は誰 ?,芸能,竹下登,中連根康弘,細川護蝶,海部俊樹,竹下登
芸人、有吉弘行がかつて組んでいたお笑いコンビの名前は何 ?,芸能,豚岩石,鶏岩石,狂岩石,犬岩石,狂岩石
パトリック・ハーランと吉田眞からなるお笑いコンビは何?,芸能,パッサママッサマ,パックンマックン,パッサンマッサン,パッチャンマッチャン,パックンマックン
ゴールデンボンバーのドラム、構美酒研二。何と読む ?,芸能,たるみさけけんじ,だるびっしゅけんじ,た一るみびしゅけんじ,たるみっしゅけんじ,だるびっしゅけんじ
超能力者のユリ・ゲラーが念力でよく 曲げけていたことで知られる道具は回角,芸能,ペットボトル,歯ブラシ,ボールペン,スプーン,スプーン
娘に女優の石橋穂力香、元妻に女優の鈴木保奈美を持つ、とんねるずの0アプムにとで: 才^,芸能,松本人志,大竹まこと,内村光良,石橋貴明,石橋貴明
お笑いコンビ・さまぁてずのメンパバーは、大竹一樹と誰 2,芸能,内村光良,山根恨顕,岡村隆史,三村マサカズ,三村マサカズ
石原裕次郎演じるボスを中心とする七曲警察者の刑事たちを描いたドラマは何 ?,芸能,地球にほえろ!,月にほえろ!,海にほえろ!,太陽にほえろ!,太陽にほえろ!
「日本中のお母さんに贈る」をテーマに女性歌手・Alが歌った、メッセージソングは何 ?,芸能,ムスメへヘへ,ママへ,ムスコへヘへ,パパへヘへ,ママへ
歌舞伎で、恋愛関係にある男女が、無理矢理、縁を切る場面を何という?,芸能,愛情注ぎ,愛着湧き,愛尋振りまき,愛想尽かし,愛想尽かし
ビピエロの道化芸や、空中ブランコなどの曲芸で構成される見世物のことを何という ?,芸能,コンサート,サーカス,オペラ,ミュージカル,サーカス
山崎静代と山里宮太からなるお笑いコンビは何 ?,芸能,東京ダイナマイト,生成ノブシンコブシ,藤崎マーケット,南海キャンディーズ,南海キャンディーズ
「でんでんばっしょん』などの楽曲を歌うアイドルグループは何 ?,芸能,でんば組.html,でんば組.inc,でんば組jp,でんば組.com,でんば組.inc
ドラマ 『女王の教室』や『BOSS』などに主演した、元タカラジェンヌの女優は誰?,芸能,天海太希,次月あさと,真矢ミキ,歴乃佳世,天海太希
NHK大河ドラマ『真田丸』の脚本を手がけた脚本家は誰2?,芸能,三谷幸癌,二谷幸喜,四谷幸宮,一谷幸斉,三谷幸癌
ドラマ『ROOKIES』の主題歌として使用された、GReeeeNのシングルは回角,芸能,キセキ,奇跡,KISEKI,させさ,キセキ
代表曲に『月光』【『流星群』」などがある、宮崎県出身のシンガーソングライターは誰 ?,芸能,鬼束ちひろ,デーモン小暮閣下,鬼龍院欧,鬼頭真也,鬼束ちひろ
クイズ番組『くりいむクイズミラクル9』で司会を務めるお笑いタレントは誰 ?,芸能,加藤浩次,,上田普也,今田耕司,上田普也
TBSとWOWOWが共同制作した、進坊の警察小説シリーズを原作とするドラマは何 ?,芸能,SAGI,TAKA,MOZU,HATO,MOZU
本空も飛べるはず』『チェリー』 で知られる日本の4人組バンドは何 ?,芸能,コブクロ,スピッツ,スキマスイッチ,ケツメイシン,スピッツ
ドラマ『ガリレオ』シリーズの劇場版第2作目は『真夏の〇OO〇』。〇)〇つつは ?,芸能,放物線,黄金比,方程式,年方根,方程式
『ラブ・ストーリーは突然に」などのヒット曲で知られるシンガーソングライターは誰 ?,芸能,小田和正,玉置浩二,徳永英明,井上陽水,小田和正
略称を「ワロタ」という、AKB48の派生ユニットは何 ?,芸能,ノースリーブス,乃木坂46,大人AKB48,渡り廊下走り際7,渡り廊下走り際7
シングル「『PERFECT HUMAN」』でブレしLイクした、オリエンタルラジオが率いるグループは何 ?,芸能,RADIO BEEF,RADIO CHICKEN,RADIO PORK,RADIO FISH,RADIO FISH
設楽統と日村田紀のお笑いコンビは何 ?          「,芸能,チェリーマン,オレンジマン,バナナマン,マンゴーマン,バナナマン
次のうち、ピンクレディーのヒット曲ではないものはどれ2?,芸能,ペッパー警部,UFO,サウスポー,狙いうち,狙いうち
ドラマ『愛していると言ってくれ』などに主演した、「トヨエツ」の愛称でおなじみの俳優は誰 ?,芸能,豊村悦司,豊田悦司,豊川悦司,豊島悦司,豊川悦司
映画『インディ・ジョーンズ』シリーズの主人公インディアナ・ジョーンズの職業は何 ?,芸能,,兵際,殺し屋,考古学者,考古学者
歌舞伝俳優・勘九郎、七之助、獅童と2にコちゃ円肝?,芸能,小林,加藤,中村,吉田,中村
番組『ぐるぐるナインティナイン』に登場する、若手お笑い芸人が住むという設定のアパートは何 ?,芸能,わいわい荘,おもしろ荘,みせあい半,たのしめ荘,おもしろ荘
次のうち、殺交楽器でないのはどれ 2?,芸能,ハープシコード,ピアノ,オルガン,ギター,ギター
徳永英明のヒット曲『壊れかけの^)〇つつ〇』。O〇O〇〇は何 ?,芸能,TV,Video,Movie,Radio,Radio
「絶対に訴えてやる ! 」のフレーズでおなじみの日本テレビの法律番組は『何のできる法律相談所』 ?,芸能,行列,訴訟,依頼,勝訴,行列
芳根京子がヒロインを演じたNHK連続テレビ小説は何 ?,芸能,でこびんさん,ぜっぴんさん,すっぴんさん,べっぴんさん,べっぴんさん
お笑いコンビ・千原兄擬のツッコミで、十原ジュニアの兄にあたるのは誰 ?,芸能,千原そうじ,千原せいじ,千原こうじ,千原けいじ,千原せいじ
次のうち、オリエンタルラジオがRADIO FISHのメンバーとして歌ったリルレダパレペン4たすず2ル明2,芸能,PERFECT FISH,PERFECT INSECT,PERFECT BIRD,PERFECT HUMAN,PERFECT HUMAN
米米CLUBのボーカル・カールスモーキー石井の本名は何 ?,芸能,石井和也,石井卓也,石井哲也,石井竜也,石井竜也
歌の中で最も盛り上がる部分を何といつ ?,芸能,サビ,ワビ,ナビ,カビ,サビ
よくマイケル・ムーアや角野卓造と間違えられる、お笑いコンビ・ハリセンボンのツッコミは誰 ?,芸能,隅田美保,大久保佳代子,,近藤春楽,隅田美保
かつて横山やすしとともに漫才コンビを組んでいたお笑いタレントは上:壮4,芸能,西川さよし,西川貴教,西川史子,西川光一,西川史子
2時間ドラマに多数出演することで知られる女優の山村紅葉。「紅葉」のおザンタョた(jpまきっす 朋/,芸能,もみじ,べにば,くれは,こうよう,もみじ
結婚式でよく歌われる「乾杯」 は誰のJiiiP人,芸能,山根康広,長渕剛,有藤井フミヤ,"安
至奈美恵",長渕剛
料理番組『キユーピー3分クッキング』のテーマソングとして知られる、イエッセルの曲は何 ?,芸能,おもちゃの兵際のタンゴ,おもちゃの兵隊のワルツ,おもちゃの兵隊のソナタ,おもちゃの兵隊のマーチ,おもちゃの兵隊のマーチ
間楽で、楽問の音の高さを合わせることを何という2,芸能,ゾーニング,トレーニング,ラーニング,チューニング,チューニング
ドラマ!『リーガル・ハイ』の主人公・古美門研介の職業は何?,芸能,検事,刑事,政治家,弁護士,弁護士
ABBAのヒットソングが歌われる、劇回IEミクた oskアタール 間の!人の)の諾ご ーアロ  Oo  〇〇〇は 2,芸能,ラフンマ,コンマ,マンマ,サンマ,マンマ
「オールスター感謝祭』のマラソンで活躍する、松竹芸能のタレントは〇つ〇〇健児。〇の〇〇は ?,芸能,桜脱,林脇,森脇,松脇,森脇
日曜日の昼に放送される長寿番組は「『何さんいらっしゃい!』 2?,芸能,新婚,学生,芸人,成人,新婚
落語を演じるときは「春風こえむ」と名乗る、女王様キャラでブレイクした芸人は誰 ?,芸能,にしおかすみこ,さきたおかすみこ,みなみおかすみこ,ひがしおかすみこ,にしおかすみこ
「スシ食いねエ!』がヒットした、ヤッくん、モッくん、フッくんの3人によるアイドルグループは何 ?,芸能,ナマがき際,シブがき際,フデがき際,ホシがき際,シブがき際
日本武道館、チャリTイシャツ、マラソンから連想される、日本テレビの番組は何?,芸能,ミュージックフェア,突点,所さんの目がテン !,24時間テレビ,24時間テレビ
犬のタロ・ジロロと、越冬際員が再会する実話を元に作られた、大原慌緒MEIたる円2,芸能,南米物語,南国物語,南北物語,南極物語,南極物語
ビートルズのメンバーは、ポール・マッカートニー、ジョージ・ハリスン、リンゴ・スターと誰 ?,芸能,ジョン・レノン,エルトン・ジョン,ミック・ジャガー,ビリー・ジョエル,ジョン・レノン
アイドルグループ・樺坂46の「酔」に何と読む ?,芸能,ひのきさ,けやき,すみれ,つつじ,けやき
お笑いコンビ、ミルクボーイの内海の髪型は次のうちどれ?   「,芸能,リーゼント,角刈り,モヒカン,丸坊主,角刈り
「だ一りお」という愛称で呼ばれるのは誰2       -,芸能,佐藤茶里,内田理央,市川紗柳,飯豊まりえ,内田理央
次のうち、きゃりーばみゅばみゅのヒット曲はどれ3?,芸能,つけまつける,つけばつける,つけめつける,つけけげけつける,つけまつける
ゲームにもなった、スペインを舞台とするジャッキー・チェンの映画はとれ?,芸能,スパルタンV,スパルタンY,スパルタンX,スパルタンZ,スパルタンX
モデル・タレントとして活動する、泉、星姉妹の名字は何 ?,芸能,原,岡,株,谷,株
ドラマ 『過保護のカホコ』で主人公るを演じた女優は誰 ?   -,芸能,有人村栄純,土屋太鳳,高畑充希,本田工,高畑充希
2021年放送のNHK大河ドラマ 」青天?衝け』 の主人公として描かれた歴史の人物は誰 ?,芸能,"ーーーマ  ニ  ーニヒビ
編沢識可",岩崎弥太郎,内村鑑三,渋沢宋一,渋沢宋一
瑛人の曲『香水』に登場する香水は、どこのブランドのもの ?,芸能,ロクシタン,ティファニー,ラルチザン パフューム,ドルチェ&ガッパーナ,ドルチェ&ガッパーナ
フリーアナウンサーの加藤綾子がかって勤務していたテレビ局はどこ ?,芸能,フジテレビ,テレビ朝日,テレビ東京,日本テレビ,フジテレビ
「火サプ』の略称で呼ばれる日本テレビの番組『〇〇サプライズ』。〇)つつは何 ?,芸能,火山,火花,火曜,火星,火曜
日本テレビの番組『プラチナイト』の放送開始時刻は次のうちどれ?,芸能,昼12時29分,深夜23時59分,夕方6時59分,朝6時29分,深夜23時59分
次のうち、演劇の始まりを意味する言葉はどれ?,芸能,自演,,開演,独演,開演
田村裕がかつて経験した極貧生活について弘った著書は、『ホームレス〇つ〇〇』。 のの〇は ?,芸能,大学生,小学生,高校生,中学生,中学生
次のうち、お笑いコンビ・明男男のひぐち君の一発ギャグはどれ?,芸能,ひぐちビーム,ひぐちウィング,ひぐちアロー,ひぐちカッター,ひぐちカッター
「体モノマネ」が人気を呼んでいる、秋山竜次、山本博、馬場裕之のお笑いトリオは何 ?,芸能,サンドウィッチマン,ロバート,インパルス,森三中,ロバート
日本テレビの番組『ヒルナンデス! 』のマスコットキャラクターはとれ?,芸能,セルバンテスくん,ファルコンデスくん,フェルナンデスくん,ペルナンデスくん,ファルコンデスくん
テレビ朝日の刑事ドラマ 『!遺留捜査』 シリーズで、主人公の糸村聡を演じている俳優は誰 ?,芸能,下川隆也,上川隆也,外川隆也,内川隆也,上川隆也
ビートルズ、大きな玉ねぎの下で、24時間テレビ。 これらから連想される施設は何 ?,芸能,日比谷公会党,日本武道館,東京ビッグサイト,東京ドーム,日本武道館
シングル『home』でデビューした、アメリカ出身の歌手は誰 ?,芸能,クリス・クローバー,クリス・スペード,クリス・ダイヤ,クリス・ハート,クリス・ハート
ヒット曲で、岩崎宏美の『ハネムーン』と松任谷由実の『エクスプレス』の前に共通してつく言葉は何 ?,芸能,シンデレラ,人魚姫,おやゆび姫,白雪姫,シンデレラ
『LISTEN MY HEART』などのヒット曲がある、韓国出身の歌手は誰 ?,芸能,AoB,CoB,DoB,BoA,BoA
ヒロインのヴィオレッタと青年貴族アルフレードの悲恋を描いた、ヴェルディ作曲のオペラは何 ?,芸能,桜姫,移姫,椿姫,梅姫,椿姫
日本テレビのドラマ『金田一少年の事件薄』で、4代目・金田一一を演じた俳優・タレントは護 ?,芸能,山田涼介,中島健人,玉森裕太,郊戸完,山田涼介
グランド、アップライトなどの種類がある鍵盤楽器は何 ?,芸能,ビピアノ,クラリネット,ハープ,カスタネット,ビピアノ
映画 !世界の中心で、愛をさけぶ」の主題歌となった諭丼堅のシングルは何 ?,芸能,上暗をとじて,僕は君に恋をする,大きな古時計,POP STAR,上暗をとじて
ベートーヴェンの『アテネの廃坊』とモーツァルトの『ピアノソナタ第11番」にある同名の曲は何 ?,芸能,レバノン協奏曲,トルコ行進曲,エジプト狂詩曲,イスラエル交響曲,トルコ行進曲
CMにも使われた『青春と一瞬』とい曲でも知られるバンド、〇OO〇OO〇〇えんびつ。〇の〇〇〇は何 ?,芸能,グラタン,ラザニア,マカロニ,パエリヤ,マカロニ
メンバーの田辺智加による「まあねぇて」のフレーズでも人気の吉本興業所属のお笑いグループは何 ?,芸能,ぼる塾,森三中,ガンバレルーヤ,3時のヒロイン,ぼる塾
歌手・奥田民生がボーカルを務めているバンドは何 ?,芸能,スピッツ,ウルフルズ,UNICORN,エレファントカシマシ,UNICORN
24 昨半あらとると6間ニレきGRうとどんな歌のこと 2,芸能,主題歌,子守歌,,挿入歌,子守歌
フリーアナウンサーの高島条の夫・北川悠仁が所属する音楽デュオは回角,芸能,さんかん,らいむ,かぼす,ゆず,ゆず
「ワイルドだろて」 という決めゼリフでおなじみのお笑い芸人は誰 ?,芸能,ウメちゃん,マツちゃん,スギちゃん,キリちゃん,スギちゃん
演劇用語で、新しく結成した劇団が最初に行う公演を何という?2,芸能,凪揚げ公演,旗揚げ公演,竿揚げ公演,棟揚げ公演,旗揚げ公演
次のうち、高橋英樹主演でドラマ化もされた山手樹一郎の戯曲は何 ?,芸能,桃太郎侍,清島太郎侍,ー寸法師侍,金太郎侍,桃太郎侍
ドラマ 『嗣る大捜査線』のスピンオフ映画『容疑者 つ〇OO』。O〇〇〇は何 ?,芸能,新城賢太郎,皿田すみれ,木島丈一朗,至井慎次,至井慎次
主人公ジャマールがクイズ番組で勝ち進む姿を描いた映画といえは、「スラムドッグ$何』 ?,芸能,ミリオネア,ジェパディ,ウィーケストリンク,ホールドオン,ミリオネア
「花屋の店先に並んだいろんな花をみていた」という歌い出しで始まる、SMAPのヒット曲は何 ?,芸能,らいおんハート,世界に一つだけの花,夜空ノムコウ,セロリ,世界に一つだけの花
お笑いコンビ、とんねるずの2人の出身校は何高校 ?,芸能,帝京高校,,国見高校,東海高校,帝京高校
ヒット曲『おどるポンポコリン』の歌詞で、「えらい人」と歌われていとビジ志す : 所,芸能,エジソン,ナポレオン,リンカーン,ナイチンゲール,エジソン
次のお笑いグループのうち、トリオはどれ2?,芸能,ネプチューン,くりいむしちゅ一,ダウンタウン,さまぁーず,ネプチューン
篠原涼子が男勝りの警部補・雪不夏見を演じたフジテレビのドラマは回角,芸能,ハンチョウ,ガリレオ,アンフェア,ケイゾク,ハンチョウ
「強い意志」という意味の名前を持つ、『そばにいるね』などのヒット曲で知られる歌手は誰 ?,芸能,青山テルマ,木村カエラ,土屋アンナ,加藤ミリヤ,青山テルマ
テレビ朝日のドラマ『相棒』 で、六角精児が演じる錯識課の刑事の名前は何 ?,芸能,豆沢守,米沢守,麦沢守,芋沢守,米沢守
「夢の中へ』や「『少年時代』などのヒット曲で知られるシンガーソングライターは誰 ?,芸能,吉田拓郎,井上陽水,玉置浩二,奥田民生,井上陽水
テレビ番組 リテラスハウス』に出演した、「み一こ」の愛称で親しまれるタレントは誰 ?,芸能,見美和子,永谷真絵,竹内桃子,下澤遼子,見美和子
矢口史靖監督の映画 『ハッピビーフライト』で、綾瀬はるかが演じたヒロインの職業は何 ?,芸能,ナース,キャビンアテンダント,尼,巫女,キャビンアテンダント
代表曲に『小さな恋のうた』『あなたに』などがある、沖縄出身のロックバンドは何 ?,芸能,モンゴル80,モンゴル8000,モンゴル80000,モンゴル800,モンゴル800
高瀬鎮夫が翻訳した、映画『カサブランカ』の有名な台詞といえば「君の何に乾杯」 ?,芸能,瞳,眉,額,結,瞳
次のうち、沖縄出身ではないのは誰?,芸能,具志堅用高,ゴリ,斑山雅冶,仲間由紀恵,斑山雅冶
次のうち、歌手・華原朋美の愛称はどれ?,芸能,とも殿,ともちゃん,とも女史,とも氏,ともちゃん
元アイドル歌手・南沙織の夫であり、タレント・篠山輝信の父でもある、写真家は誰 ?,芸能,篠山明信,篠山広信,篠山高信,篠山紀信,篠山紀信
"『ここいいるよ』のアンサーソングである青山テル
しマの曲は、『〇
(CX)にいるね』。〇〇〇は ?",芸能,うどん,らーめん,そば,そうめん,そば
次のうち、日本テレビのドラマ「『家政婦のミタ』から生まれた流行語はとれ?,芸能,承知しました,私、和失敗しないので,じぇえじえじえぇ,倍返しだ !,承知しました
「クドカン」の愛称でおなじみの脚本家・宮藤官九郎の「宮藤」は何と読む ?,芸能,さゆゅゆうどう,くどう,みやふ じ,みやとう,くどう
本名を「杉本高文」というお笑い芸人は誰 ?      ーー,芸能,井出らっきょ,坂田としお,志村けん,明石家さんま,明石家さんま
タレントとして活躍する、お笑い芸人・明石家さんまの娘は誰 ?,芸能,IMALU,misono,高橋真麻,里田まい,IMALU
本名を武本小夜という、『渡る世間は上鬼ばかり』で知られる女優は誰 ?,芸能,泉ビピン子,泉パン子,泉ペン子,泉ポン子,泉ビピン子
"MEミル
る少女じ
*じゃいられんた
よい
「赤心』『トラブルメイカー』などの代表曲がある女性歌手は誰 ?",芸能,相川八瀬,相川五瀬,相川六瀬,相川七瀬,相川七瀬
女優・土屋太鳳の「太鳳」の読み方に円時,芸能,たみ,たえ,たお,たか,たお
かつてのドラマ『家政婦は見た !』で、主人公の石崎秋子役を演じた女優は誰 ?,芸能,山村紅葉,中村玉緒,市原悦子,かたせ梨乃,市原悦子
テレビ番組 『有吉ジャポンI| ジロジ口有吉』でMCを務めるお笑いタレントは誰 ?,芸能,土田晃之,有吉弘行,劇団ひとり,上島竜兵,有吉弘行
甲子園の応援曲としても知られた喜納昌吉&チャンプルーズの曲は『〇〇つつおじさん』。 の〇の〇〇は ?,芸能,ハイサイ,イハイサ,サイハイ,イサイハ,ハイサイ
次のうち、カスタネットなどでリズムをとる、スペインの民族舞踊はどれ?,芸能,ビピエロ,オセロ,アポロ,ボレロ,ボレロ
「ワイド」 「MAX」「大 ! 」などのシリーズがある、NHKEテレで夕方に放送されている番組は何 ?,芸能,秀才てれびくん,天才てれびくん,凡才てれびくん,鬼才てれびくん,天才てれびくん
テレビの「チャンネル」のことを、アルファベット2文字で何と表記する ?,芸能,ch,CV,【y,th,ch
音楽の演奏記号で、「強く」を意味するのは何 ?    ーー,芸能,ブルース,フォルナテ,ワイリー,ライト,フォルナテ
「ドリカム」と略される音楽グループは何?2,芸能,DREAMS COME TODAY,DREAMS COME HERE,DREAMS COME NOW,DREAMS COME TRUE,DREAMS COME TRUE
「あるある探検際」などのネタでおなじみの、西川晃盛と松本康太からなるお笑いコンビは何 ?,芸能,ユージュアリー,レア,オールウェイズ,レギュラー,レギュラー
子ども服ブランドの企画やブログ執筆で知られる、元モーニング娘。のママタレントといえば誰 ?,芸能,高橋愛,辻希美,矢口真理,加護亜依,辻希美
