lpのリッルレ4還あらとると8時2 の都道府県にある市 ?,文系,山梨県,沖縄県,北海道,大阪府,山梨県
「隅州」とも呼ばれる旧国名は何 ?,文系,大隅国,肥後国,陸摩国,日向国,大隅国
無償で行われる祉会事業など、奉仕活動に積極的に参加する人のことを何という3?,文系,パルティア,ボランティア,フロンティア,オリエンティア,ボランティア
「州」とも呼ばれる旧国名は何 ?,文系,摂津国,大和国,和泉国,河内国,摂津国
ルイス・キャロルの小説で、「不思議の国」や「鏡の国」を冒険した少2るのと|:たる円有,文系,アリス,アリエル,エルサ,オーロラ,アリス
ことわざ「男は度胸、女は〇〇」。CXうに入る言葉は何 ?,文系,示教,勉強,愛婚,任依,愛婚
2月の節分に豆を投げつける相手は誰?,文系,悪徳政治家,ぐ一たら享主,下看泥棒,鬼,鬼
「脱サラ」の「サラ」は何の略 ?,文系,サラダ,サラマンダー,サラミ,サラリーマン,サラリーマン
次のうち、コスタリカやパナマなどの国がある地域はどれ?,文系,極東,北欧,中米,南極,中米
愛狂と妻を殺してしまった男の病的な心理を推理小説的な方法で描いた、ポボーの短編小説は何 ?,文系,黒犬,黒猫,黒毛和牛,妹豚,黒猫
北海道と本州の間にある海峡は何 ?,文系,関門海峡,寺谷海峡,,津軽海峡,津軽海峡
ルーブル美術館がある国はどこ ?,文系,イタリア,アメリカ,イギリス,フフンス,フフンス
東京国際空港があるのは東京都ですが、成田国際空港がある都道府県はとどこ?,文系,奈川県,千葉県,東京都,埼玉県,千葉県
次のうち、JR山手線にある駅名はどれ 2?,文系,算白,口白,目白,耳日,目白
日露戦争で日本と戦った国はどこ ?,文系,アメリカ,ロンア,イギリス,中国,ロンア
オセアニアにある国はどれ?,文系,中国,韓国,台湾,オーストラリア,オーストラリア
「目動車などの販売業者」と「トランプゲームの親」を共通して意味すとを:ちゃ 閉4,文系,トレーラー,ブローカー,サポーター,ディーラー,ディーラー
次の作家のうち、これまでに日本のお札に描かれたことがないのは誰 ?,文系,紫式部,代川龍之介,桶口一葉,夏目激石,代川龍之介
世界地理で、ジャワ、ボルネオ、与那国の後ろに共通してく言葉は何 ?,文系,島,山,川,海,島
「旧約聖書』にも描かれた、古代イスラエル統一王国の第2代の王は上:壮4,文系,ダビテ王,ダンカン圭,ダイム王,ダンテ土,ダンカン圭
日本にある2つの府は、大阪府とどこ 2?,文系,滋賀府,奈良府,京都府,兵庫府,京都府
プレート境界の中でも、プレート同士がすれ違う境界のことを何という?,文系,広がる境界,落ちる境界,岳まる境界,ずれる境界,広がる境界
1962年10月、ソ連の核ミサイル配備を巡り東西両陣営の緊張が極限まで高まった事件は何 ?,文系,キューバ危機,ジャマイカ危機,ハイチ危機,ドミニカ危機,キューバ危機
日本の道路標識で、シカやタヌキが描かれた標識の意味は何 ?,文系,一方通行,一時停止,速度制限,動物注意,動物注意
次のうち、関西に本部キャンパスを直く大学はどれ ?,文系,明治大学,慶応大学,同志往大学,青山学院大学,同志往大学
日本の国道1号線は、次のうち、どことどこを結んでいる ?,文系,東京と青森,北九州と鹿児島,大阪と北九州,東京と大阪,東京と大阪
アルファベットの最初の文字は何 ?,文系,A,X,Z,,A
瀬戸内海に浮かぶ島の分校に赴任した女性教師と、教え子たちとの交流を描いた、吉井栄の小説は何 ?,文系,四十八の瞳,七十二の瞳,九十六の睡,二十四の瞳,二十四の瞳
オオカミのガブとヤギのメイの友情を摺いた木村裕一の絵本 『(〈〇OO〇のよるに』。〇〇〇は何 ?,文系,かみなり,くもり,まんけげつ,あらし,あらし
京都を舞台にした小説を数多く残した、女優・山村紅葉の母である推理1M導0た用: 4,文系,山村貞子,山村記子,山村美和,山村美紗,山村美紗
ドロシー、エメラルドの都、ブリキの木こりから連想される、アメリカの児童文学作品は何 ?,文系,モモ,オズの腐法使い,星の土子さま,赤毛のアン,オズの腐法使い
医学で使われる「カルテ」や「アレルギー」といえば、元々、何語の言葉 ?,文系,ドイツ語,イタリア語,フランス語,身語,フランス語
久高島、竹富島、宮古島などの島がある都道府県はどこ ?,文系,長崎県,沖縄県,,和歌山県,沖縄県
ラテン語に由来する、ある事件が起こった時に他の場所にいたという証明を何という?,文系,アリバイ,バッタバイ,チョウバイ,ハチバイ,アリバイ
"『誰がために鐘は鳴る』」などが代表ゴムず| ""4にゴミようにJpあとメリカ人作家は誰 ?",文系,アイゼンハワー,レーガン,へミングウェイ,クリントン,へミングウェイ
次のうち、サイパン、グアム、ハワイといった島がある海はどこ3?,文系,地中海,太洋,大西洋,インド洋,太洋
あさのあつこの小説 『バッテリー』といえば、どんなスポーツを題材にした作品 ?,文系,野球,ホッケー,バスケットボール,サッカー,野球
日本語の文章で、文末を名詞や代名詞で終わらせて余韻を持たせる技法を何という ?,文系,遺言止め,用言止め,格言止め,体言止め,体言止め
アメリカの大統領で、第26代のセオドアと第32代のフランクリンに共通する名前は何 ?,文系,ルーズベルト,ジョンソン,ブッシュ,アダムズ,ルーズベルト
東京都にあった「交通博物館」を継承して開館した、交通機関をテーマとしたさいたま市の博物館は何 ?,文系,鉄道博物館,トラック博物館,タンカー博物館,ジェット機博物館,タンカー博物館
上EE3とも205』たさり時のAちた 5始まる、下安時代の代表的な随筆は回角,文系,枕晶子,源氏物語,和泉式部日記,十六夜日記,枕晶子
政府などの支配層ではなく、一般市民が集まって繰り広げる連動のことを何という ?,文系,草の根連動,矢の根運動,古の根運動,息の根運動,草の根連動
戦前に四大財閥と呼ばれた財閥は、三井財閥、三菱財閥、安田財閥と何財閥 ?,文系,本田財閥,日産財閥,住友財閥,豊田財閥,住友財閥
1849年にカリフォルニアで金鉱が見つかり、「ゴールドラッシュ」ガが起こった国はどこ?,文系,フフランス,イギリス,アメリカ,スペイン,アメリカ
次のうち、「教師になって生徒を教えること」を意味する言葉はどれ2?,文系,教材をとる,教生をとる,教室をとる,教鞭をとる,教鞭をとる
アルファベット3文字で「WHO」と曲される国際組織は何 ?   「,文系,世界質易機関,石油幸出国機構,国際通貨基金,世界保健機関,世界保健機関
「日国」と略される小学館発行の国語辞典は何 ?   ーー  _,文系,明鏡国語辞典,新明解国語辞典,広辞和,日本国語大辞典,日本国語大辞典
「くろ」 「ねこ」 「くろねこ」は、のpあ25 中月:剖信          」,文系,イタリア語,日本語,シュメール語,フランス語,日本語
環境省設置法に基づいて設置される中央省庁は何 ?,文系,中務省,式部省,治部省,環境省,環境省
東洋経済新報往が出版する企業情報誌が特に有名な、年に四回出版される雑誌は何?,文系,三季報,二季報,五季報,四季報,四季報
北海道や新潟県、東北地方などで生産が盛んな、日本人にとっての主食である穀物は何?,文系,ナン,パン,米,レーズンパン,米
次のうち、1ドルが100円から90円の価値になるときの状態を表す経済用語はどれ?,文系,円陣,円柱,円高,円満,円高
四国とほぼ同じ面積を持つ、中東の産油国はどこ?      ー,文系,クウェート,ニュージーランド,南極,ロンシア,クウェート
コミ【クアアん:コに! TE 0予アルレタンスの発泡ワインは?,文系,シャンパン,生焼酎,ビール,紹興酒,シャンパン
『注文の多い料理店』や『銀河鉄道の夜』といった作品を残した童話作さち: 痢4,文系,あさのあつこ,新美南吉,宮沢賢治,板鳩十,宮沢賢治
瀬戸内海に浮かぶ島・厳島の別名は「〇〇の宮島」。〇〇に入る旧国名は何 ?,文系,尾張,"ピコオキ
女云",加貨,土佐,"ピコオキ
女云"
太宰府市、貧紫野市、八女市などの市がある都道府県はどこ ?2,文系,忠岡県,高知県,,京都府,忠岡県
クレオパトラなどのように、他に並ぶ者がいないほど美しい女性のことを何という ?,文系,独立の美女,絶世の美女,異端の美女,陣高の美女,絶世の美女
次のうち、気持ちが憂うつな状態を意味する言葉はどれ 2?,文系,ブルー,レッド,グリーン,ホワイト,ブルー
吐会主義者のラサールが、政府の役割を最低限に留める自由主義国家を批玉して用いた言葉は何 ?,文系,昼警国家,晩敬国家,夜敬国家,朝警国家,夜敬国家
バーモント州、カリフォルニア州などの州がある国はどこ ?,文系,イタリア,ロシア連邦,アメリカ,ドイツ,アメリカ
マウナ・ケア、キラウエアといった火山がある島はどこ 2?,文系,イースター鳥,バリ島,タスマニア島,ハワイ島,ハワイ島
「龍馬空港」という愛称で呼ばれる空港がある県はどこ?2,文系,高知県,富山県,鳥取県,熊本県,高知県
意気込みが激しいことを、「何が荒い」という ?        ー,文系,歯ぎしり,口笛,"鼻 人
ーーディにい",まばたき,"鼻 人
ーーディにい"
「レンタサイクル」といえば、貸出される乗り物は何 ?,文系,自転車,戦車,電車,自動車,自転車
_。 サリンジャーの小説『O〇〇畑でつかまえて』の〇〇〇は何 ?,文系,大麦,ライ麦,中麦,小麦,ライ麦
かつて「ビルマ」と呼ばれたアジアの国はどこ?,文系,中国,ミヤャヤンマー,日本,インドネシア,ミヤャヤンマー
次のうち、アフリカのナイル川流域で発達した古代文明はどれ ?,文系,インカ文明,アンデス文明,エジプト文明,ローマ文明,エジプト文明
「人民元」といえば、どこの国の通貨 ?,文系,ブラジル,中国,エジプト,オーストラリア,中国
大阪府、京都府、兵庫県など、2府5県から構成される地方はどこ ?,文系,東北地方,近畿地方,四国地方,関東地方,近畿地方
アルン 環有49は2にコりヒコりy有で怠け者は誰?,文系,天下り役人,ニート,キリギリス,公務員,キリギリス
豊臣秀吉の軍師で、竹中邊兵衛と共に「両兵衛」と称されたのは誰 ?,文系,母里太兵衛,黒田官兵衛,中川瀬兵衛,後藤又兵衛,黒田官兵衛
日本国憲法で、「戦争の放棄」を示kdAとYの】たくロ人      ーー,文系,9条,18条,4条,22条,9条
イソップ童話の『すっぱいブドウ』で、ブドウをすっぱいと決めつけたレクたる円4,文系,クマ,タヌキ,ウサギ,キツネ,キツネ
第二次世界大戦末期に看護要員として動員された「ひめゆり部際」は、どこの県の女子生徒 ?,文系,沖縄県,長崎県,広島県,編島県,沖縄県
何も記入せずに投票した票のことをある色を使って何という ?,文系,"宇 本
月 示","に:
小寺","妹桂
いババプンJで","日票
っで","日票
っで"
井上靖の小説『蒼き狼』にその生涯が描かれている、モンゴル帝国の初代皇席は誰 ?,文系,チンギス・ハーン,フビライ・ハーン,オゴタイ・ハーン,ラフカディオ・ハーン,チンギス・ハーン
第二次大戦後に都市に形成された、正規ルートを経由していない品物を売る店が集まった場所は何 ?,文系,関市,闇市,問市,間市,闇市
次のうち、「あることを誇りに思っていること」を指す慣用句はどれ ?,文系,上が高い,"頭が高
頭が高い",笑が太い,自が長い,上が高い
「赤十字往」といえば、次のうちどんなことに関わる機関 ?,文系,医療や衛生,農業や食料,財政や金融,文化や教育,医療や衛生
1582年に「グレゴリオ暦」を制定したローマ教皇は誰 ?  - 「,文系,グレゴリウス333世,グレゴリウス133世,グレゴリウス33世,グレゴリウス13世,グレゴリウス13世
慶良間諸島国立公園や西表石垣国立公園がある都道府県はどこ ?,文系,東京都,沖縄県,"圭
表森県",大阪府,沖縄県
次のうち、「当事者以外の人」を意味する言葉はどれ?    」,文系,第一者,第四者,第三者,第二者,第三者
中華料理の麻婆豆腐の発洋地である、中国の省はどこ3?3,文系,一川省,四川省,二川省,三川省,四川省
レストランやナイトクラブなどが集中する繁華街である、東京都港区中部の町は何 ?,文系,五本木,導本木,二本木,八本木,導本木
少女のハイジやクララが登場する、シュピーリの小説は何 ?,文系,ヒマラヤの少女,アルプスの少女,アンデスの少女,ロッキーの少女,アルプスの少女
。 ことわざ「〇O〇の〇の〇を転じて編と為す」。 の〇〇〇は何 ?,文系,さいわい,わざわい,あじわい,にぎわい,わざわい
歴代内閣総理大臣の「一郎」と「由ES:ま<とンにとく貴有2,文系,鳩山,小泉,貴田,麻生,鳩山
次のうち、最も北にある島はどれ ?,文系,樺太島,種子島,宮古島,淡路島,樺太島
生活に困路する国民に対し、最低限必要な保護を国が行うことを定めた法律を何という ?,文系,民事訴訟法,著作権法,生活保護法,刑事訴訟法,生活保護法
多くの宗教で聖地とされている、イスラエルが首都と主張する都市はどご2,文系,エルサレム,ベイルート,テヘラン,リヤド,エルサレム
「久しぶりにいいおしめりになった」などという時の「おしめり」が指す天気は何 ?,文系,"NN|
十",快晴,曇り,晴れ,快晴
次のうち、アメリカの州の名前にあとでの)】ちたず2光中,文系,スターバックス,マクドナルド,ロッテリア,ケンタッキー,ケンタッキー
日本で「義務教育」を受けている学生といえば、小学生と何 ?,文系,幼稚園生,高校生,大学生,中学生,中学生
訪問者に対して謎掛けをすることで知られる、エジプトにある巨大彫刻のモデルになった怪物は何?,文系,スフィンクス,ヴィーナス,ラオコーン,ニケ,スフィンクス
吸血鬼の伯個とヘルシング教授の戦いを描いたストーカーの小説『吸血鬼の〇O〇』 。 のの〇の〇は何 ?,文系,ミイラ,フランケンシュタイン,ドラキュラ,ウェアウルフ,ドラキュラ
経済用語の「インフレ」を略さずにいうと何 ?     -,文系,インフレックス,インフレーション,インフレグランス,インフレーム,インフレーション
有名な早口言葉「生麦、生米」に続ヨゴちく中 時?       」,文系,生肉,生たまご,生電話,生兵法,生たまご
源頼政によって退治されたという伝説がある、振の顔、牌の体、虎の手足、蛇の尾を持つ怪物は何 ?,文系,ひえ,くえ,内で ズ,ぬえ,ぬえ
いさなり団子、スザンヌ、阿魅山から連想される都道府県はどこ ?2,文系,岡山県,埼玉県,熊本県,編井県,熊本県
次のうち、「世界保健機関」の略称はどれ ?        」,文系,WHO,WHEN,WHERE,WHY,WHO
農林水産者にある2つの外局は、水産庁と何?,文系,防衛庁,文化庁,林野庁,次富庁,林野庁
次のうち、「ユーロ」を通貨単位として導入している国はどこ ?,文系,フフランス,ブラジル,ロンア,アメリカ,フフランス
次のうち、はかなく消えやすいものに対する例えとして使われる言葉はとれ?,文系,うたかた,うたひろ,うたかい,うたたね,うたかた
ケニアの環境保護運動家であるワンガリ・マータイが特に愛し、世界に発信した日本語は何 ?,文系,もったいない,たあいない,おっかない,あじけない,もったいない
次のうち、清とイギリスの間で1840年に起こった戦争はどれ?2,文系,タバコ戦争,大麻戦争,アヘへン戦争,タラ戦争,アヘへン戦争
思わぬ収穫があるという意味のことわざ「棚から〇〇〇」 。 の〇の〇は回角,文系,あべかわもち,ほたもち,さなこもち,あんころもち,ほたもち
次のうち、ヨーロッパの言い伝えで「コウノトリが運んでくる」と言われるのはとれ?,文系,野朱,辛せ,お金,赤ちゃん,赤ちゃん
次のうち、妃沢識吉の著書はどれ ?,文系,ー握の砂,学問のすゝめ,小僧の王様,伊豆の踊子,学問のすゝめ
中国で「南海」と呼ばれている海域はどこ2?,文系,オホーツク海,南シナ海,北極海,大西洋,南シナ海
エチオピア高原、コンゴ盆地、アトラス山脈などがある大陸はどこ3?,文系,アフリカ大陸,南極大陸,北アメリカ大陸,オーストラリア大陸,アフリカ大陸
次のうち、「商品の在庫」を意味する言葉はどれ?    -,文系,ストップ,ストック,スリック,ステップ,ストック
日本利話に登場するヤマタノオロチは、8つの頭をもったどんな生き物 ?,文系,カメ,ヘビ,トカゲ,カラス,ヘビ
縁結びの紳様として有名な「出雲大吐」がある都道府県はどこ ?,文系,訪井県,口崎県,島根県,"呈る
愛既県",島根県
次のうち、四国地方を流れる川はどれ 2?,文系,信濃川,石狩川,利根川,四万十川,四万十川
「身検」や「漢栓」の「検」は何の略 ?,文系,検定,検事,検問,検査,検定
ちょんまげを落として刈り込んた髪形のことで、明治の文明開化の象徴Elの】た円半2,文系,リーゼント,ツインテール,丸刈り,ざんぎり頭,ざんぎり頭
とても仲が悪い2人のことを、ある動物を使って「何の仲」という?,文系,鳥猫の仲,席兎の仲,,犬猿の促,鳥猫の仲
一般道路に設置される、24時間使える駐車場やトイレがある運転者のための休憩施設のことを何という ?,文系,道の駅,人道の港,道の停留所,道の空港,道の駅
かつての江戸城の一部が用いられている、天皇陸下の居所を何という ?,文系,本居,鴨居,仲居,皇居,皇居
1878年に札幌農学校演武場として建設された、明治時代の代表的な洋風建築は何 ?,文系,帯広時計台,札幌時計台,旭川時計台,小樽時計台,札幌時計台
ふつう「湯加減」とは、何の熱さのこと?   -,文系,風呂,ストーブ,フーメン,コーヒー,風呂
地質学的に貴重な遺産を含む自然公園のことを特に何という ?,文系,フレンドパーク,ジオパーク,ボールパーク,テーマパーク,ジオパーク
蛇に例えて「うわばみ」といわれるのはどんな人 ?   -,文系,お金持ち,大酒飲み,太った人,うそつき,大酒飲み
小林一茶の有名な句「雀の子そこのけそこのけ〇〇〇が通る」 。〇〇〇は何 ?,文系,御豚,件牛,御壮,御 馬,御 馬
俗にウソをつくと「えんま大王に抜かれる」といわれる体の部分はどご2,文系,みみ,へそ,あご,した,した
次のうち、国旗に十字がデザインされている国はどれ?,文系,アメリカ,ブラジル,スウェーデン,フフンス,スウェーデン
いたずら好きのキツネと村人・兵十の悲しいすれ違いを描いた、新美南吉の童話は何?,文系,ごんぎつね,さんぎつね,ほんぎつね,ぜんぎつね,ごんぎつね
1582年に本能寺の変で死去した戦国武将は誰2,文系,今川義元,上杉謙信,織田信長,武田信玄,織田信長
日本で最も面積が大きい、滋賀県に存在する湖は何 2,文系,,諏訪湖,十和田湖,琵琶湖,琵琶湖
中国の兵法書に由来することわざ「三十六計〇つ〇〇にしかず」。〇〇つつは何 ?,文系,戦う,降参する,逃げる,胃切る,逃げる
寝るときに使う「タオルケット」は、「タオル」と何が合わさって出来た言葉 ?,文系,ルージュケット,ジョーヌケット,ブランケット,ノワールケット,ブランケット
"交通機関で「ダイヤが乱れる」というときの「ダイヤ」とは「ダイヤC"")〇つ〇」の申。〇〇〇は何 ?",文系,メートル,グラム,リットル,アール,グラム
次のうち、JR山手線にある駅はどれ 2?,文系,西日暮里,南日暮里,北日暮里,東日暮時,西日暮里
"保護貿易に対して、国家による介入が行わ
れ
ZN
い
\損易の
こと
を
何
と
いう?",文系,自由錦易,南密貿易,朱印船貿易,動合買易,南密貿易
小説 『アルプスの少女ハイジ』」に登場する、体が弱く、車椅子で生活する少女の名前は何 ?,文系,ウララ,キララ,マフフ,クララ,クララ
マリー・アントワネット、ベルサイユのバラ、バスティーコ監獄から連想される時命は何?,文系,フランス革命,イラン革命,キューバ介命,ロシア革命,フランス革命
正式には!「ラケダイモン」という、厳しい教育制度で知られる古代ギリシャのポリスは何 ?,文系,テーベ,スパルタ,ペルシンア,アテネ,スパルタ
次のうち、法律上の父親や母親が、未成年の子に対して持つ権利はどれ?,文系,朋像権,選挙権,親権,意匠権,親権
余の生産量が日本一の都道府県はどこ 2?,文系,東京都,北海道,静岡県,,静岡県
次のうち、石川県にある北陸新電線の駅はどれ ?,文系,金沢駅,角館駅,博多駅,仙台駅,金沢駅
1853年に4隻の軍艦を率いて日本に開国を要求した、アメリカの軍人は上:壮4,文系,ケリー,テリー,エリー,ペリー,ペリー
首相官邸、青年将校、話せば分かる、犬養毅から連想される昭和の大ミロたる円有4,文系,帝銀事件,ロッキード事件,虜溝橋事件,五・一五事件,五・一五事件
次のうち、大阪府にある空港はどれ 2?,文系,成田空港,新十歳空港,関西国際空港,中部国際空港,関西国際空港
章話『浦島太郎』で、浦島太郎が姫様からもらった箱の名前は何 ?,文系,白葉箱,玉手箱,びっくり箱,私書箱,玉手箱
俳句で、季節と結びついて、その季節を表すと定められている言葉を何という2,文系,句語,古語,季語,歌語,季語
の所:コり74時39必<とすITXエゴニルト必要という意味のことわざ「桃栗三年、の〇〇」 。 の〇〇は何 ?,文系,母八年,柿八年,梅八年,梨八年,柿八年
手ごたえや張り合いがないことを例えた言葉。「何に腕押し」 ?,文系,とうふ,わたあめ,くうき,のれん,のれん
大林芳五郎が操業した建設会杜は円時,文系,戸田建設,鹿島建設,大林組,大成建設,戸田建設
強引に物事を推し進めるという意味の言葉「〇〇押し」。〇〇は何 ?,文系,"こい
こり",かん,から,ばか,"こい
こり"
次のうち、日本の国歌『君が代』に登場する石はどれ ?,文系,さざれ石,トルコ石,孔雀石,ざくろ石,さざれ石
織田信長を討ってから自らが討たれるまでの期間の短さが「三日天下」と呼ばれる戦国武将は誰 ?,文系,豊臣秀吉,明智光秀,武田信玄,上杉謙信,明智光秀
九州南部地方に広がる、火山からの噴出物が堆積してできた台地は何 ?,文系,"ジ
ャコ台地",シラス台地,シラウオ台地,ノレソレ台地,シラス台地
和正都をウィーンに置く国はどこ?,文系,イタリア,フフンス,イギリス,オーストリア,オーストリア
陰謀や悪事が絶えない場所を、宮殿に例えて何という?,文系,玉姫殿,件代官殿,始殿,伏魔殿,伏魔殿
イージス艦が乗っ取られ日本が核攻撃の百威にさらされる、和福井晴敏の小説は?,文系,某国のイージス,防国のイージス,報国のイージス,亡国のイージス,亡国のイージス
「非核三原則」に含まれないものは次のうちどれ?,文系,作らず,囚出せず,持たず,持ち込ませず,囚出せず
旧ソ連からの独立ではない国は?,文系,トルクメニスタン,ウズベキスタン,台湾,カザフスタン,台湾
次のうち、「脱帽する」という言葉で表す気持ちはどれ2,文系,敬意,瑞意,哀悼の意,警戒心,敬意
スティーブン・キング、シドニィ・シェルダン、ダニエル・キイスといえば、どこの国の作家 ?,文系,スペイン,フフンス,アメリカ,イタリア,アメリカ
次のうち、千葉県の市はどれ ?,文系,中津市,木更津市,唐津市,大津市,木更津市
「デザインコンペ」など、複数の中から優れたものを選ぶ「コンペ」とは何という言葉の略 ?,文系,コンペティンション,コンパートメント,コンピタンシー,コンプレックス,コンペティンション
次のうち、本州にある都道府県はどこ 2?,文系,宮崎県,長野県,佐賀県,値島県,長野県
「温故知新」を読み下した言葉「ふるきをたずねて〇〇〇つ」。〇〇〇は回角,文系,新しきを知る,新しきを知らせる,新しきは知らない,新しい知人がうまれる,新しきを知る
自都をモスクワに置く国はどこ?,文系,ロンア,イタリア,アメリカ,フフンス,ロンア
銭湯を舞台に、江戸時代後期の庶民の生活の様子を描いた、式亭三馬の滑稽本は何 ?,文系,浮世風呂,浮世台所,浮世玄関,浮世居間,浮世風呂
源頼朝の妻・北条政子。夫の死後、政権を握り、何将軍と呼ばれた ?,文系,,姉将還,朝将軍,尼将軍,尼将軍
食べ物をお腹いっぱい食べることを、ある魚を使って何という?,文系,ー いふ く,ふ ぐ KKで く,さ ばふ く,た らふ く,た らふ く
トラックによる較送を海運または鉄人道に転換して、環境に配慮することを何という ?,文系,モーダルシフト,メーダルシフト,キーダルシフト,スーダルシフト,モーダルシフト
次のうち、「写実主義や「現実主義」を意味する言葉はどれ ?,文系,リアリズム,コアリズム,エアリズム,バカリズム,リアリズム
次のうち、冷たく暗い影を持つ様子を意味する言葉はどれ?  「,文系,ニヒル,アヒル,オヒル,マヒル,ニヒル
「高雇」といえば、かつて、次のうちのどこに存在した王朝 ?,文系,インドシナ生島,朝鮮生島,マレー和牛島,遼東千島,インドシナ生島
八十八箇所の霊場を巡礼する「お選路」が行われるのは、次のうちどこの地方 ?,文系,九州,中部,四国,近識,四国
オリーブやワインの生産が盛んな、イタリアに属する地中海最大の島はとどこ?,文系,アリア島,リベリア島,アナトリア島,シチリア島,シチリア島
「本丸」や「丸の内」の「丸」とは、次のうちどんな建物のこと ?,文系,病院,お寺,お城,学校,お城
第三国を介入させることによって、輸出入の不均衡を是正する貿易形式「〇〇つ〇貿易」。 〇〇〇は何 ?,文系,柏円,三角,立方体,双曲線,三角
次のうち、道路や水道などの祉会基盤を指す言葉はどれ ?,文系,サイバー,トータル,インフラ,チェーン,インフラ
村上春樹や村上龍の職業は何 ?,文系,落語家,作曲家,小説家,漫画家,小説家
瀬戸内海の島を舞台に、戦時中の小学校を描いた、映画化もされた毒井貯の小説は何 ?,文系,十二の瞳,三十六の瞳,四十八の瞳,二十四の瞳,二十四の瞳
ーヌといえばどこの国の詩人 ?,文系,インド,イラン,フラフランス,モロッコ,フラフランス
仕事と私生活の両立を意味する言葉「ワーク・〇〇〇・バランス」。〇(つうは何 ?,文系,ライト,ライク,ライフ,ライン,ライフ
1877年、西卿隆盛を中心とした士族らが鹿児島などで起こした反乱は何戦 ?,文系,東西戦争,相南戦争,北西戦争,南東戦争,相南戦争
トロント、モントリオール、バンクーバーなどの都市がある国はどこ ?,文系,エジプト,カナダ,インド,スイス,カナダ
章話『かちかち山』で、うさぎがたぬきをだまして乗せたのは何の船 ?,文系,泥の船,氷の船,わらの船,塩の般,泥の船
次のうち、物事に熱中してやめられなくなることを意味する言葉はどれ?,文系,おてつき,いたつき,やみつき,ふだつ さ,やみつき
歴史的仮名遣いで「てふてふ」と書けば、現代仮名遣いに直すと何 ?,文系,ちゃうちやゃう,てんてん,ちゆゅうちゆう,ちょうちょよう,ちょうちょよう
ペルシャ語で「市場」という意味がある、中近東などで見られる市場を0訂を:ヨたぎす< 2,文系,セザール,バザール,ゴザール,ミザール,ミザール
古代ローマの共和制末期に行われた、3人の実力者による政治体制を何という3?,文系,三河政治,三頭政治,三匹政治,三又政治,三頭政治
北海道の先住民族の名称は何?,文系,インディアン,アボリジニ,アイヌ,マサイ,アイヌ
小説 『黒革の手帖』や【『砂の器』を書いた作家は誰?_,文系,車松清,赤川次郎,道尾秀介,松本清張,松本清張
「向こうずね」の別名「〇〇の泣き所」。〇〇に入る人物は対 ?,文系,頼朝,政子,弁慶,義経,弁慶
アメリカの国旗に使われている色は、赤、青と何色 ?,文系,緑,日,黄,紫,日
米グランドキャニオンのある州は?,文系,アリゾナ州,本州,九州,ニューヨーク州,アリゾナ州
古代中国で、後漢、魏、西晋などの都として栄えた、河南省北西部にある都市はどこ ?,文系,洛陽,岐阜,落館,那再,洛陽
走る馬に乗って弓矢を射ることを何という?    「,文系,"や
やぶれかぶれ",やぶこうじ,やぶへび,やぶさめ,"や
やぶれかぶれ"
古代ローマの旦帝ネロなどのような、乱暴な政治で人民を苫しめる君主のことを何という ?,文系,困君,淀君,諸君,故君,困君
フランス語で、数字の1は「アン」、2は「ドゥ」といいますが、3は何という ?,文系,スリー,トロワ,サン,セッ,トロワ
中高一貫校など、入試を受けずに附属校から自動的に進学できる仕組みを何という ?,文系,モノレール式,エスカレーター式,タクシー式,ゴンドラ式,エスカレーター式
ピサの終塔はどこの国の世界遺産?,文系,ロンア,スイス,カナダ,イタリア,イタリア
次のうち四国の県でないものは!,文系,香川,徳島,島根,愛巡,島根
高く飛び過ぎたために2約を取り付けていた螺がとけて隊落死した、ギリシャ四話の人物は誰 ?,文系,サメロス,ダコロス,イカロス,ワニロス,イカロス
次のうち、実際にある市はどれ?,文系,ひょうご市,あいち市,ぐんま市,さいたま市,さいたま市
次のうち、特定の人物に異常な関心を寄せ、跡をつけまとう人のことを表す言葉はどれ ?,文系,シェーカー,ストーカー,ウィンカー,クラッカー,ストーカー
次のうち、面白いかどうかだけを物事の決め手とすることを意味する言葉はどれ ?,文系,興味本位,実用本位,実質本位,品軸本位,興味本位
中国の武将・韓信の故事に由来する、せっば詰まった状態を指す言葉は何 ?,文系,痛火の陣,痛土の陣,痛風の陣,痛水の陣,痛水の陣
在安時代の屋島の戦いで、弓の名手・那須与一が射沙とした的といえば次のうちどれ ?,文系,羽,旗,皿,書,羽
韓国の通貨単位は何 ?,文系,ウォン,元,円,ドル,ウォン
次のうち、ルターらによる宗教改革の後に形成されたキリスト教の一派はとどれ?,文系,プロコフィエフ,プロゲステロン,プロミネンス,プロテスタント,プロテスタント
次のうち、土子様が登場する物語はどれ?,文系,舞姫,椿姫,かぐや姫,人魚姫,人魚姫
世界最大級のカルデラで有名な阿多山がある都道府県はどこ ?,文系,岩手県,高知県,京都府,熊本県,熊本県
次のうち、東京都にある区はどれ ?,文系,浦和区,駿河区,右京区,喝侯区,喝侯区
駅名に果物の名前が入った鉄道駅で、山形県東根市にあるのは「〇〇)〇東根駅」?,文系,パイナップル,オレンジ,ぶどう,さくらんぼ,さくらんぼ
独自の生態系による固有種が多く住む、太下洋に浮かぶエクアドル領の諸島は何 ?,文系,ガラパゴス諸島,クック諸島,失閣諸島,ハワイ諸島,ガラパゴス諸島
