Q,Category,K1,K2,K3,K4,A
野球やラグビーで「早鹿戦」「慶早戦」といえば、早稲田大学と何大字の試合 ?,スポーツ,青山学院大学,立教大学,明治大学,慶應義塾大学,慶應義塾大学
次のうち、野球用語の「カーブ」の元々の意味はどれ ?,スポーツ,沈む,盗む,曲線,爆発,曲線
相撲で、手を相手の胸やわきの下に当てて倒すという基本的な技を何という ?,スポーツ,とったり,腰砕け,押し倒し,男み中,押し倒し
ボウリングで、 「ファール」を表すアルファベット]文字は何 ?,スポーツ,F,G,A,H,F
次のうち、ゴルフの選手を指す言葉はどれ ?,スポーツ,ゴルファー,スケーター,ボクサー,サーファー,ゴルファー
ラグビーの精利を表した言葉「Onefor〇つつ〇、〇〇〇for one」。〇CXうに入る言葉は何 ?,スポーツ,Finish,You,Al,TwO,Al
サッカーのPK。セットされたボールからゴールまでの距離は約何m ?,スポーツ,11m,91m,1m,31m,11m
織田裕二がメインキャスターを務めていたスポーツ大会は何 ?,スポーツ,日本陸上,銀河陸上,宇宙陸上,世界陸上,世界陸上
次のうち、野球の外野のポジションはどこ? 。  「,スポーツ,キャッツナチャー,ショート,セカンド,レフト,レフト
次のうち、大相撲で、取組中に故意につかんでしまうと反則になる相手のEEIMIT4ちすずの0^,スポーツ,ひじ,まわし,まげ,ひざ,まげ
次のうち、新体操で使われる道具はとれ?,スポーツ,スペード,ハート,ダイヤ,クラブ,クラブ
次のうち、サッカーファンを指す言葉はどれ2?,スポーツ,キャミソゾール,サポーター,トランクス,タンクトップ,サポーター
ボールを持った選手が3歩以上歩くと取られる、バスケットボールの反則は何 ?,スポーツ,ダブルドリブル,インタフェア,ゴールテンディング,トラベリング,トラベリング
テニスで、利き手側にきたボールを、そのまま利き手で打つことを何という?,スポーツ,フリーハンド,フォアハンド,シングルハンド,アンダーハンド,フォアハンド
次のうち、テニスの試合が行われる坦所はどれ2?       _,スポーツ,カート,ラート,コート,"ms ト
に]
ee",コート
テニスの試合で、目分のサービスゲームを取ることを何という 2?,スポーツ,スープ,シープ,キープ,ホープ,キープ
野球で、1回表の攻撃で必ず打順が回るのは何番バッターまで?,スポーツ,7番バッター,3番バッター,4番バッター,5番バッター,3番バッター
野球部の女子マネ。 マネって何の略 ?,スポーツ,マンネリ,マネー,マヨネーズ,マネージャー,マネージャー
プロ野球のドラフト会議で、くじに外れたチームが次に指名するのは俗に「何1位」 ?,スポーツ,外れ1位,離れ1位,汚れ1位,忘れ1位,外れ1位
歴代のオリンピック開催都市で、メルボルン、シドニーといったらどこの国 ?,スポーツ,オーストラリア,アメリカ,イタリア,ロンシア,オーストラリア
元サッカー日本代表の中田ヒデ。フルネームは中田何 ?,スポーツ,秀吉,身雄,舌寿,秀斉,舌寿
スポーツでFAといったら何の略 ?,スポーツ,ファアイアー,ファイナルアンサー,フリーアナウンサー,フリーエエージェント,フリーエエージェント
陸上の短距離で、ピストルでスタートの合図をする人を何という3?,スポーツ,サポーター,レポーター,リピーター,スターター,スターター
野球で、2人の野手がフライを捕るのを譲り合ってしまう事を俗に何といつ ?,スポーツ,お歳暮,お年玉,お見合い,駆け落ち,お見合い
浦和レッズレディースやINAC紳戸が所属する、日本女子サッカーのトップリーグは何 ?,スポーツ,おみなえしリーグ,で じばかま リ ーグ,さききょうリーグ,なでしこリーグ,なでしこリーグ
ハーフマラソンで走る距離は、フルマラソンで走る距離の何分の1 2,スポーツ,2分の1,10分の1,3分の1,100分の1,2分の1
バレーボールの反則の「ダブルコンタクト」。以前は何といった ?2,スポーツ,フリーキック,ドリブル,シュート,スローイン,ドリブル
次のうち、ハンドボールのプレーにあるものはどれ 2?,スポーツ,7マイルスロー,7cmスロー,7kmスロー,7mスロー,7mスロー
上体を前かがみにして相手のパンチをかわす、ボクシングの防御方法を何という3?,スポーツ,クッキング,ダッキング,ストッキング,ショッキング,ダッキング
伊藤みさ、里谷多敵、上村愛子といえば ?        ーー,スポーツ,スピードスケート,フィギュアスケート,モーグル,アルペンスキー,モーグル
サッカーJリーグの「東京V」。この「V」とは何の略?,スポーツ,ヴェルディ,ヴィクトリー,ヴァーチャル,ヴァージン,ヴェルディ
サッカーのフィールドで、ゴールキーパーがボールを手で扱える区域を何という3?,スポーツ,コーナーエリア,ペナルティエリア,センターサークル,ペナルティアーク,センターサークル
かつて西武で活躍した野球選手・テストラーデの愛称といえば「どこの怪人」 ?,スポーツ,バルト,カリブ,エーゲ,カスピ,カリブ
"に証三

滞のCM ・

呈    で有名だったお上菓子「ナ
ゴーボナ」のキャッチコピーは、「お菓子の何」 ?",スポーツ,打点王,ホームラン土,三薄土,次畔王,ホームラン土
独特なしゃがれ声で有名な、元プロレスラー「〇〇源一郎」。〇〇に入る回角,スポーツ,天龍,佐々木,蝶野,武藤,武藤
ホノルルマラソンが行われるのはどこの国 ?      ー,スポーツ,ロンア,ドイツ,アメリカ,日本,アメリカ
プロ野球で、レギュラーシーズン後に行われるプレーオフを「何シリーズ」という ?,スポーツ,コンプレックス,グラフィックス,アスレチックス,クライマックス,コンプレックス
「突然死」という意味がある、スポーツのシステムは何 ?,スポーツ,ホーム&アウェイ,タイブレーク,サドンデス,ハンデキャップ,サドンデス
体操の技の「ムーンサルト」を表す日本語は次のうちどれ2,スポーツ,月面探査機,月面散歩,月面軟着陸,月面宙返り,月面宙返り
ヨーロッパの強豪クラブ32チームが争うクラブ対抗の大会「UEFAC XX.)(〇」 o 〇〇〇は何 ?,スポーツ,キングズリーグ,スーパーリーグ,エンペラーズリーグ,チャンピオンズリーグ,チャンピオンズリーグ
プロレスで善玉レスラーのことを、「ヒール」に対して何という3?,スポーツ,キッズフェイス,ジュニアフェイス,ベビーフェイス,ヤングフェイス,キッズフェイス
バレーボールの国際大会「ワールドグランドチャンピオンズカップ」の会場となっている国はどこ?,スポーツ,韓国,日本,中国,タイ,日本
野球のポジションで、アルファベット1文字で「P」とされるのは何 ?,スポーツ,遊撃手,投手,中堅手,捕手,投手
衣笠詳雄に代表される、怪我に強く長年出場し続けるスポーツ選手を指す言葉は何 ?,スポーツ,銀人,金人,鉛人,鉄人,鉄人
次のうち、実業団チームなどの六会人野球を指す言葉はどれ ?,スポーツ,ゲネプロ,ノンプロ,ワープロ,レッスンプロ,ノンプロ
テニスでグラスコートといえば、どんな材質でできたもの ?,スポーツ,ゴム,コンクリート,ガラス,之生,之生
大相撲の「若中ブーム」を担った若乃花の、力士としての最高番付は何だった?,スポーツ,十両,大関,前頭,横綱,十両
野球で「グランドスラム」といえば何のこと?      」,スポーツ,サイクルヒット,完全試合,滴連ホームラン,引き分け,滴連ホームラン
日本各地で開催される「わんばぱく相撲大会」といえば、どんな人たちによる相撲の大会 ?,スポーツ,引退した力士,往会人,十両の力士,小学生,十両の力士
次のうち、バット、グローブ、ボー月るEpXのの】ちす2光時7,スポーツ,野球,サッカー,提球,テニス,野球
ワウ のpる28あク4 ロコウル2オビfp】9 6行うスポーツはどれ2?,スポーツ,ボクシング,ビーチバレー,ソフトボール,バレーボール,ボクシング
野球でダブルスチールをするのに、ランナーは最低何人必要 ?,スポーツ,4人,3人,2人,1人,2人
次のうち、ルール上、必ず人間以外の動物が参加するスポーツはどれ2?,スポーツ,ホッケー,ラクロス,クリケット,ポロ,ポロ
陸上の4x100mリレーで、走者が受け渡す道具は何 ?,スポーツ,バトン,のほり,トーチ,たすき,バトン
ニシレル: マクヒキスッルシアエニレ「〇〇〇闘魂」。 〇〇〇は何 ?,スポーツ,迷える,牙える,燃える,喘える,燃える
次のスポーツのうち、最も大きなボールを用いるものはどれ?,スポーツ,野球,目球,ゴルフ,バスケットボール,バスケットボール
次のプロ野球球団のうち、本拠地が最も西にあるのはどこ ?,スポーツ,オリックス,広島,ヤクルト,中日,広島
スキーのノルディック複合で行われる2つの競技とは、ジャンプと何 ?,スポーツ,ボブスレー,フィギュアスケート,クロスカントリー,アイスダンス,クロスカントリー
次のうち、サッカーを指す言葉はどれ 2?,スポーツ,キャッチボール,ルーズボール,フットボール,スローボール,フットボール
相撲で、行司が誤って負けたほうに軍配を上げる事を何という ?,スポーツ,差し違え,差し入れ,差し出がましい,差し押さえ,差し違え
次のうち、サッカーの控え選手を表す英単語はどれ ?                「,スポーツ,カブ,タブ,サブ,ラブ,サブ
サッカーの1チーム11人のうち、ゴールキーパーは何人いる ?,スポーツ,5人,10人,1人,3人,1人
テニスの審放補助システム「ホークフイ」にはどんな意味がある ?,スポーツ,フクロウの目,ツバメの目,ツルの目,タカの目,タカの目
モントリオール五輪で10点満点を記妹した、ビートたけしのギャグにも用いられた体操選手は誰 ?,スポーツ,アイーン,コマネチ,アジャパー,ガチョーン,コマネチ
次のうち、陸上の走高跳の跳び方にあるものはどれ?2,スポーツ,グレートロール,ベリーロール,スーパーロール,ハイパーロール,ベリーロール
ロッテで活躍した、村田兆治投手の投球フォームといえば次のうちどれ?,スポーツ,のこぎり投法,かんな投法,まさかり投法,逐刈り投法,まさかり投法
F1の名門チーム「フェラーリ」のレーシングカーのイメージカラーは何色?,スポーツ,紫,赤,緑,日,赤
次のうち、野球のピッチャーの投げるコースにあるものはどれ 2?,スポーツ,アウトロー,ジゴロ,ギャングスター,デスペラード,アウトロー
テニスの試合中、セット間に取ることができる、トイレに行く時間のことぁ「トイレット何」という ?,スポーツ,ポイント,ハンド,ブレーク,チェンジ,ブレーク
アメリカンフットボールが考案された国はどこ?,スポーツ,日本,中国,アメリカ,フフンス,アメリカ
次のうち、野球のリリーフピッチャーを表す日本語はどれ ?,スポーツ,球宴投手,吸煙投手,休園投手,救援投手,救援投手
次のプロゴルファーのうち、デビューが最も早かったのは誰 ?,スポーツ,石川遼,片山晋呉,今田竜二,尾崎将司,尾崎将司
ボクシングで使われる「ラッシュ」とは、次のうちどんな意味 ?,スポーツ,場内の盛り上がり,試合直前の調整,ボクサーの腕の長さ,激しい攻撃,激しい攻撃
水泳で「ストローク」といえば、次のうち何を表す言葉 ?,スポーツ,選手の身長,腕のひとかき,息継ぎの回数,プールの水温,腕のひとかき
次のうち、プロ野球選手の契約形態にあるものはどれ?,スポーツ,訓練選手,育成選手,教育選手,模擬選手,育成選手
次のうち、アメリカンフットボールの防具にあるものはどれ?,スポーツ,アイシールド,アイキャッチ,アイラフライン,アイマスク,アイシールド
次のうち、試合中に行われる「キック」がボールを足ることではない競技はどれ ?,スポーツ,ラグビー,アメフト,フットサル,キックボポボクシング,キックボポボクシング
ノックオン、スローフォワード、ノットリリースザボールといえは、どんなスポーツの反則 ?,スポーツ,野球,バスケットボール,ラグビー,サッカー,ラグビー
次のうち、スポーツの大会などで、優勝を表すアルファベット1文字はとれ?,スポーツ,F,Q,L,V,F
野球で満塁の時に、四球や死球などで点が入ることを何という ?,スポーツ,引き沙とし,浴びせ倒し,押し出し,奇り切り,押し出し
スピードスケートのショートトラックの選手が、試合中に頭にかぶって和夫をまう)】た円有2,スポーツ,シルクハット,麦わら帽子,ターバン,ヘルメット,ヘルメット
ソフトボールで、腕を大きく一回転させる、投手の一般的な投げ方を何としう?,スポーツ,ウィンドミル,エイトフィギュア,スリングショット,サブマリン,ウィンドミル
日本にとってのかつての水泳や体操などのような、最も得意とするスポーツを指す言葉はどれ ?,スポーツ,かくし芸,お家芸,"へ、+モ
要未未",大道革,お家芸
元プロ野球選手・斎藤佑樹の出身大学はどこ2?     「,スポーツ,東北訪年大学,立命館大学,名古屋大学,早稲田大学,早稲田大学
バドミントンのコートを上から見ると、次のうちどんな形をしている ?,スポーツ,析円形,長方形,五角形,正三角形,長方形
日本国内でも行われている、和牛同士を闘わせるスポーツは何 ?,スポーツ,名牛,乳牛,闘牛,肉牛,闘牛
「GK」とされるサッカーのポジションといえば何 ?,スポーツ,ゲームキーパー,グラウンドキーパー,ゲートキーパー,ゴールキーパー,ゴールキーパー
次のうち、ゴルフ用語はどれ ?,スポーツ,ミートボール,ロストボール,バスケットボール,フォークボール,ロストボール
テニス選手の錦織手の代名詞となっている、ジャンプしながらの強打のことを何という?,スポーツ,スカイ・ケイ,ジャンプ・ケイ,エア・ケイ,テイクオフ・ケイ,スカイ・ケイ
日本野球機構の最高真任者として日本プロ野球を統括する役職は何 ?,スポーツ,コミッショナー,プリンシパル,プレジデント,チェアマン,コミッショナー
プロ野球 楽天の本拠地は何県?,スポーツ,千葉県,沖縄県,高倉健,品城県,品城県
次のスポーツのうち、一般にコートが最も広いものはどれ?,スポーツ,バレーボール,ハンドボール,テニス,サッカー,サッカー
次のうち、「ゴン」という愛称でよにれるのは誰? 。    「,スポーツ,中山雅史,中村俊博,中田英寿,三浦知良,中山雅史
東京オリンピックで金メダルを獲った「東洋の魔女」。 魔女たちはどこのJE【のも,スポーツ,日本,ロンア,アルゼンチン,モロッコ,日本
陸上の走り高跳びで、バーを跳び越すために地面を強く蹴る行為を何という ?,スポーツ,かしきり,ふみ さ り,うちさり,しめきり,ふみ さ り
本名を岡田貴弘という、オリックス・バファローズのホームランバッターは誰 ?,スポーツ,V 岡田,S-岡田,U-岡田,二岡田,二岡田
帆を張ったサーフボードで進むスポーツ「〇の〇O〇サーフィン」。〇〇〇に入る言葉は何 ?,スポーツ,ウィンド,スカイ,ロード,スノー,ウィンド
次のうち、ゴルフで距離の長さを表すときに使われる単位はどれ?,スポーツ,ヤード,モル,センナチ,グラム,ヤード
柔道で、段位が上がることを何といつう?,スポーツ,増段,昇段,登段,加段,昇段
次のうち、ラグビーで試合中に「組む」ものはどれ?,スポーツ,スチーム,スクラム,スライム,スリナム,スクラム
"ひる208還じじアたに才43240107/にゴムれた総合
こ総合格四
]技イベントはどれ3?",スポーツ,BRIEF,TRUTH,PRIDE,FIGHT,PRIDE
大相撲の本場所中の各日の最後の取組のことを「何の一番」という2?,スポーツ,学び,,叫び,結び,結び
野球で、リードしているときに救援し、勝利に頁献した投手に与えられる記録は何 ?,スポーツ,セーブ,トーブ,ナンブ,ホクブ,セーブ
野球の投手が滑り止めのために使う、松やになどが入った袋を何という?,スポーツ,ロジンバッグ,マガジンバッグ,ニンジンバッグ,イマジンバッグ,ロジンバッグ
スポーツで、「アップセット」などと呼ばれるものは、 日本語で「何狂わせ」という2?,スポーツ,客福わせ,縁福わせ,段往わせ,番狂わせ,番狂わせ
スポーツで、相手に守りや反撃のスキを与えない、機化な攻撃を何という?,スポーツ,後攻,速攻,侵攻,抽攻,速攻
サッカー選手に必要とされる有要素のひとつ「アジリティ」を、日本語では何という ?,スポーツ,敏捧性,互換性,居住性,夜行性,敏捧性
ラグビー日本代表のジャージのエンブレムに摺かれている植物は何?,スポーツ,サクラ,アジサ,バラ,ススキ,サクラ
体を実際に動かさず、頭で動作を考えて学省することを何トレーニングという2,スポーツ,トリアージ,アベレージ,イメージ,エンゲージ,イメージ
スポーツの会場などで聞く「エール」といえば、次のうちどんなもののこと2?,スポーツ,サイン、指図,応援、声援,非難、 怒号,指令、作戦,応援、声援
次のうち、ボウリングで最も良い成績はどれ2?,スポーツ,ダッチマンゲーム,パーフェクトゲーム,すべて同じ,ナインスペアゲーム,パーフェクトゲーム
プロ野球のセ・リーグ6球団のうち、本拠地が一番西にあるのはどご2,スポーツ,ヤクルト,阪紳,広島,中日,広島
セルジオ越後、松木安太郎といえば、どんなスポーツの解説者として知られている ?,スポーツ,フィギュアスケート,ボクシング,体操,サッカー,サッカー
野球で、外野のフェンスに当たって跳ね返ってくるボールを特に何といつ ?,スポーツ,クッションボール,ソファボール,マットボール,カーペットボール,クッションボール
毎年1月に行われる「全日本実業団対抗駅伝競走大会」 の通称は何駅伝 ?,スポーツ,ニューイヤー駅伝,ニューホーブプ駅伝,ニュースター駅伝,ニューウェーブ駅伝,ニューイヤー駅伝
ダーツで投げられるものは次のうちとれ?,スポーツ,矢,手裏剣,剣,縄,矢
「新体力テスト」の実施要領で、「上体起こし」は何秒間行われる ?,スポーツ,30時間,30日,30秒間,30分間,30秒間
スポーツの国際機関「WADA」は、交のうち何の規制に関する組織 ?,スポーツ,八百長,賭博,ドーピング,穫力,ドーピング
野球で、バッテリーと呼ばれるポジションの組み合わせはピッチャーと回角,スポーツ,キャッツナチャー,ファースト,ショート,センター,キャッツナチャー
競泳で、「タッチ」 「クイック」といえば何の種類?,スポーツ,スタート,ストローク,キック,ターン,ターン
次のスポーツのうち、1人ずつ試技とる曲りたさう1の】ちす2昌中4,スポーツ,棒高跳び,スカッシュ,水球,ボブスレー,棒高跳び
体操で、2つの輪っかを手で握って行う競技を何という?,スポーツ,輸投げ,フラフープ,つり輪,つり革,つり輪
いわゆる「顔面セーフ」と呼ばれる慣物がある球技は次のうちどれ?2,スポーツ,フットサル,ビリヤード,ドッジボール,ゴルフ,ドッジボール
次のうち、競技場に「バンカー」という障害があるスポーツはどれ?,スポーツ,マフソン,ボウリング,ゴルフ,野球,ゴルフ
フィギュアスケートのペア競技で、男性が女性を高く持ち上げる技を何という2,スポーツ,アプローズ,ハグ,リフト,ロケット,リフト
陸上の三段跳びで、「ホップ」 「ステップ」に続く跳躍を何という ?,スポーツ,ギャップ,アップ,ジャンプ,スキップ,ジャンプ
Jリーグのクラブ名で、正しくは「レレッドダイヤモンズ」というものは次のうちとどれ?,スポーツ,エスパルス,アルビレックス,レイソル,レッズ,レッズ
_。 スポーツで、「〇〇対へへ」というときの「対」を表すアルファベットは次のうちとどれ?,スポーツ,「1O,GX,DS,VS,VS
レスリングの浜口京子の父親のレスラー時代のリングネームは「何浜男目還4,スポーツ,マイケル,シニカル,アニマル,ダニエル,アニマル
ボクシング選手として活躍したのは誰?,スポーツ,河合俊一,前園真聖,篠原信一,赤井英和,赤井英和
アルペンスキー種目の回転 (スラローム) を表す、アルファベット2文字の略称は何?,スポーツ,GS,DH,SL,HP,SL
エフゲニー・プルシェンコといえば、どこの国の元フィギュアスケート選手?,スポーツ,アメリカ,ロンア,スイス,フフンス,ロンア
かつて横浜ベイスターズで活躍し、「ハマの大腐御」と呼ばれた元プロ野球選手は誰 ?,スポーツ,大塚晶則,長谷川滋利,佐々木主浩,大家友和,佐々木主浩
次のプロ野球チームのうち、セ・リーグに所属するのはどれ?,スポーツ,日本ハム,オリックス,ソフトバンク,ヤクルト,ヤクルト
野球に関する次の役目のうち、「選手」に含まれるものはどれ?,スポーツ,ヘッドコーチ,アンパイア,スコアラフー,キャッチャー,キャッチャー
次のうち、野球の打撃の練釧法にあとをのちずっ 時     ー,スポーツ,ジーバッティング,ディーバッティング,ピーバッティング,ティーバッティング,ティーバッティング
次のうち、「相撲の決まり手」と「野球の投球フォーム」に共通する用語はどれ ?,スポーツ,すくい投げ,自投げ,腰投げ,上手投げ,すくい投げ
野球で、バットを下から上へすくい上げるようにして振る打ち方のことを何という ?,スポーツ,アッパースイング,カッパースイング,ナッパースイング,タッパースイング,アッパースイング
プロ野球において、「トリプルスリー」を達成するのに必要な条件とは打率3割、30本塁打と何?,スポーツ,30捕殺,30盗塁,30犠打,30四球,30盗塁
「スーペルリーガ」といえば、どこの国のプロサッカーリーグ ?,スポーツ,ポボポルトガル,中国,日本,韓国,ポボポルトガル
サッカーW杯で、強月国が多く集まり激戦が予想されるグループを指す言葉は何 ?,スポーツ,血の組,死の組,間の組,天の組,死の組
ボクシングのリングで、四方に張られているものは何 ?,スポーツ,フープ,リボン,ロープ,クラブ,ロープ
ボウリングにおいて、ボールで狙う10本の標的のことを何という 3?,スポーツ,ピン,プン,ポン,パン,ピン
千田健太、太田雄貴といえば、どんなスポーツで活躍した人物?,スポーツ,インディアカ,キンボール,アルティイメット,フェンシング,フェンシング
「ウェイトリフティング」のことを、日本語では何という ?,スポーツ,車量挙げ,力量挙げ,適量挙げ,増量挙げ,車量挙げ
次のうち、スケート選手を指す言葉はどれ ?,スポーツ,ボクサー,ゴルファー,スケーター,スキーヤー,スケーター
ソフトテニスのことを、日本語ではよく「何テニス」という?,スポーツ,形式テニス,和式テニス,軟式テニス,儀式テニス,軟式テニス
次のうち、都道府県内にJリーグのチームが1つしかないのはどれ2?,スポーツ,奈川県,大阪府,北海道,静岡県,北海道
野球に関する次の役目のうち、「選手」ではないものはどれ2?,スポーツ,ピンチランナー,キャツナャー,スコアラフー,ピッチャー,スコアラフー
トーナメントの試合で、強い選手同士が最初に対戦しないよう組み合わせることを何という ?,スポーツ,シーツ,シール,シード,シータ,シード
元メジャーーリーガーのイチローのにたる円2,スポーツ,青木,上原,$p不,前田,$p不
ゴルフで、「フォロー」や「アゲンスト」という用語が意味することは回角,スポーツ,クラブの種類,コースの起伏,風向き,体調,風向き
アメリカのメジャーリーグで「〇CO〇ソックス」とつく2つの球団は、ホワイトソックスと何 ?,スポーツ,ブラックソックス,グリーンソックス,イエローソックス,レッドソックス,レッドソックス
スイム、バイク、ランの3種目を一度に行うスポーツは何 ?,スポーツ,クロスカントリー,ライフセービング,トライアスロン,デカスロン,トライアスロン
アメリカで毎年4月に開催される伝統の「マスターズ」といえば、どんなスポーツの大会 ?,スポーツ,バスケットボール,ラグビー,テニス,ゴルフ,ゴルフ
野球で、一度に2つアウトをとるプレーを英語で何という ?,スポーツ,マルチプレー,ダブルプレー,ツインプレー,デュエットプレー,ダブルプレー
次のうち、タックルが反則になるスポーツはどれ2?,スポーツ,プロレス,バスケットボール,レスリング,ラグビー,バスケットボール
国際試合でのカラー和柔道着。使われる色は青と何?,スポーツ,赤,緑,白,欄,白
ティドン光父が提唱したオリンピックの標語「より速く、より高く、〇^〇〇」。〇〇〇は何 32,スポーツ,より素晴らしく,より肥く,より凄く,より強く,より強く
プロ野球で、1人の選手が1試合に3本以上ヒットを打つことを何という,スポーツ,箱打中,沢村賞,角還買,殊勲綱,箱打中
野球に関する次の役目のうち、「選手」に含まれるものはどれ?,スポーツ,アンパイア,キャツナャー,ヘッドコーチ,スコアフー,キャツナャー
スポーツのリーグ戦で、勝つか引き分けると獲得できるポイントを一般に何という ?,スポーツ,得点,得失点差,打点,勝ち点,勝ち点
次のうち、男女ともに体操競技の種目となっているものはとれ?,スポーツ,在均台,ゆか,段違い下行棒,あん馬,ゆか
サッカーやバスケッ トボールで、 味方にボールを送ることを何という 2,スポーツ,ブロック,パス,シュート,ファール,パス
ボクシングの防具「マウスピース」を入れるのは体のどの部分 ?,スポーツ,邊の中,口の中,耳の中,目の中,口の中
ボクシングの選手などが、持久力を強化するために路上を走ることを何という2,スポーツ,ロードワーク,ホームワーク,ネットワーク,パッチワーク,ロードワーク
卓球やテニスで、相手のサーブを打ち返すことを何という ?,スポーツ,ロビング,キープ,リリース,レシーブ,レシーブ
闘牛で、闘牛士が持つ布の色は、通常、何色 ?,スポーツ,黄,赤,"に ゴ
月",県,赤
次のうち、野球の投手の調子が悪く撃ち込まれる状態を指す言葉はどれ?,スポーツ,らんちょう,しんちょう,みんちょよう,さんちょう,らんちょう
元女子プロレスラーの北斗晶を妻に持つ、元プロレスラーは誰 ?,スポーツ,天山広吉,高山番廣,,佐々木健介,佐々木健介
マイアミマーリンズは、どこの国のプロ野球チーム 2,スポーツ,イタリア,アメリカ,中国,韓国,アメリカ
サッカーで、フィールド上の、相手選手がいないエリアを特に何とい_う?,スポーツ,サイバースペース,パイプスペース,デッドスペース,オープンスペース,デッドスペース
日本の「V・プレミアリーグ」といえばは、どんなスポーツのプロリーグ ?,スポーツ,フットサル,バレーボール,アイスホッケー,ラグビー,バレーボール
男子ゴルフの4大メジャー大会の開催地となっている国は、アメリカととどこ?,スポーツ,日本,カナダ,イギリス,フフンス,イギリス
次のうち、韓国で生まれた格闘技はとれ?,スポーツ,レスリング,柔道,テコンドー,ボクシング,テコンドー
次のうち、「アーリータックル」という反則がある球技はどれ 2?,スポーツ,卓球,バレーボール,バドミントン,ラグビー,ラグビー
シャオロン、パオロン、ドアラと言えば、どの野球チームのマスコットキャラクター 2?,スポーツ,中日ドラゴンズ,阪牌タイガース,読売ジャイアンツ,ヤクルトスワローズ,中日ドラゴンズ
野球で、打者がストライクを3つ取られることを何という3?,スポーツ,四球,野選,完投,三振,三振
「デュアスロン」といえば、何種類の競技を行うスポーツ ?  ー,スポーツ,2Zつ,1つ,3つ,4つ,2Zつ
プロレスの番剤上員のことを英語で何という ?          「,スポーツ,ジャブ,レフェリー,ストレート,ノックアウト,レフェリー
野球で「バックネット」といえは、普通、どこに張られた網のこと ?,スポーツ,右細の後ろ,本塁の後ろ,ブルペン,左細の後ろ,本塁の後ろ
次のうち、大相撲の客席にあるものはどれ2?,スポーツ,なす席,たす席,かす席,ます席,ます席
スイスのチューリヒに本部がある「FIFA」とは「国際〇〇〇連盟」のこと。〇の〇〇は何 ?,スポーツ,サッカー,ゴルフ,ラグビー,テニス,サッカー
次のうち、相撲の行司が持っているの】とちず2ル4 且2  _  「,スポーツ,還靴,車配,車大,車際,車配
サッカー選手が身につける「シンガード」とは、どんな道具 ?,スポーツ,すね当て,みみ当て,むね当て,ひじ当て,すね当て
野球の「エース」のことを、日本語では、次のうち何という ?,スポーツ,打撃投手,主戦投手,本格派投手,新人投手,主戦投手
NBAのチームで、 「フェニックス」といえば後に続く愛称は何 ?,スポーツ,ゴーズ,ヨンズ,サンズ,ニーズ,サンズ
次のうち味方と敵の間にネットがないものはどれ?,スポーツ,バスケットボール,バレーボール,バドミントン,テニス,バスケットボール
テニスの試合で、ミックスダブルスといえば、コートに立つ女性選手は何人 ?,スポーツ,3人,1人,0人,2人,2人
ゲートボールの前身となったスポーツは? 。,スポーツ,クロッケー,ケロッケー,カロッケー,キロッケー,クロッケー
用生結蓄といえば、どんなスポーツの元選手 ?,スポーツ,フィギュアスケート,体操,,スキージャンプ,フィギュアスケート
次のうち、「リング」と呼ばれる競技場で行われる格闘技はどれ?2,スポーツ,相撲,テコンドー,柔道,ボクシング,ボクシング
次のゴルフのスコアのうち、成績が最も良いものはどれ3?,スポーツ,トリプルボギー,ボギー,パー,アルバトロス,アルバトロス
次のうち、スポーツで引き分けのことを指す言葉はどれ2,スポーツ,ドロー,イシー,ツチー,スナー,ドロー
ゴルフで、「素晴らしい打球」 に対して贈られる掛け声は何2 。,スポーツ,ブレイク,ナイスショット,ステイ,ブフオォオア,ナイスショット
テニスの試合中、ケガした場合にとる治療時間のことを「何タダタイムアウト」という2,スポーツ,メディカル,パラソル,トイレット,ドリンク,メディカル
バスケットボールで、パスをもらってすぐさま出す素早いパスを何という?,スポーツ,クイックパス,フリーパス,ファストパス,キャンパバス,クイックパス
東京ドームを本拠地とするプロ野球チームは何 ?,スポーツ,読売ジャイアンツ,埼玉西武ライオンズ,東京ヤクルトスワローズ,千葉ロッテマリーンズ,読売ジャイアンツ
大相撲で年6回行われる、力士の番付に関わる興行を何場所という 2?,スポーツ,真場所,仮場所,表場所,本場所,本場所
ボブ・サップは、格闘家に転身する前はどのようなスポーツのプロ洒手だった?,スポーツ,野球,バスケットボール,アメリカンフットボール,アイスホッケー,アメリカンフットボール
次のうち、ボクシングのイメージトレーニングで行われるものはどれ?,スポーツ,ジュードーボクシング,テコンドーボクシング,シャドーボクシング,ケンドーボクシング,シャドーボクシング
相撲の決まり手「突き〇〇」「押し〇つつ〇つ」「浴びせ〇〇」の〇〇に入る言葉は何 ?,スポーツ,ひねり,投げ,払い,倒し,ひねり
次のうち、サッカーくじ・totoの種引にあるものはどれ2?,スポーツ,mini toto,Small toto,half toto,eaSy toto,mini toto
東京オリンピックで金メダルに輝いた、女子バレー日本代表チームの異名は次のうちとどれ?,スポーツ,東洋の魔女,北欧の先人,西洋の花嫁,南米の詩人,東洋の魔女
AIPEIEiIE SAとると 8時2hクジ/口野球球団のこと ?2,スポーツ,中日ドラゴンズ,広島東洋カープ,阪御タイガース,読売ジャイアンツ,広島東洋カープ
陸上競技のうち、ハンマー投げや走り高跳びなどを「何競技」という 2?,スポーツ,ファースト,セカンド,サード,フィールド,フィールド
